group,band,sex,typehugq,weighted
mexico_born,0_17,1,1,319772
mexico_born,0_17,1,2,49
mexico_born,0_17,1,3,199
mexico_born,0_17,2,1,318545
mexico_born,0_17,2,2,0
mexico_born,0_17,2,3,0
mexico_born,18_24,1,1,291620
mexico_born,18_24,1,2,4320
mexico_born,18_24,1,3,13119
mexico_born,18_24,2,1,238465
mexico_born,18_24,2,2,311
mexico_born,18_24,2,3,5028
mexico_born,25_34,1,1,836274
mexico_born,25_34,1,2,16325
mexico_born,25_34,1,3,17556
mexico_born,25_34,2,1,721394
mexico_born,25_34,2,2,652
mexico_born,25_34,2,3,1636
mexico_born,35_44,1,1,1324698
mexico_born,35_44,1,2,23018
mexico_born,35_44,1,3,10203
mexico_born,35_44,2,1,1159708
mexico_born,35_44,2,2,807
mexico_born,35_44,2,3,1147
mexico_born,45_54,1,1,1364768
mexico_born,45_54,1,2,15212
mexico_born,45_54,1,3,7235
mexico_born,45_54,2,1,1315624
mexico_born,45_54,2,2,412
mexico_born,45_54,2,3,896
mexico_born,55_64,1,1,1034161
mexico_born,55_64,1,2,7634
mexico_born,55_64,1,3,2699
mexico_born,55_64,2,1,950880
mexico_born,55_64,2,2,1409
mexico_born,55_64,2,3,2500
mexico_born,65_74,1,1,501254
mexico_born,65_74,1,2,4889
mexico_born,65_74,1,3,1784
mexico_born,65_74,2,1,517107
mexico_born,65_74,2,2,1102
mexico_born,65_74,2,3,503
mexico_born,75_99,1,1,228029
mexico_born,75_99,1,2,4317
mexico_born,75_99,1,3,932
mexico_born,75_99,2,1,315968
mexico_born,75_99,2,2,6669
mexico_born,75_99,2,3,1192
usborn_mexican,0_17,1,1,5727759
usborn_mexican,0_17,1,2,2870
usborn_mexican,0_17,1,3,1860
usborn_mexican,0_17,2,1,5480281
usborn_mexican,0_17,2,2,1869
usborn_mexican,0_17,2,3,2481
usborn_mexican,18_24,1,1,2059127
usborn_mexican,18_24,1,2,20522
usborn_mexican,18_24,1,3,100847
usborn_mexican,18_24,2,1,2016227
usborn_mexican,18_24,2,2,1124
usborn_mexican,18_24,2,3,103577
usborn_mexican,25_34,1,1,2208594
usborn_mexican,25_34,1,2,57637
usborn_mexican,25_34,1,3,18526
usborn_mexican,25_34,2,1,2229289
usborn_mexican,25_34,2,2,5639
usborn_mexican,25_34,2,3,7780
usborn_mexican,35_44,1,1,1471583
usborn_mexican,35_44,1,2,51642
usborn_mexican,35_44,1,3,11349
usborn_mexican,35_44,2,1,1455569
usborn_mexican,35_44,2,2,5539
usborn_mexican,35_44,2,3,6285
usborn_mexican,45_54,1,1,945698
usborn_mexican,45_54,1,2,23029
usborn_mexican,45_54,1,3,7626
usborn_mexican,45_54,2,1,947118
usborn_mexican,45_54,2,2,2381
usborn_mexican,45_54,2,3,3479
