arm,target,reference,target_population,target_institutional_cost_bn,target_institutional_cost_per_person,delta_age_matched_gap_bn,delta_age_matched_gap_per_target_person,delta_standardized_per_person
adverse,mexico_born,native_nh_white,11592022.0,5.88,507.2,1.929,166.4,275.2
adverse,mexico_born,all_natives,11592022.0,5.88,507.2,4.812,415.1,467.1
adverse,usborn_mexican,native_nh_white,27788290.0,13.906,500.4,-4.036,-145.2,-74.8
adverse,usborn_mexican,all_natives,27788290.0,13.906,500.4,0.441,15.9,117.2
adverse,mexican_total,native_nh_white,39380312.0,19.785,502.4,-2.107,-53.5,108.6
adverse,mexican_total,all_natives,39380312.0,19.785,502.4,5.253,133.4,300.6
moderate,mexico_born,native_nh_white,11592022.0,5.661,488.3,1.262,108.8,234.9
moderate,mexico_born,all_natives,11592022.0,5.661,488.3,3.978,343.2,416.5
moderate,usborn_mexican,native_nh_white,27788290.0,12.691,456.7,-4.143,-149.1,-73.9
moderate,usborn_mexican,all_natives,27788290.0,12.691,456.7,0.112,4.0,107.7
moderate,mexican_total,native_nh_white,39380312.0,18.352,466.0,-2.881,-73.2,89.1
moderate,mexican_total,all_natives,39380312.0,18.352,466.0,4.09,103.9,270.7
adverse_nf_medicaid_only,mexico_born,native_nh_white,11592022.0,5.193,448.0,1.194,103.0,156.1
adverse_nf_medicaid_only,mexico_born,all_natives,11592022.0,5.193,448.0,3.977,343.0,334.8
adverse_nf_medicaid_only,usborn_mexican,native_nh_white,27788290.0,12.836,461.9,-4.292,-154.4,-126.7
adverse_nf_medicaid_only,usborn_mexican,all_natives,27788290.0,12.836,461.9,0.094,3.4,52.1
adverse_nf_medicaid_only,mexican_total,native_nh_white,39380312.0,18.029,457.8,-3.098,-78.7,21.8
adverse_nf_medicaid_only,mexican_total,all_natives,39380312.0,18.029,457.8,4.071,103.4,200.5
moderate_nf_medicaid_only,mexico_born,native_nh_white,11592022.0,4.974,429.1,0.527,45.4,115.8
moderate_nf_medicaid_only,mexico_born,all_natives,11592022.0,4.974,429.1,3.142,271.1,284.2
moderate_nf_medicaid_only,usborn_mexican,native_nh_white,27788290.0,11.621,418.2,-4.398,-158.3,-125.8
moderate_nf_medicaid_only,usborn_mexican,all_natives,27788290.0,11.621,418.2,-0.235,-8.5,42.6
moderate_nf_medicaid_only,mexican_total,native_nh_white,39380312.0,16.595,421.4,-3.872,-98.3,2.2
moderate_nf_medicaid_only,mexican_total,all_natives,39380312.0,16.595,421.4,2.907,73.8,170.6
