group,band,population,institutional,rate_per_1000,male_share_of_institutional,white_age_share
mexico_born,0_17,638565.0,49.0,0.077,1.0,0.18135
mexico_born,18_24,552863.0,4631.0,8.376,0.9328,0.08249
mexico_born,25_34,1593837.0,16977.0,10.652,0.9616,0.12329
mexico_born,35_44,2519581.0,23825.0,9.456,0.9661,0.1265
mexico_born,45_54,2704147.0,15624.0,5.778,0.9736,0.11747
mexico_born,55_64,1999283.0,9043.0,4.523,0.8442,0.13847
mexico_born,65_74,1026639.0,5991.0,5.836,0.8161,0.13115
mexico_born,75_99,557107.0,10986.0,19.72,0.393,0.09929
usborn_mexican,0_17,11217120.0,4739.0,0.422,0.6056,0.18135
usborn_mexican,18_24,4301424.0,21646.0,5.032,0.9481,0.08249
usborn_mexican,25_34,4527465.0,63276.0,13.976,0.9109,0.12329
usborn_mexican,35_44,3001967.0,57181.0,19.048,0.9031,0.1265
usborn_mexican,45_54,1929331.0,25410.0,13.17,0.9063,0.11747
usborn_mexican,55_64,1354841.0,14815.0,10.935,0.7727,0.13847
usborn_mexican,65_74,928372.0,12672.0,13.65,0.7639,0.13115
usborn_mexican,75_99,527770.0,13798.0,26.144,0.4185,0.09929
mexican_total,0_17,11855685.0,4788.0,0.404,0.6096,0.18135
mexican_total,18_24,4854287.0,26277.0,5.413,0.9454,0.08249
mexican_total,25_34,6121302.0,80253.0,13.11,0.9216,0.12329
mexican_total,35_44,5521548.0,81006.0,14.671,0.9217,0.1265
mexican_total,45_54,4633478.0,41034.0,8.856,0.9319,0.11747
mexican_total,55_64,3354124.0,23858.0,7.113,0.7998,0.13847
mexican_total,65_74,1955011.0,18663.0,9.546,0.7806,0.13115
mexican_total,75_99,1084877.0,24784.0,22.845,0.4072,0.09929
native_nh_white,0_17,33301144.0,37815.0,1.136,0.7199,0.18135
native_nh_white,18_24,15147749.0,41742.0,2.756,0.8271,0.08249
native_nh_white,25_34,22639993.0,162216.0,7.165,0.8213,0.12329
native_nh_white,35_44,23229961.0,227824.0,9.807,0.8447,0.1265
native_nh_white,45_54,21571284.0,162730.0,7.544,0.8093,0.11747
native_nh_white,55_64,25428253.0,189289.0,7.444,0.7115,0.13847
native_nh_white,65_74,24083247.0,276591.0,11.485,0.5348,0.13115
native_nh_white,75_99,18232405.0,764571.0,41.935,0.3143,0.09929
all_natives,0_17,69692927.0,78193.0,1.122,0.722,0.18135
all_natives,18_24,28398039.0,163707.0,5.765,0.8949,0.08249
all_natives,25_34,38749111.0,512941.0,13.237,0.8809,0.12329
all_natives,35_44,36026687.0,561259.0,15.579,0.8872,0.1265
all_natives,45_54,31105492.0,367011.0,11.799,0.8566,0.11747
all_natives,55_64,33714813.0,352868.0,10.466,0.7505,0.13847
all_natives,65_74,30292205.0,416857.0,13.761,0.5728,0.13115
all_natives,75_99,21850870.0,922371.0,42.212,0.3285,0.09929
