group,lowed,sex,measure,period,rate_pct,se_pct,years
all,all,all,long_distance,2006_2010,3.085274923258358,0.010406344080713349,5
all,all,all,long_distance,2019_2024,3.05188322541595,0.009162171057227612,5
all,all,all,long_distance,2024,3.0068046932068,0.02265883022912,1
all,all,all,moved_abroad,2006_2010,0.61585376459548,0.004695540441616885,5
all,all,all,moved_abroad,2019_2024,0.6338573459263259,0.00461407073163847,5
all,all,all,moved_abroad,2024,0.77661169000907,0.010859628783990001,1
all,all,all,moved_any,2006_2010,15.851243285743369,0.026956265093330507,5
all,all,all,moved_any,2019_2024,13.077458357705702,0.020360837167833615,5
all,all,all,moved_any,2024,12.41135127751799,0.04517287009893,1
all,all,all,moved_interstate,2006_2010,2.469421158662874,0.00896553199890211,5
all,all,all,moved_interstate,2019_2024,2.418025879489622,0.00830922875850976,5
all,all,all,moved_interstate,2024,2.23019300319773,0.01962352386025,1
all,all,all,moved_within_state,2006_2010,12.753622765887501,0.024324417536980742,5
all,all,all,moved_within_state,2019_2024,10.010400407901443,0.019059668350439644,5
all,all,all,moved_within_state,2024,9.39340965725048,0.04196254362114,1
mex_fb,all,all,long_distance,2006_2010,3.2874289748798504,0.0506640194417451,5
mex_fb,all,all,long_distance,2019_2024,2.100864847910782,0.03925846446362165,5
mex_fb,all,all,long_distance,2024,2.63432236644617,0.10496028364995,1
mex_fb,all,all,moved_abroad,2006_2010,1.8027321626785098,0.03667194322480012,5
mex_fb,all,all,moved_abroad,2019_2024,1.184725534290156,0.03047700754352257,5
mex_fb,all,all,moved_abroad,2024,1.6121441668866698,0.08475715083061999,1
mex_fb,all,all,moved_any,2006_2010,18.180083665245107,0.11049448861280482,5
mex_fb,all,all,moved_any,2019_2024,9.41511756554075,0.07817023687555608,5
mex_fb,all,all,moved_any,2024,9.634110340362891,0.17791079228886,1
mex_fb,all,all,moved_interstate,2006_2010,1.484696812201334,0.03305889505294387,5
mex_fb,all,all,moved_interstate,2019_2024,0.91613931362062,0.025737258501419013,5
mex_fb,all,all,moved_interstate,2024,1.0221781995594899,0.061395754412439996,1
mex_fb,all,all,moved_within_state,2006_2010,14.886367054291355,0.09694199038869268,5
mex_fb,all,all,moved_within_state,2019_2024,7.309927685587405,0.07258780370681724,5
mex_fb,all,all,moved_within_state,2024,6.993990032513681,0.1488246498943,1
mex_fb,hs_or_less,all,long_distance,2006_2010,3.223800561819686,0.053329238412257875,5
mex_fb,hs_or_less,all,long_distance,2019_2024,1.758996400575294,0.041887204375838025,5
mex_fb,hs_or_less,all,long_distance,2024,2.28721361299752,0.12131902624376,1
mex_fb,hs_or_less,all,moved_abroad,2006_2010,1.7851087606233402,0.03944487791371466,5
mex_fb,hs_or_less,all,moved_abroad,2019_2024,1.0344866168019562,0.03320459978422415,5
mex_fb,hs_or_less,all,moved_abroad,2024,1.50778697754481,0.09513485373946,1
mex_fb,hs_or_less,all,moved_any,2006_2010,18.187420335191135,0.11888379939116486,5
mex_fb,hs_or_less,all,moved_any,2019_2024,8.524443450373722,0.08681403987287209,5
mex_fb,hs_or_less,all,moved_any,2024,8.68231112983393,0.19067823135371,1
mex_fb,hs_or_less,all,moved_interstate,2006_2010,1.4386918011963419,0.034715240557243364,5
mex_fb,hs_or_less,all,moved_interstate,2019_2024,0.7245097837733361,0.02588835608404174,5
mex_fb,hs_or_less,all,moved_interstate,2024,0.77942663545271,0.06975096707317,1
mex_fb,hs_or_less,all,moved_within_state,2006_2010,14.95821036796246,0.10595339671986688,5
mex_fb,hs_or_less,all,moved_within_state,2019_2024,6.762813073121274,0.07977402436005403,5
mex_fb,hs_or_less,all,moved_within_state,2024,6.39389263196538,0.16134695958304998,1
mex_fb,hs_or_less,men,long_distance,2006_2010,3.727631574996116,0.07297194357140958,5
mex_fb,hs_or_less,men,long_distance,2019_2024,1.9199443282811737,0.055947036010976316,5
mex_fb,hs_or_less,men,long_distance,2024,2.4914027334200397,0.14988552274847,1
mex_fb,hs_or_less,men,moved_abroad,2006_2010,2.108439997670298,0.05818283856564519,5
mex_fb,hs_or_less,men,moved_abroad,2019_2024,1.1628370803399801,0.04571677278805826,5
mex_fb,hs_or_less,men,moved_abroad,2024,1.56239402379314,0.11445482871094001,1
mex_fb,hs_or_less,men,moved_any,2006_2010,19.318194196928204,0.14616372675888972,5
mex_fb,hs_or_less,men,moved_any,2019_2024,8.921853643606008,0.10851000809634562,5
mex_fb,hs_or_less,men,moved_any,2024,9.03578505812092,0.21647929798310003,1
mex_fb,hs_or_less,men,moved_interstate,2006_2010,1.619191577325812,0.04431280736420206,5
mex_fb,hs_or_less,men,moved_interstate,2019_2024,0.75710724794119,0.032564293182896484,5
mex_fb,hs_or_less,men,moved_interstate,2024,0.92900870962689,0.09106065729606,1
mex_fb,hs_or_less,men,moved_within_state,2006_2010,15.584306410379748,0.1291699473912906,5
mex_fb,hs_or_less,men,moved_within_state,2019_2024,6.99885539025953,0.09927017421063053,5
mex_fb,hs_or_less,men,moved_within_state,2024,6.54217597668353,0.19017140422069,1
mex_fb,hs_or_less,women,long_distance,2006_2010,2.541094077040012,0.05706520637116728,5
mex_fb,hs_or_less,women,long_distance,2019_2024,1.5670802405384,0.04829371529794997,5
mex_fb,hs_or_less,women,long_distance,2024,2.04154867472698,0.12948243917912,1
mex_fb,hs_or_less,women,moved_abroad,2006_2010,1.3465231079901299,0.040975344179005155,5
mex_fb,hs_or_less,women,moved_abroad,2019_2024,0.883183833598312,0.037403539438885226,5
mex_fb,hs_or_less,women,moved_abroad,2024,1.4420879010319398,0.10723439786049999,1
mex_fb,hs_or_less,women,moved_any,2006_2010,16.658970069457663,0.1260678616499764,5
mex_fb,hs_or_less,women,moved_any,2019_2024,8.049993615138469,0.10497640100561031,5
mex_fb,hs_or_less,women,moved_any,2024,8.25703797819302,0.26684582804756,1
mex_fb,hs_or_less,women,moved_interstate,2006_2010,1.19457096904988,0.03735724626476945,5
mex_fb,hs_or_less,women,moved_interstate,2019_2024,0.68389640694008,0.031011551403062443,5
mex_fb,hs_or_less,women,moved_interstate,2024,0.59946077369503,0.06790294454081,1
mex_fb,hs_or_less,women,moved_within_state,2006_2010,14.11357793713891,0.11719553598901578,5
mex_fb,hs_or_less,women,moved_within_state,2019_2024,6.48079264108398,0.09561387346940296,5
mex_fb,hs_or_less,women,moved_within_state,2024,6.21548930346603,0.22475783686571002,1
mex_fb,some_college_plus,all,long_distance,2006_2010,3.640604163402518,0.10497009762345914,5
mex_fb,some_college_plus,all,long_distance,2019_2024,3.247015616823486,0.08652982500933126,5
mex_fb,some_college_plus,all,long_distance,2024,3.73226043530099,0.21494027258961002,1
mex_fb,some_college_plus,all,moved_abroad,2006_2010,1.901858670706184,0.07757316505109474,5
mex_fb,some_college_plus,all,moved_abroad,2019_2024,1.690052666003702,0.05896790535648465,5
mex_fb,some_college_plus,all,moved_abroad,2024,1.94223590268635,0.14796387234392,1
mex_fb,some_college_plus,all,moved_any,2006_2010,18.11700976641055,0.2090001107754298,5
mex_fb,some_college_plus,all,moved_any,2019_2024,12.414104131405102,0.16072788271167027,5
mex_fb,some_college_plus,all,moved_any,2024,12.644741955852579,0.36064367421279003,1
mex_fb,some_college_plus,all,moved_interstate,2006_2010,1.7387454926963302,0.07144368824822021,5
mex_fb,some_college_plus,all,moved_interstate,2019_2024,1.556962950819778,0.06164848568556033,5
