area_fips,annual_avg_emplvl,total_annual_wages,disclosure_code,year
01001,11259.0,327401659.0,,2006
01003,59291.0,1748925435.0,,2006
01005,11095.0,301528643.0,,2006
01007,4092.0,117235805.0,,2006
01009,8572.0,239594436.0,,2006
01011,3048.0,81766163.0,,2006
01013,6935.0,181144154.0,,2006
01015,49512.0,1620244570.0,,2006
01017,10195.0,298235736.0,,2006
01019,5114.0,133501302.0,,2006
01021,9057.0,250997487.0,,2006
01023,3927.0,172271098.0,,2006
01025,8914.0,264027114.0,,2006
01027,4960.0,136998409.0,,2006
01029,2689.0,79699392.0,,2006
01031,15088.0,393491119.0,,2006
01033,21496.0,730440906.0,,2006
01035,4182.0,123242397.0,,2006
01037,1680.0,53392077.0,,2006
01039,13568.0,364362213.0,,2006
01041,3669.0,97915574.0,,2006
01043,27562.0,825681930.0,,2006
01045,18118.0,687049278.0,,2006
01047,15610.0,463102690.0,,2006
01049,23973.0,675044097.0,,2006
01051,16490.0,492980386.0,,2006
01053,12681.0,373608629.0,,2006
01055,36555.0,1078348388.0,,2006
01057,5400.0,159211474.0,,2006
01059,10981.0,289366055.0,,2006
01061,5999.0,141716511.0,,2006
01063,2420.0,66514394.0,,2006
01065,3422.0,95103614.0,,2006
01067,4618.0,140950606.0,,2006
01069,48858.0,1589194027.0,,2006
01071,17379.0,516933227.0,,2006
01073,373097.0,16011375123.0,,2006
01075,3971.0,120344463.0,,2006
01077,31284.0,827515681.0,,2006
01079,6492.0,257104865.0,,2006
01081,48694.0,1483604911.0,,2006
01083,21813.0,934000037.0,,2006
01085,3211.0,106557271.0,,2006
01087,5852.0,175075641.0,,2006
01089,172376.0,7738342971.0,,2006
01091,8298.0,238233972.0,,2006
01093,11826.0,333284797.0,,2006
01095,37157.0,1008099251.0,,2006
01097,170428.0,6156799260.0,,2006
01099,8740.0,296904591.0,,2006
01101,137700.0,5040762529.0,,2006
01103,48157.0,1649197000.0,,2006
01105,2317.0,56040722.0,,2006
01107,4230.0,112166583.0,,2006
01109,13405.0,389173352.0,,2006
01111,5569.0,146797760.0,,2006
01113,12605.0,378387839.0,,2006
01115,16055.0,456517736.0,,2006
01117,64043.0,2524130464.0,,2006
01119,3615.0,104470019.0,,2006
01121,30243.0,1088739415.0,,2006
01123,14270.0,366673061.0,,2006
01125,84154.0,3043469923.0,,2006
01127,18889.0,546537425.0,,2006
01129,4029.0,179624364.0,,2006
01131,3259.0,113180987.0,,2006
01133,9244.0,243673657.0,,2006
01999,44852.0,2372634466.0,,2006
02013,1946.0,58995786.0,,2006
02016,3877.0,147912523.0,,2006
02020,144931.0,6408333827.0,,2006
02050,6712.0,210005009.0,,2006
02060,1289.0,49419817.0,,2006
02068,2320.0,79042403.0,,2006
02070,2542.0,81468032.0,,2006
02090,36644.0,1513218783.0,,2006
02100,1036.0,29568720.0,,2006
02110,17500.0,685639063.0,,2006
02122,17923.0,654047451.0,,2006
02130,7026.0,249854190.0,,2006
02150,5439.0,193150380.0,,2006
02164,719.0,22399840.0,,2006
02170,17513.0,569417868.0,,2006
02180,3573.0,119673027.0,,2006
02185,10395.0,777445161.0,,2006
02188,2870.0,126339026.0,,2006
02201,1795.0,56756106.0,,2006
02220,4312.0,146544069.0,,2006
02232,1494.0,46102125.0,,2006
02240,2397.0,124040364.0,,2006
02261,4624.0,200684838.0,,2006
02270,2076.0,43895235.0,,2006
02280,2505.0,77342931.0,,2006
02282,322.0,10660776.0,,2006
02290,2077.0,67220979.0,,2006
02999,1784.0,94673188.0,,2006
04001,19990.0,619179807.0,,2006
04003,38009.0,1307371396.0,,2006
04005,58134.0,1873676483.0,,2006
04007,14385.0,452020726.0,,2006
04009,8570.0,245957981.0,,2006
04011,4301.0,194169731.0,,2006
04012,6047.0,155358916.0,,2006
04013,1803147.0,76515315065.0,,2006
04015,54758.0,1628896619.0,,2006
04017,28339.0,877295601.0,,2006
04019,367667.0,13647347584.0,,2006
04021,48523.0,1662099199.0,,2006
04023,13576.0,450248751.0,,2006
04025,63334.0,1939600651.0,,2006
04027,66456.0,1885271127.0,,2006
04999,19109.0,1170103512.0,,2006
05001,10105.0,297326461.0,,2006
05003,8299.0,295328418.0,,2006
05005,14862.0,408160907.0,,2006
05007,93140.0,3577893399.0,,2006
05009,14159.0,431238801.0,,2006
05011,4122.0,104197742.0,,2006
05013,3139.0,115288360.0,,2006
05015,9950.0,230271330.0,,2006
05017,3623.0,85659763.0,,2006
05019,9740.0,255957377.0,,2006
05021,4517.0,103409833.0,,2006
05023,6915.0,168374925.0,,2006
05025,1100.0,26967585.0,,2006
05027,9458.0,290536257.0,,2006
05029,6806.0,184260006.0,,2006
05031,41714.0,1226602159.0,,2006
05033,19050.0,533703559.0,,2006
05035,16376.0,476169449.0,,2006
05037,5079.0,133328309.0,,2006
05039,3391.0,85920803.0,,2006
05041,5005.0,139303309.0,,2006
05043,6701.0,163247643.0,,2006
05045,37887.0,1203023234.0,,2006
05047,4340.0,119840062.0,,2006
05049,1896.0,40886588.0,,2006
05051,37145.0,1028331235.0,,2006
05053,3681.0,97846221.0,,2006
05055,15186.0,419046652.0,,2006
05057,8366.0,223271110.0,,2006
05059,8174.0,238613002.0,,2006
05061,7740.0,202652102.0,,2006
05063,16335.0,453354560.0,,2006
05065,3046.0,71379194.0,,2006
05067,5688.0,156454958.0,,2006
05069,33923.0,1113341497.0,,2006
05071,8582.0,217027500.0,,2006
05073,1455.0,37305572.0,,2006
05075,4171.0,100041270.0,,2006
05077,2125.0,54572881.0,,2006
05079,2966.0,79706316.0,,2006
05081,4499.0,181087975.0,,2006
05083,5945.0,146508924.0,,2006
05085,12261.0,323748560.0,,2006
05087,3226.0,80433526.0,,2006
05089,4165.0,97092696.0,,2006
05091,12593.0,389040135.0,,2006
05093,19052.0,636496917.0,,2006
05095,2407.0,53227218.0,,2006
05097,1730.0,37875860.0,,2006
05099,2659.0,74981445.0,,2006
05101,1144.0,23393626.0,,2006
05103,7978.0,210430980.0,,2006
05105,1240.0,29324509.0,,2006
05107,6550.0,165242920.0,,2006
05109,2968.0,70888177.0,,2006
05111,5983.0,155264286.0,,2006
05113,6366.0,148435847.0,,2006
05115,27210.0,787360837.0,,2006
05117,1543.0,38876910.0,,2006
05119,246949.0,9436199789.0,,2006
05121,5069.0,115670400.0,,2006
