F_arm,E_arm,C_arm,R_arm,union_absolute_bn,union_per_person,se_bn
zero,stock,wage25_capital75,central,-263.2241407097771,-6436.337178982014,8.85265117055456
zero,stock,wage25_capital75,central_housing_by_reported_subsidy,-263.65012599808034,-6446.7533396784165,8.886788801702886
zero,stock,wage25_capital75,all_per_capita,-331.2683258908011,-8100.148551727792,9.352702383730245
zero,stock,wage25_capital75,all_zero,-148.08488845434277,-3620.960716726117,8.649131065285463
zero,stock,per_capita,central,-214.18454097173407,-5237.224520905668,8.180535632504778
zero,stock,per_capita,central_housing_by_reported_subsidy,-214.61052626003735,-5247.640681602072,8.213327316290483
zero,stock,per_capita,all_per_capita,-282.2287261527581,-6901.035893651446,8.62751302741584
zero,stock,per_capita,all_zero,-99.04528871629978,-2421.8480586497717,7.97917174330283
zero,stock,all_capital,central,-271.9945603051183,-6650.790828881118,8.798335473499321
zero,stock,all_capital,central_housing_by_reported_subsidy,-272.4205455934216,-6661.206989577521,8.83399111906698
zero,stock,all_capital,all_per_capita,-340.0387454861423,-8314.602201626896,9.311011809533245
zero,stock,all_capital,all_zero,-156.855308049684,-3835.414366625221,8.593765550464102
zero,stock_plus_flow,wage25_capital75,central,-265.76830966117706,-6498.547009612868,8.863583991096357
zero,stock_plus_flow,wage25_capital75,central_housing_by_reported_subsidy,-266.1942949494803,-6508.96317030927,8.897028526239493
zero,stock_plus_flow,wage25_capital75,all_per_capita,-333.81249484220103,-8162.358382358644,9.365918039280674
zero,stock_plus_flow,wage25_capital75,all_zero,-150.62905740574274,-3683.170547356971,8.659357666262398
zero,stock_plus_flow,per_capita,central,-216.7287099231341,-5299.4343515365235,8.189569745755424
zero,stock_plus_flow,per_capita,central_housing_by_reported_subsidy,-217.1546952114373,-5309.850512232925,8.22162076244
zero,stock_plus_flow,per_capita,all_per_capita,-284.77289510415807,-6963.2457242823,8.639187510659392
zero,stock_plus_flow,per_capita,all_zero,-101.58945766769976,-2484.057889280626,7.987389416017425
zero,stock_plus_flow,all_capital,central,-274.5387292565183,-6713.000659511973,8.809488132542961
zero,stock_plus_flow,all_capital,central_housing_by_reported_subsidy,-274.96471454482156,-6723.416820208375,8.844443799125068
zero,stock_plus_flow,all_capital,all_per_capita,-342.58291443754234,-8376.81203225775,9.324430566562084
zero,stock_plus_flow,all_capital,all_zero,-159.399477001084,-3897.624197256076,8.60421402439496
zero,stock_pew_secondary,wage25_capital75,central,-262.41390822106007,-6416.525434220737,8.84927603086337
zero,stock_pew_secondary,wage25_capital75,central_housing_by_reported_subsidy,-262.83989350936326,-6426.941594917139,8.883634324370245
zero,stock_pew_secondary,wage25_capital75,all_per_capita,-330.4580934020841,-8080.336806966515,9.348593306122522
zero,stock_pew_secondary,wage25_capital75,all_zero,-147.27465596562573,-3601.14897196484,8.645983702138361
zero,stock_pew_secondary,per_capita,central,-213.37430848301702,-5217.412776144391,8.177774893814204
zero,stock_pew_secondary,per_capita,central_housing_by_reported_subsidy,-213.80029377132033,-5227.828936840794,8.210802315480896
zero,stock_pew_secondary,per_capita,all_per_capita,-281.4184936640411,-6881.224148890169,8.62390407061679
zero,stock_pew_secondary,per_capita,all_zero,-98.23505622758273,-2402.0363138884945,7.976674316944626
zero,stock_pew_secondary,all_capital,central,-271.18432781640126,-6630.97908411984,8.794890865890926
zero,stock_pew_secondary,all_capital,central_housing_by_reported_subsidy,-271.6103131047045,-6641.395244816244,8.830769355532661
zero,stock_pew_secondary,all_capital,all_per_capita,-339.2285129974253,-8294.790456865618,9.306838376039204
zero,stock_pew_secondary,all_capital,all_zero,-156.04507556096695,-3815.602621863944,8.590548122518305
zero,zero,wage25_capital75,central,-260.50736254963147,-6369.906720772365,8.84153769863831
zero,zero,wage25_capital75,central_housing_by_reported_subsidy,-260.9333478379347,-6380.322881468767,8.876415069516067
zero,zero,wage25_capital75,all_per_capita,-328.5515477306555,-8033.718093518143,9.339114784571828
zero,zero,wage25_capital75,all_zero,-145.36811029419715,-3554.5302585164677,8.638786805805617
zero,zero,per_capita,central,-211.4677628115885,-5170.79406269602,8.171500818945548
zero,zero,per_capita,central_housing_by_reported_subsidy,-211.89374809989172,-5181.210223392422,8.20508264158318
zero,zero,per_capita,all_per_capita,-279.51194799261253,-6834.605435441798,8.615620139573856
zero,zero,per_capita,all_zero,-96.32851055615417,-2355.4176004401234,7.9710261115632735
zero,zero,all_capital,central,-269.2777821449727,-6584.360370671469,8.786990121355805
zero,zero,all_capital,central_housing_by_reported_subsidy,-269.7037674332759,-6594.776531367872,8.823392801618938
zero,zero,all_capital,all_per_capita,-337.3219673259967,-8248.171743417246,9.297209052059046
zero,zero,all_capital,all_zero,-154.1385298895384,-3768.983908415573,8.583187507427834
