item,arm,label,group,total_bn,per_person,se_bn,common_age_gap_per_person_vs_white,source,external
G,nominal2022,state-local general services,mexico_born,-48.19207935532016,-3943.453030948056,0.9436702475255847,-186.8766290351287,cache:22slsstab1.xlsx,False
G,nominal2022,state-local general services,mexican_second_gen,-57.28634004282767,-3996.753652086639,1.1532198426939237,-253.79148413857703,cache:22slsstab1.xlsx,False
G,nominal2022,state-local general services,mexican_third_plus_selfid,-54.213721657754654,-3779.9156111088573,1.1576915522643734,-51.183935343533335,cache:22slsstab1.xlsx,False
G,nominal2022,state-local general services,mexican_observed_total,-159.6921410559025,-3904.7803970328164,1.5151838500672345,-190.68080602186137,cache:22slsstab1.xlsx,False
G,nominal2022,state-local general services,third_plus_nh_white,-644.8199779763992,-3726.1223386407664,1.6927481533938056,0.0,cache:22slsstab1.xlsx,False
G,nominal2022,state-local general services,all_native,-1078.0489801782726,-3800.333824203511,2.0172397530419475,-71.20004115901484,cache:22slsstab1.xlsx,False
G,deflated2024,state-local general services,mexico_born,-50.08660637893661,-4098.478056500694,0.9807678122963134,-194.2231230757622,cache:22slsstab1.xlsx + params:deflator,False
G,deflated2024,state-local general services,mexican_second_gen,-59.538380642591314,-4153.8740316574695,1.1985552211499093,-263.76853496303175,cache:22slsstab1.xlsx + params:deflator,False
G,deflated2024,state-local general services,mexican_third_plus_selfid,-56.344971483564244,-3928.511653612765,1.2032027225669937,-53.19607820975601,cache:22slsstab1.xlsx + params:deflator,False
G,deflated2024,state-local general services,mexican_observed_total,-165.96995850509214,-4058.2851240009704,1.5747487575811017,-198.17684986819432,cache:22slsstab1.xlsx + params:deflator,False
G,deflated2024,state-local general services,third_plus_nh_white,-670.1691409506075,-3872.6036600174125,1.7592934687999662,0.0,cache:22slsstab1.xlsx + params:deflator,False
G,deflated2024,state-local general services,all_native,-1120.4292416870408,-3949.7325475005996,2.096541482213577,-73.9990571770576,cache:22slsstab1.xlsx + params:deflator,False
K,central,K-12 capital outlay and interest on school debt,mexico_born,-5.024396713996733,-411.13545453001007,0.17122196961405006,-135.72711158530404,"params:k12 F-33 capital, interest and fall membership by state",False
K,central,K-12 capital outlay and interest on school debt,mexican_second_gen,-8.861116585816248,-618.2224252666439,0.2776276623234786,-99.4680155813983,"params:k12 F-33 capital, interest and fall membership by state",False
K,central,K-12 capital outlay and interest on school debt,mexican_third_plus_selfid,-8.845248566307792,-616.7127457323835,0.3261952657361326,-83.56109266439671,"params:k12 F-33 capital, interest and fall membership by state",False
K,central,K-12 capital outlay and interest on school debt,mexican_observed_total,-22.730761866120773,-555.8109043912077,0.43624255412027346,-115.92470782708259,"params:k12 F-33 capital, interest and fall membership by state",False
K,central,K-12 capital outlay and interest on school debt,third_plus_nh_white,-54.25299668765607,-313.50347352835547,0.4812718026612316,0.0,"params:k12 F-33 capital, interest and fall membership by state",False
