group,step,item,label,item_bn,cumulative_bn,cumulative_per_person,se_bn,flag
mexico_born,0,base,all_age_shared absolute,0.0,6.629354990890361,542.4656993799379,3.1258570351348083,cps_records
mexico_born,1,G,state-local general services,-50.08660637893661,-43.45725138804625,-3556.0123571207564,3.2772847986227265,cps_records
mexico_born,2,K,K-12 capital outlay and interest on school debt,-5.024396713996733,-48.48164810204298,-3967.147811650767,3.359676802731816,cps_records
mexico_born,3,D,district cost-to-serve differential,0.0,-48.48164810204298,-3967.147811650767,3.359676802731816,dropped_no_verified_parameter
mexico_born,4,U,transfer under-reporting,-2.1986613052749835,-50.68030940731797,-4147.059483948378,3.425226977088665,cps_records
mexico_born,5,I,refundable-credit improper payments,-1.393343009604118,-52.07365241692209,-4261.073711760839,3.4513710483919904,cps_records
mexico_born,6,M,MEPS-to-NHEA coverage scaling,-10.826607780645798,-62.90026019756789,-5146.99147747269,3.5629960395806957,cps_records
mexico_born,7,N,institutional care (external add),-5.7701671365,-68.67042733406788,-5619.151703549256,3.5629960395806948,external_add_no_se
mexico_born,8,E,immigration enforcement,-2.716778160145586,-71.38720549421348,-5841.459751123819,3.588555267812015,cps_records
mexico_born,9,C,"corporate income tax, federal and state",8.167829918309526,-63.219375575903946,-5173.103994773369,3.753651497070984,cps_records
mexico_born,10,X,excise and selective sales taxes,11.272104431459042,-51.9472711444449,-4250.732207126214,3.6716918397021647,cps_records
mexico_born,11,R,rest of the federal budget by function,-32.23047121082995,-84.17774235527484,-6888.081561739615,3.996122599085854,cps_records
mexico_born,12,F,"federal defense, net interest, general government",0.0,-84.17774235527484,-6888.081561739615,3.996122599085854,central_arm_is_zero
mexico_born,13,S,state-funded coverage for undocumented residents,-1.485180505004549,-85.6629228602794,-7009.610652044754,4.016843184248884,cps_records
mexican_second_gen,0,base,all_age_shared absolute,0.0,10.693472380705494,746.0622333198487,3.4224548533777277,cps_records
mexican_second_gen,1,G,state-local general services,-59.538380642591314,-48.84490826188582,-3407.81179833762,3.7100133681351726,cps_records
mexican_second_gen,2,K,K-12 capital outlay and interest on school debt,-8.861116585816248,-57.70602484770207,-4026.034223604264,3.877015537517451,cps_records
