group,metric,allocation,weighting,n_adults_2025,n_adults_2026,weighted_adults_2025,weighted_adults_2026,estimate_asec2025,se_asec2025,estimate_asec2026,se_asec2026,estimate_asec2026_oasdi2025cap,se_asec2026_oasdi2025cap,change_2026_minus_2025,diff_from_ref_asec2025,se_diff_from_ref_asec2025,diff_from_ref_asec2026,se_diff_from_ref_asec2026,pooled_estimate,pooled_se_independent,pooled_diff_from_ref,pooled_se_diff_independent
third_plus_nh_white,modeled_tax_total,equal_all_members,person,36287,33857,87647853.34583464,84685853.87406375,14383.315562099571,237.54421674441295,14864.257790752965,232.58462358578294,14864.257790752965,232.58462358578294,480.9422286533936,,,,,14623.786676426269,166.2248943729977,,
third_plus_nh_white,selected_cash_total,equal_all_members,person,36287,33857,87647853.34583464,84685853.87406375,2453.3193668505855,48.06680457289511,2367.1930242295352,51.65947374204925,2367.1930242295352,51.65947374204925,-86.1263426210503,,,,,2410.2561955400606,35.28143608597291,,
third_plus_nh_white,selected_noncash_total,equal_all_members,person,36287,33857,87647853.34583464,84685853.87406375,144.1656678714382,4.210949583362376,136.21911506971466,4.280458286091154,136.21911506971466,4.280458286091154,-7.946552801723527,,,,,140.1923914705764,3.002266624260168,,
third_plus_nh_white,cash_noncash_tax_balance,equal_all_members,person,36287,33857,87647853.34583464,84685853.87406375,11785.83052737754,249.994335737927,12360.845651453721,252.12334858802106,12360.845651453721,252.12334858802106,575.0151240761807,,,,,12073.33808941563,177.52700555428473,,
third_plus_nh_white,employer_payroll,equal_all_members,person,36287,33857,87647853.34583464,84685853.87406375,3488.823409575924,27.5932451187669,3656.7501627737824,32.1226657300788,3680.1523061895173,32.56819421474186,167.9267531978585,,,,,3572.786786174853,21.173408026288143,,
third_plus_nh_white,sales_tax_share35,equal_all_members,person,36287,33857,87647853.34583464,84685853.87406375,1049.7298752419933,10.483413397918133,1087.965792722008,10.772196629871402,1087.965792722008,10.772196629871402,38.23591748001468,,,,,1068.8478339820008,7.515686540567372,,
third_plus_nh_white,property_tax_owner,equal_all_members,person,36287,33857,87647853.34583464,84685853.87406375,1312.755842800073,16.3065121544571,1398.114795016272,19.372239235134813,1398.114795016272,19.372239235134813,85.35895221619899,,,,,1355.4353189081726,12.660825324862849,,
third_plus_nh_white,k12_charged,equal_all_members,person,36287,33857,87647853.34583464,84685853.87406375,1651.5460069294804,23.158705513652368,1687.5274436799234,21.575108966471213,1687.5274436799234,21.575108966471213,35.98143675044298,,,,,1669.536725304702,15.82569878380714,,
third_plus_nh_white,extended_balance_base,equal_all_members,person,36287,33857,87647853.34583464,84685853.87406375,15985.593648065931,291.82573949427535,16816.14895828602,305.3311893337963,16839.551101701767,305.8193609932812,830.5553102200884,,,,,16400.871303175976,211.18084513715445,,
all_native,modeled_tax_total,equal_all_members,person,55652,52661,134686458.17077535,133908750.42041044,13110.121066215712,184.3527627673565,13487.447974910554,175.8164257205374,13487.447974910554,175.8164257205374,377.32690869484213,-1273.1944958838594,104.11100443804978,-1376.809815842411,112.7621149340534,13298.784520563133,127.37479803036241,-1325.0021558631352,76.73720709261625
all_native,selected_cash_total,equal_all_members,person,55652,52661,134686458.17077535,133908750.42041044,2450.8695873707807,37.556896159934,2437.3623479865387,38.95843036198299,2437.3623479865387,38.95843036198299,-13.507239384241984,-2.4497794798048744,25.640025844069086,70.16932375700344,29.083894864369,2444.1159676786597,27.056790947179707,33.85977213859928,19.386102404597732
all_native,selected_noncash_total,equal_all_members,person,55652,52661,134686458.17077535,133908750.42041044,186.1530542547306,3.7916219443422032,175.078729359959,3.7377744485631976,175.078729359959,3.7377744485631976,-11.074324894771593,41.9873863832924,2.8886330274952243,38.85961429024434,2.6444491784743365,180.61589180734478,2.662111699250675,40.42350033676837,1.9581440335857458
