allocation,line,all_native,all_second_gen,mexican_second_gen,mexican_third_plus_selfid,mexico_born
equal_all_members,extended balance (§12),-1718.7700418975637,-326.5526375744121,-8286.230632973373,-6279.020313245939,-11522.428824396626
equal_all_members,  - edu_assistance_government,-13.483384499357271,-44.62733106538326,-25.38798891708575,-7.671704653983397,-12.498217782058418
equal_all_members,  - aptc_measured,-7.535604645119747,-26.84236436854917,11.245457029619502,11.203282113012392,13.467849853235748
equal_all_members,  - uncompensated_care,-18.000004009341865,-38.90798868478305,-119.7534996669965,-65.02898619138068,-382.65409234796607
equal_all_members,  - other_public_transfers,-5.156390956150062,-7.197241425263201,0.3189996435321518,-59.227444228950844,3.2809266662879963
equal_all_members,  - ccdf,-5.2640746085803904,-9.704374317456388,-27.92360542526471,-17.59846406383643,-33.10907538091553
equal_all_members,  - head_start,-4.604550102787574,-9.265303504168955,-23.368738853632028,-9.66465570272435,-22.99428322699454
equal_all_members,  - higher_ed,-9.921533177119414,-60.56815650574379,-91.72512818805896,-61.81767320259539,-190.6318454875515
equal_all_members,  - lifeline,-0.42277287376265926,-0.2932334300547206,-0.686652615715905,-0.5993297479426247,-2.139690739555548
equal_all_members,= combined residual balance,-1783.1583567697826,-523.9586308758146,-8563.511789966975,-6489.42528892434,-12149.707252842143
equal_all_members,"  institutional care, ACS self-ID proxy (base)",-228.71859322133741,-228.71859322133741,47.71267135292942,47.71267135292942,719.1452464154518
equal_all_members,= with institutional care,-2011.87694999112,-752.677224097152,-8515.799118614046,-6441.71261757141,-11430.562006426691
equal_all_members,"  local general services, per-capita convention",-64.72254732217925,-502.58936430153017,-385.43656113059615,-42.001193542886085,-213.06543188776914
equal_all_members,"  federal public goods, per-capita convention",4.547473508864641e-11,2.2737367544323206e-11,3.183231456205249e-11,3.183231456205249e-11,2.7284841053187847e-11
equal_all_members,= with both per-capita conventions,-2076.599497313254,-1255.2665883986595,-8901.235679744612,-6483.713811114264,-11643.627438314434
equal_adults_18plus,extended balance (§12),-2323.164950296534,-470.30311791400163,-10633.259461749753,-8013.191766189404,-14944.885749521858
equal_adults_18plus,  - edu_assistance_government,-15.35354763538453,-50.46244966537779,-39.25749701962559,-7.795162620395786,-17.240723566894303
equal_adults_18plus,  - aptc_measured,-9.675563535216497,-27.849515406924183,5.641211894224398,8.112027036888321,8.031085935301235
equal_adults_18plus,  - uncompensated_care,-23.934494085478946,-53.49367016688484,-170.48063491596986,-87.02350465509517,-522.3964127212548
equal_adults_18plus,  - other_public_transfers,-5.508603984317233,-9.084938551328378,-0.9605596811343275,-63.99895674247273,2.0239768413648562
equal_adults_18plus,  - ccdf,-13.471901237812695,-21.91396997120811,-64.41763162454973,-38.36428133862277,-65.20819036184236
equal_adults_18plus,  - head_start,-12.395688125022968,-22.80049531460751,-59.628436738374894,-25.021453903177665,-44.933999167075186
equal_adults_18plus,  - higher_ed,-11.390179218293326,-65.05793595483044,-106.65028857441058,-70.42199677027466,-232.72762741915227
equal_adults_18plus,  - lifeline,-0.576208220044327,-0.5023377964904405,-1.2323509920268823,-0.9652075844082977,-3.0205099464126777
equal_adults_18plus,= combined residual balance,-2415.4711363381043,-721.4684307416533,-11070.245649401619,-8298.670302766963,-15820.358149927823
equal_adults_18plus,"  institutional care, ACS self-ID proxy (base)",-228.71859322133741,-228.71859322133741,47.71267135292942,47.71267135292942,719.1452464154518
equal_adults_18plus,= with institutional care,-2644.1897295594417,-950.1870239629907,-11022.53297804869,-8250.957631414034,-15101.21290351237
equal_adults_18plus,"  local general services, per-capita convention",-114.01926008396822,-683.5034266744578,-859.532492013007,-241.39933991008274,-557.4406912428649
equal_adults_18plus,"  federal public goods, per-capita convention",-42.11558750612767,-32.21166002965674,-491.99269166010527,-258.2761955826736,-392.21754992016577
equal_adults_18plus,= with both per-capita conventions,-2800.3245771495376,-1665.9021106671053,-12374.058161721803,-8750.63316690679,-16050.871144675402
