allocation,weighting,group,metric,source,n_adults_unweighted,weighted_adults,estimate,se_sdr,difference_from_third_plus_nh_white,se_sdr_difference
equal_all_members,person,third_plus_nh_white,edu_assistance_government,cps_asec_2025,36287,87647853.34583464,55.83240396434,7.610359821049551,0.0,0.0
equal_all_members,person,third_plus_nh_white,higher_ed_subsidy_nces,cps_asec_2025,36287,87647853.34583464,138.42492864489333,5.224391629640681,0.0,0.0
equal_all_members,person,third_plus_nh_white,aptc_measured,cps_asec_2025,36287,87647853.34583464,208.00096856804947,8.524267931701633,0.0,0.0
equal_all_members,person,third_plus_nh_white,uncompensated_care,cps_asec_2025,36287,87647853.34583464,114.40606298974946,2.6806043744643553,0.0,0.0
equal_all_members,person,third_plus_nh_white,other_public_transfers,cps_asec_2025,36287,87647853.34583464,13.108715420424195,2.9230827853620758,0.0,0.0
equal_all_members,person,third_plus_nh_white,edu_assistance_government_proportional,cps_asec_2025,36287,87647853.34583464,48.87210096590386,6.044960202565868,0.0,0.0
equal_all_members,person,third_plus_nh_white,higher_ed_subsidy_brief074,cps_asec_2025,36287,87647853.34583464,132.5781506586316,5.003724310026928,0.0,0.0
equal_all_members,person,third_plus_nh_white,aptc_fallback_share,cps_asec_2025,36287,87647853.34583464,303.69004228574227,9.99511349051152,0.0,0.0
equal_all_members,person,third_plus_nh_white,uncompensated_care_2024_prices,cps_asec_2025,36287,87647853.34583464,137.28727558769933,3.2167252493572343,0.0,0.0
equal_all_members,person,third_plus_nh_white,uncompensated_care_ever_uninsured,cps_asec_2025,36287,87647853.34583464,88.07640488122297,2.537742329806384,0.0,0.0
equal_all_members,person,third_plus_nh_white,housing_subsidy_capped_resource,cps_asec_2025,36287,87647853.34583464,40.856569809784745,4.490142845433214,0.0,0.0
equal_all_members,person,third_plus_nh_white,college_fte_18_24,cps_asec_2025,36287,87647853.34583464,15.33507344450953,0.5787716860519124,0.0,0.0
equal_all_members,person,third_plus_nh_white,extended_balance,cps_asec_2025,36287,87647853.34583464,15984.42482115891,291.8329232922215,0.0,0.0
equal_all_members,person,third_plus_nh_white,residual_balance_cps_only,cps_asec_2025,36287,87647853.34583464,15454.651741571453,292.47372455152254,0.0,0.0
equal_all_members,person,third_plus_nh_white,after_edu_assistance_government,cps_asec_2025,36287,87647853.34583464,15928.59241719457,292.57717156135595,0.0,0.0
equal_all_members,person,third_plus_nh_white,after_higher_ed_subsidy_nces,cps_asec_2025,36287,87647853.34583464,15790.167488549676,292.4306765920754,0.0,0.0
equal_all_members,person,third_plus_nh_white,after_aptc_measured,cps_asec_2025,36287,87647853.34583464,15582.166519981627,292.5348926966005,0.0,0.0
equal_all_members,person,third_plus_nh_white,after_uncompensated_care,cps_asec_2025,36287,87647853.34583464,15467.760456991877,292.8867134998639,0.0,0.0
equal_all_members,person,third_plus_nh_white,after_other_public_transfers,cps_asec_2025,36287,87647853.34583464,15454.651741571453,292.47372455152254,0.0,0.0
equal_all_members,person,third_plus_nh_white,institutional_care_base,acs_pums_2023,36287,87647853.34583464,1105.1401339071647,,0.0,
equal_all_members,person,third_plus_nh_white,institutional_care_generic_hispanic_adjusted,acs_pums_2023,36287,87647853.34583464,1105.1401339071647,,0.0,
equal_all_members,person,third_plus_nh_white,institutional_care_prison_45k,acs_pums_2023,36287,87647853.34583464,993.4079187117457,,0.0,
equal_all_members,person,third_plus_nh_white,institutional_care_prison_70k,acs_pums_2023,36287,87647853.34583464,1209.7508263208322,,0.0,
equal_all_members,person,third_plus_nh_white,institutional_care_nursing_medicaid_share_062,acs_pums_2023,36287,87647853.34583464,875.6236736013167,,0.0,
equal_all_members,person,third_plus_nh_white,institutional_care_nursing_062_and_hispanic_adj,acs_pums_2023,36287,87647853.34583464,875.6236736013167,,0.0,
equal_all_members,person,third_plus_nh_white,full_residual_balance_cps_plus_acs,combined,36287,87647853.34583464,14349.511607664288,,0.0,
equal_all_members,person,all_native,edu_assistance_government,cps_asec_2025,55652,134686458.17077535,69.31578846369601,5.945451456534556,13.483384499356006,4.521974868973167
equal_all_members,person,all_native,higher_ed_subsidy_nces,cps_asec_2025,55652,134686458.17077535,142.48183279532978,4.4195834793144355,4.056904150436452,2.639095923265855
equal_all_members,person,all_native,aptc_measured,cps_asec_2025,55652,134686458.17077535,215.53657321316825,6.511236159895672,7.535604645118781,4.314529325753498
equal_all_members,person,all_native,uncompensated_care,cps_asec_2025,55652,134686458.17077535,132.4060669990926,2.3494844429112423,18.00000400934313,1.6953744951153937
equal_all_members,person,all_native,other_public_transfers,cps_asec_2025,55652,134686458.17077535,18.26510637657291,3.5815311665145444,5.156390956148714,2.9925361416618355
equal_all_members,person,all_native,edu_assistance_government_proportional,cps_asec_2025,55652,134686458.17077535,61.368363592683835,4.858951719742968,12.496262626779973,3.726817331953426
equal_all_members,person,all_native,higher_ed_subsidy_brief074,cps_asec_2025,55652,134686458.17077535,136.46369970626006,4.232909564086422,3.8855490476284444,2.527626059428188
equal_all_members,person,all_native,aptc_fallback_share,cps_asec_2025,55652,134686458.17077535,299.6170022079028,7.73796700358692,-4.073040077839494,4.691487958686338
equal_all_members,person,all_native,uncompensated_care_2024_prices,cps_asec_2025,55652,134686458.17077535,158.88728039891114,2.819381331493475,21.600004811211818,2.0344493941384743
equal_all_members,person,all_native,uncompensated_care_ever_uninsured,cps_asec_2025,55652,134686458.17077535,104.91856462101534,2.192365461258546,16.842159739792365,1.6795210202280721
equal_all_members,person,all_native,housing_subsidy_capped_resource,cps_asec_2025,55652,134686458.17077535,85.67926539036398,4.845896477572906,44.822695580579236,3.111207113168778
equal_all_members,person,all_native,college_fte_18_24,cps_asec_2025,55652,134686458.17077535,15.784507832616582,0.4896129469807622,0.4494343881070524,0.2923659069690308
