account,rate,timing,survival,group,start_age,lifetime,person_years,gap_vs_white,gap_per_year
partial,0.0,none,terminal83,mexico_born,0,-154904.44856820852,83.0,-554574.4737311925,-6681.620165436055
partial,0.0,none,terminal83,mexico_born,25,-109094.90062602027,58.0,-346853.3695982821,-5980.230510315208
partial,0.0,none,terminal83,mexican_second_gen,0,-109104.19504400263,83.0,-508774.2202069866,-6129.809882011887
partial,0.0,none,terminal83,mexican_second_gen,25,-54864.73384601812,58.0,-292623.20281827997,-5045.2276347979305
partial,0.0,none,terminal83,mexican_third_plus_selfid,0,15749.544302631017,83.0,-383920.480860353,-4625.547962172927
partial,0.0,none,terminal83,mexican_third_plus_selfid,25,-14328.689665618102,58.0,-252087.1586378799,-4346.330321342757
partial,0.0,none,terminal83,third_plus_nh_white,0,399670.025162984,83.0,0.0,0.0
partial,0.0,none,terminal83,third_plus_nh_white,25,237758.46897226182,58.0,0.0,0.0
partial,0.0,none,terminal83,all_native,0,270373.0649913269,83.0,-129296.96017165709,-1557.7947008633384
partial,0.0,none,terminal83,all_native,25,169461.1537492803,58.0,-68297.31522298153,-1177.5399176376127
partial,0.0,none,terminal83,mexican_observed_total,0,-87298.95270228146,83.0,-486968.97786526545,-5867.09611885862
partial,0.0,none,terminal83,mexican_observed_total,25,-73475.39058546034,58.0,-311233.8595577222,-5366.101026857279
partial,0.0,none,common_white,mexico_born,0,-143677.91737252392,78.93040675292968,-528873.6020212411,-6700.5052143812845
partial,0.0,none,common_white,mexico_born,25,-99254.57120218725,54.764830068072335,-326507.3824551499,-5961.990241717235
partial,0.0,none,common_white,mexican_second_gen,0,-99311.6836649469,78.93040675292968,-484507.3683136641,-6138.412156297174
partial,0.0,none,common_white,mexican_second_gen,25,-45870.1897382079,54.764830068072335,-273123.0009911705,-4987.197087102806
partial,0.0,none,common_white,mexican_third_plus_selfid,0,23965.408106935065,78.93040675292968,-361230.2765417822,-4576.566768146983
partial,0.0,none,common_white,mexican_third_plus_selfid,25,-5876.740552591096,54.764830068072335,-233129.55180555372,-4256.92093841568
partial,0.0,none,common_white,third_plus_nh_white,0,385195.68464871723,78.93040675292968,0.0,0.0
partial,0.0,none,common_white,third_plus_nh_white,25,227252.81125296262,54.764830068072335,0.0,0.0
partial,0.0,none,common_white,all_native,0,261274.30658877167,78.93040675292968,-123921.37805994556,-1570.00810153998
partial,0.0,none,common_white,all_native,25,163136.4754737239,54.764830068072335,-64116.335779238725,-1170.7575043973027
partial,0.0,none,common_white,mexican_observed_total,0,-77135.92663116413,78.93040675292968,-462331.6112798813,-5857.458871675216
partial,0.0,none,common_white,mexican_observed_total,25,-64076.25150275184,54.764830068072335,-291329.06275571446,-5319.637847749994
partial,0.0,none,group_specific,mexico_born,0,-181054.26807962023,81.81386755859376,-566249.9527283375,-7174.040728066055
partial,0.0,none,group_specific,mexico_born,25,-137260.16701475583,57.76235330662396,-364512.97826771846,-6655.968398233522
partial,0.0,none,group_specific,mexican_second_gen,0,-143293.2154051289,81.81386755859376,-528488.9000538462,-6695.6312756392845
partial,0.0,none,group_specific,mexican_second_gen,25,-90514.38904585298,57.76235330662396,-317767.2002988156,-5802.395440720496
partial,0.0,none,group_specific,mexican_third_plus_selfid,0,-23396.94356867582,81.81386755859376,-408592.62821739307,-5176.618809230034
partial,0.0,none,group_specific,mexican_third_plus_selfid,25,-53856.70653472154,57.76235330662396,-281109.51778768416,-5133.030038407255
partial,0.0,none,group_specific,third_plus_nh_white,0,385195.68464871723,78.93040675292968,0.0,0.0
partial,0.0,none,group_specific,third_plus_nh_white,25,227252.81125296262,54.764830068072335,0.0,0.0
partial,0.0,none,group_specific,all_native,0,261274.30658877167,78.93040675292968,-123921.37805994556,-1570.00810153998
