account,rate,timing,survival,group,start_age,lifetime,person_years,gap_vs_white,gap_per_year,gap_change_vs_repo
partial,0.0,none,terminal83,mexico_born,0,-154904.44856820852,83.0,-554574.4737311925,-6681.620165436055,0.0
partial,0.0,none,terminal83,mexico_born,25,-109094.90062602027,58.0,-346853.3695982821,-5980.230510315208,0.0
partial,0.0,none,terminal83,mexican_second_gen,0,-109104.19504400263,83.0,-508774.2202069866,-6129.809882011887,0.0
partial,0.0,none,terminal83,mexican_second_gen,25,-54864.73384601812,58.0,-292623.20281827997,-5045.2276347979305,0.0
partial,0.0,none,terminal83,mexican_third_plus_selfid,0,15749.544302631017,83.0,-383920.480860353,-4625.547962172927,0.0
partial,0.0,none,terminal83,mexican_third_plus_selfid,25,-14328.689665618102,58.0,-252087.1586378799,-4346.330321342757,0.0
partial,0.0,none,terminal83,mexican_observed_total,0,-87298.95270228146,83.0,-486968.97786526545,-5867.09611885862,0.0
partial,0.0,none,terminal83,mexican_observed_total,25,-73475.39058546034,58.0,-311233.8595577222,-5366.101026857279,0.0
partial,0.0,none,common_white,mexico_born,0,-143677.91737252392,78.93040675292968,-528873.6020212411,-6700.5052143812845,25700.871709951432
partial,0.0,none,common_white,mexico_born,25,-99254.57120218725,54.764830068072335,-326507.3824551499,-5961.990241717235,20345.987143132195
partial,0.0,none,common_white,mexican_second_gen,0,-99311.6836649469,78.93040675292968,-484507.3683136641,-6138.412156297174,24266.851893322484
partial,0.0,none,common_white,mexican_second_gen,25,-45870.1897382079,54.764830068072335,-273123.0009911705,-4987.197087102806,19500.201827109442
partial,0.0,none,common_white,mexican_third_plus_selfid,0,23965.408106935065,78.93040675292968,-361230.2765417822,-4576.566768146983,22690.204318570788
partial,0.0,none,common_white,mexican_third_plus_selfid,25,-5876.740552591096,54.764830068072335,-233129.55180555372,-4256.92093841568,18957.606832326186
partial,0.0,none,common_white,mexican_observed_total,0,-77135.92663116413,78.93040675292968,-462331.6112798813,-5857.458871675216,24637.366585384123
partial,0.0,none,common_white,mexican_observed_total,25,-64076.25150275184,54.764830068072335,-291329.06275571446,-5319.637847749994,19904.79680200771
partial,0.0,none,group_specific,mexico_born,0,-181054.26807962023,81.81386755859376,-566249.9527283375,-7174.040728066055,-11675.478997144965
partial,0.0,none,group_specific,mexico_born,25,-137260.16701475583,57.76235330662396,-364512.97826771846,-6655.968398233522,-17659.608669436362
partial,0.0,none,group_specific,mexican_second_gen,0,-143293.2154051289,81.81386755859376,-528488.9000538462,-6695.6312756392845,-19714.679846859595
partial,0.0,none,group_specific,mexican_second_gen,25,-90514.38904585298,57.76235330662396,-317767.2002988156,-5802.395440720496,-25143.997480535647
partial,0.0,none,group_specific,mexican_third_plus_selfid,0,-23396.94356867582,81.81386755859376,-408592.62821739307,-5176.618809230034,-24672.147357040085
partial,0.0,none,group_specific,mexican_third_plus_selfid,25,-53856.70653472154,57.76235330662396,-281109.51778768416,-5133.030038407255,-29022.35914980425
partial,0.0,none,group_specific,mexican_observed_total,0,-119063.06651835685,81.81386755859376,-504258.7511670741,-6388.650102178238,-17289.77330180863
partial,0.0,none,group_specific,mexican_observed_total,25,-106637.71291209049,57.76235330662396,-333890.5241650531,-6096.805627809477,-22656.664607330924
partial,0.0,none,paradox_fades,mexico_born,0,-181054.26807962023,81.81386755859376,-566249.9527283375,-7174.040728066055,-11675.478997144965
partial,0.0,none,paradox_fades,mexico_born,25,-137260.16701475583,57.76235330662396,-364512.97826771846,-6655.968398233522,-17659.608669436362
partial,0.0,none,paradox_fades,mexican_second_gen,0,-99311.6836649469,78.93040675292968,-484507.3683136641,-6138.412156297174,24266.851893322484
partial,0.0,none,paradox_fades,mexican_second_gen,25,-45870.1897382079,54.764830068072335,-273123.0009911705,-4987.197087102806,19500.201827109442
partial,0.0,none,paradox_fades,mexican_third_plus_selfid,0,23965.408106935065,78.93040675292968,-361230.2765417822,-4576.566768146983,22690.204318570788
partial,0.0,none,paradox_fades,mexican_third_plus_selfid,25,-5876.740552591096,54.764830068072335,-233129.55180555372,-4256.92093841568,18957.606832326186
partial,0.0,none,paradox_fades,mexican_observed_total,0,-119063.06651835685,81.81386755859376,-504258.7511670741,-6388.650102178238,-17289.77330180863
partial,0.0,none,paradox_fades,mexican_observed_total,25,-106637.71291209049,57.76235330662396,-333890.5241650531,-6096.805627809477,-22656.664607330924
partial,0.0,none,mortality_65plus,mexico_born,0,-172215.013923144,80.86920579656656,-557410.6985718613,-7062.052781720546,-2836.2248406687286
partial,0.0,none,mortality_65plus,mexico_born,25,-128141.62767152952,56.72740525006046,-355394.43892449216,-6489.464835054526,-8541.069326210069
partial,0.0,none,mortality_65plus,mexican_second_gen,0,-133321.31829910536,80.86920579656656,-518517.00294782256,-6569.293435556464,-9742.782740835974
partial,0.0,none,mortality_65plus,mexican_second_gen,25,-80296.8958481288,56.72740525006046,-307549.7071010914,-5615.825096486359,-14926.504282811424
partial,0.0,none,mortality_65plus,mexican_third_plus_selfid,0,-12513.56561142713,80.86920579656656,-397709.25026014436,-5038.733063989721,-13788.769399791374
partial,0.0,none,mortality_65plus,mexican_third_plus_selfid,25,-42803.06807427042,56.72740525006046,-270055.87932723307,-4931.191770184539,-17968.720689353155
partial,0.0,none,mortality_65plus,mexican_observed_total,0,-109284.51643857596,80.86920579656656,-494480.2010872932,-6264.761850716542,-7511.223222027766
partial,0.0,none,mortality_65plus,mexican_observed_total,25,-96619.09017343115,56.72740525006046,-323871.9014263938,-5913.866637106754,-12638.0418686716
partial,0.0,none,fenelon_mexican,mexico_born,0,-163376.85595560592,79.7575924103368,-548572.5406043231,-6950.078723418736,6001.933126869379
partial,0.0,none,fenelon_mexican,mexico_born,25,-119195.06724285737,55.602150387918876,-346447.87849582,-6326.101588650736,405.4911024621106
partial,0.0,none,fenelon_mexican,mexican_second_gen,0,-108374.55029515135,79.20284594690442,-493570.2349438686,-6253.233135980876,15203.985263117997
partial,0.0,none,fenelon_mexican,mexican_second_gen,25,-55044.18826475295,55.04060096049417,-282296.9995177156,-5154.713329098661,10326.203300564375
partial,0.0,none,fenelon_mexican,mexican_third_plus_selfid,0,14236.56752095366,79.20284594690442,-370959.1171277636,-4699.825230711795,12961.363732589409
partial,0.0,none,fenelon_mexican,mexican_third_plus_selfid,25,-15724.89104296525,55.04060096049417,-242977.70229592788,-4436.747123909782,9109.456341952027
partial,0.0,none,fenelon_mexican,mexican_observed_total,0,-99722.1792918189,79.7575924103368,-484917.86394053616,-6143.612884935973,2051.1139247292886
partial,0.0,none,fenelon_mexican,mexican_observed_total,25,-86939.47600757096,55.602150387918876,-314192.2872605336,-5737.117907058136,-2958.42770281143
partial,0.0,accrual_only,terminal83,mexico_born,0,-517486.8326469966,83.0,-459422.0752448893,-5535.20572584204,95152.39848630322
partial,0.0,accrual_only,terminal83,mexico_born,25,-443766.15169803123,58.0,-252646.34900037886,-4355.971534489291,94207.02059790323
partial,0.0,accrual_only,terminal83,mexican_second_gen,0,-489281.701580755,83.0,-431216.9441786477,-5195.384869622261,77557.27602833888
partial,0.0,accrual_only,terminal83,mexican_second_gen,25,-409458.98483964906,58.0,-218339.1821419967,-3764.4686576206327,74284.02067628328
partial,0.0,accrual_only,terminal83,mexican_third_plus_selfid,0,-376654.8980710821,83.0,-318590.1406689748,-3838.435429746684,65330.3401913782
partial,0.0,accrual_only,terminal83,mexican_third_plus_selfid,25,-381568.8667595937,58.0,-190449.06406194135,-3283.6045527920924,61638.094575938565
partial,0.0,accrual_only,terminal83,mexican_observed_total,0,-462467.6833631631,83.0,-404402.9259610558,-4872.324409169347,82566.05190420966
partial,0.0,accrual_only,terminal83,mexican_observed_total,25,-423128.6449181963,58.0,-232008.84222054394,-4000.1524520783437,79225.01733717823
partial,0.0,accrual_only,common_white,mexico_born,0,-482847.2069977406,78.93040675292968,-439025.2284709584,-5562.1812496825,115549.2452602341
partial,0.0,accrual_only,common_white,mexico_born,25,-414585.69884172274,54.764830068072335,-236493.69320938402,-4318.349804343844,110359.67638889808
partial,0.0,accrual_only,common_white,mexican_second_gen,0,-456509.98190477275,78.93040675292968,-412688.00337799056,-5228.504708835454,96086.21682899602
partial,0.0,accrual_only,common_white,mexican_second_gen,25,-381800.21104799747,54.764830068072335,-203708.20541565874,-3719.690267685497,88914.99740262123
partial,0.0,accrual_only,common_white,mexican_third_plus_selfid,0,-344116.6363012915,78.93040675292968,-300294.65777450934,-3804.549730935768,83625.82308584364
partial,0.0,accrual_only,common_white,mexican_third_plus_selfid,25,-353242.44184486225,54.764830068072335,-175150.43621252352,-3198.2284249729732,76936.72242535639
partial,0.0,accrual_only,common_white,mexican_observed_total,0,-428671.75204682845,78.93040675292968,-384849.77352004626,-4875.811355245064,102119.20434521919
partial,0.0,accrual_only,common_white,mexican_observed_total,25,-394340.8305491719,54.764830068072335,-216248.82491683317,-3948.6806523098358,94985.034640889
partial,0.0,accrual_only,group_specific,mexico_born,0,-524917.4886149588,81.81386755859376,-481095.51008817664,-6095.185998396235,73478.96364301589
partial,0.0,accrual_only,group_specific,mexico_born,25,-457721.43012378574,57.76235330662396,-279629.42449144705,-5106.0036914908615,67223.94510683505
partial,0.0,accrual_only,group_specific,mexican_second_gen,0,-505104.753538947,81.81386755859376,-461282.77501216484,-5844.170757362064,47491.44519482175
partial,0.0,accrual_only,group_specific,mexican_second_gen,25,-431515.1171662354,57.76235330662396,-253423.11153389668,-4627.479190913098,39200.09128438329
partial,0.0,accrual_only,group_specific,mexican_third_plus_selfid,0,-396414.3059630574,81.81386755859376,-352592.3274362752,-4467.1292337308005,31328.153424077784
partial,0.0,accrual_only,group_specific,mexican_third_plus_selfid,25,-406631.91622340446,57.76235330662396,-228539.91059106574,-4173.114575668218,23547.248046814173
partial,0.0,accrual_only,group_specific,mexican_observed_total,0,-475358.129589451,81.81386755859376,-431536.1510626688,-5467.299217315276,55432.826802596624
partial,0.0,accrual_only,group_specific,mexican_observed_total,25,-442114.4533674192,57.76235330662396,-264022.4477350805,-4821.0219479710295,47211.411822641676
partial,0.0,accrual_only,paradox_fades,mexico_born,0,-524917.4886149588,81.81386755859376,-481095.51008817664,-6095.185998396235,73478.96364301589
partial,0.0,accrual_only,paradox_fades,mexico_born,25,-457721.43012378574,57.76235330662396,-279629.42449144705,-5106.0036914908615,67223.94510683505
partial,0.0,accrual_only,paradox_fades,mexican_second_gen,0,-456509.98190477275,78.93040675292968,-412688.00337799056,-5228.504708835454,96086.21682899602
partial,0.0,accrual_only,paradox_fades,mexican_second_gen,25,-381800.21104799747,54.764830068072335,-203708.20541565874,-3719.690267685497,88914.99740262123
partial,0.0,accrual_only,paradox_fades,mexican_third_plus_selfid,0,-344116.6363012915,78.93040675292968,-300294.65777450934,-3804.549730935768,83625.82308584364
partial,0.0,accrual_only,paradox_fades,mexican_third_plus_selfid,25,-353242.44184486225,54.764830068072335,-175150.43621252352,-3198.2284249729732,76936.72242535639
partial,0.0,accrual_only,paradox_fades,mexican_observed_total,0,-475358.129589451,81.81386755859376,-431536.1510626688,-5467.299217315276,55432.826802596624
partial,0.0,accrual_only,paradox_fades,mexican_observed_total,25,-442114.4533674192,57.76235330662396,-264022.4477350805,-4821.0219479710295,47211.411822641676
partial,0.0,accrual_only,mortality_65plus,mexico_born,0,-513036.62491060514,80.86920579656656,-469214.64638382295,-5944.662718546132,85359.82734736957
partial,0.0,accrual_only,mortality_65plus,mexico_born,25,-445145.33964044804,56.72740525006046,-267053.3340081093,-4876.365610486944,79800.0355901728
partial,0.0,accrual_only,mortality_65plus,mexican_second_gen,0,-492184.7849934314,80.86920579656656,-448362.8064666492,-5680.482654424015,60411.41374033736
partial,0.0,accrual_only,mortality_65plus,mexican_second_gen,25,-417912.5061277279,56.72740525006046,-239820.5004953892,-4379.096953232464,52802.70232289078
partial,0.0,accrual_only,mortality_65plus,mexican_third_plus_selfid,0,-382417.4846919957,80.86920579656656,-338595.50616521353,-4289.7980650865675,45324.97469513945
partial,0.0,accrual_only,mortality_65plus,mexican_third_plus_selfid,25,-392012.98629473033,56.72740525006046,-213920.9806623916,-3906.1744626339423,38166.1779754883
partial,0.0,accrual_only,mortality_65plus,mexican_observed_total,0,-462535.83757360914,80.86920579656656,-418713.85904682695,-5304.848616294321,68255.1188184385
partial,0.0,accrual_only,mortality_65plus,mexican_observed_total,25,-428620.2026345388,56.72740525006046,-250528.1970022001,-4574.61835800084,60705.66255552208
partial,0.0,accrual_only,fenelon_mexican,mexico_born,0,-500134.97414724535,79.7575924103368,-456312.99562046316,-5781.206690709548,98261.47811072937
partial,0.0,accrual_only,fenelon_mexican,mexico_born,25,-432085.4085971732,55.602150387918876,-253993.4029648345,-4637.892652074741,92859.96663344759
partial,0.0,accrual_only,fenelon_mexican,mexican_second_gen,0,-464452.47200424207,79.20284594690442,-420630.4934774599,-5329.131202809204,88143.72672952671
partial,0.0,accrual_only,fenelon_mexican,mexican_second_gen,25,-389840.0446641363,55.04060096049417,-211748.03903179758,-3866.4967784725363,80875.16378648239
partial,0.0,accrual_only,fenelon_mexican,mexican_third_plus_selfid,0,-352698.6802903643,79.20284594690442,-308876.7017635821,-3913.2789817039356,75043.77909677086
partial,0.0,accrual_only,fenelon_mexican,mexican_third_plus_selfid,25,-361929.6818840602,55.04060096049417,-183837.67625172148,-3356.8565085149066,68249.48238615843
partial,0.0,accrual_only,fenelon_mexican,mexican_observed_total,0,-448842.634624003,79.7575924103368,-405020.65609722084,-5131.364106167964,81948.32176804461
partial,0.0,accrual_only,fenelon_mexican,mexican_observed_total,25,-414759.01664095226,55.602150387918876,-236667.01100861354,-4321.514569011498,74566.84854910863
partial,0.0,cash_to_accrual,terminal83,mexico_born,0,-312226.4321681601,83.0,-634351.3249345089,-7642.787047403722,-79776.85120331636
partial,0.0,cash_to_accrual,terminal83,mexico_born,25,-247525.0023914023,58.0,-433659.868566719,-7476.894285633086,-86806.4989684369
partial,0.0,cash_to_accrual,terminal83,mexican_second_gen,0,-169808.28061222564,83.0,-491933.17337857437,-5926.905703356318,16841.046828412218
partial,0.0,cash_to_accrual,terminal83,mexican_second_gen,25,-91971.94206869304,58.0,-278106.80824400974,-4794.944969724305,14516.394574270234
partial,0.0,cash_to_accrual,terminal83,mexican_third_plus_selfid,0,-82765.5131635468,83.0,-404890.4059298955,-4878.19766180597,-20969.925069542543
partial,0.0,cash_to_accrual,terminal83,mexican_third_plus_selfid,25,-90863.54116857279,58.0,-276998.40734388947,-4775.834609377404,-24911.24870600956
partial,0.0,cash_to_accrual,terminal83,mexican_observed_total,0,-214934.2416089234,83.0,-537059.1343752721,-6470.591980424965,-50090.15651000664
partial,0.0,cash_to_accrual,terminal83,mexican_observed_total,25,-178447.56352366912,58.0,-364582.42969898577,-6285.90396032734,-53348.5701412636
partial,0.0,cash_to_accrual,common_white,mexico_born,0,-294132.8561976345,78.93040675292968,-600634.3937719488,-7609.670575397799,-46059.92004075623
partial,0.0,cash_to_accrual,common_white,mexico_born,25,-232626.26919791737,54.764830068072335,-406205.4258008996,-7417.268076902436,-59352.05620261753
partial,0.0,cash_to_accrual,common_white,mexican_second_gen,0,-164758.23757851013,78.93040675292968,-471259.7751528244,-5970.573249774017,37514.44505416218
partial,0.0,cash_to_accrual,common_white,mexican_second_gen,25,-88464.87168596603,54.764830068072335,-262044.02828894826,-4784.8962183070635,30579.174529331707
partial,0.0,cash_to_accrual,common_white,mexican_third_plus_selfid,0,-76046.18592877196,78.93040675292968,-382547.72350308625,-4846.645788872577,1372.7573572667316
partial,0.0,cash_to_accrual,common_white,mexican_third_plus_selfid,25,-85081.52544987813,54.764830068072335,-258660.68205286036,-4723.116674174772,-6573.5234149804455
partial,0.0,cash_to_accrual,common_white,mexican_observed_total,0,-201871.88996261498,78.93040675292968,-508373.42753692926,-6440.780536305291,-21404.44967166381
partial,0.0,cash_to_accrual,common_white,mexican_observed_total,25,-167624.19064897427,54.764830068072335,-341203.34725195647,-6230.337003289207,-29969.487694234296
partial,0.0,cash_to_accrual,group_specific,mexico_born,0,-309272.388612475,81.81386755859376,-615773.9261867893,-7801.479195645136,-61199.452455596766
partial,0.0,cash_to_accrual,group_specific,mexico_born,25,-248261.44626640738,57.76235330662396,-421840.6028693896,-7702.764755136543,-74987.23327110749
partial,0.0,cash_to_accrual,group_specific,mexican_second_gen,0,-169790.31746633834,81.81386755859376,-476291.8550406526,-6034.326625625478,32482.36516633397
partial,0.0,cash_to_accrual,group_specific,mexican_second_gen,25,-93703.20453479908,57.76235330662396,-267282.3611377813,-4880.547621631456,25340.841680498677
partial,0.0,cash_to_accrual,group_specific,mexican_third_plus_selfid,0,-90430.15664803803,81.81386755859376,-396931.6942223523,-5028.881904344415,-13011.213361999311
partial,0.0,cash_to_accrual,group_specific,mexican_third_plus_selfid,25,-99746.57497016736,57.76235330662396,-273325.73157314956,-4990.898926070024,-21238.57293526965
partial,0.0,cash_to_accrual,group_specific,mexican_observed_total,0,-215055.3170746545,81.81386755859376,-521556.8546489688,-6607.806498217621,-34587.87678370334
partial,0.0,cash_to_accrual,group_specific,mexican_observed_total,25,-181189.95981475397,57.76235330662396,-354769.11641773616,-6478.04651227367,-43535.25686001399
partial,0.0,cash_to_accrual,paradox_fades,mexico_born,0,-309272.388612475,81.81386755859376,-615773.9261867893,-7801.479195645136,-61199.452455596766
partial,0.0,cash_to_accrual,paradox_fades,mexico_born,25,-248261.44626640738,57.76235330662396,-421840.6028693896,-7702.764755136543,-74987.23327110749
partial,0.0,cash_to_accrual,paradox_fades,mexican_second_gen,0,-164758.23757851013,78.93040675292968,-471259.7751528244,-5970.573249774017,37514.44505416218
partial,0.0,cash_to_accrual,paradox_fades,mexican_second_gen,25,-88464.87168596603,54.764830068072335,-262044.02828894826,-4784.8962183070635,30579.174529331707
partial,0.0,cash_to_accrual,paradox_fades,mexican_third_plus_selfid,0,-76046.18592877196,78.93040675292968,-382547.72350308625,-4846.645788872577,1372.7573572667316
partial,0.0,cash_to_accrual,paradox_fades,mexican_third_plus_selfid,25,-85081.52544987813,54.764830068072335,-258660.68205286036,-4723.116674174772,-6573.5234149804455
partial,0.0,cash_to_accrual,paradox_fades,mexican_observed_total,0,-215055.3170746545,81.81386755859376,-521556.8546489688,-6607.806498217621,-34587.87678370334
partial,0.0,cash_to_accrual,paradox_fades,mexican_observed_total,25,-181189.95981475397,57.76235330662396,-354769.11641773616,-6478.04651227367,-43535.25686001399
partial,0.0,cash_to_accrual,mortality_65plus,mexico_born,0,-304569.79052863247,80.86920579656656,-611071.3281029467,-7741.900152823746,-56496.85437175422
partial,0.0,cash_to_accrual,mortality_65plus,mexico_born,25,-243191.19513043322,56.72740525006046,-416770.35173341545,-7610.182506096934,-69916.98213513335
partial,0.0,cash_to_accrual,mortality_65plus,mexican_second_gen,0,-168581.82971876193,80.86920579656656,-475083.36729307624,-6019.015824664332,33690.85291391035
partial,0.0,cash_to_accrual,mortality_65plus,mexican_second_gen,25,-92335.35381000629,56.72740525006046,-265914.5104129885,-4855.570812188378,26708.692405291484
partial,0.0,cash_to_accrual,mortality_65plus,mexican_third_plus_selfid,0,-86809.25156612271,80.86920579656656,-393310.789140437,-4983.007250571888,-9390.308280083991
partial,0.0,cash_to_accrual,mortality_65plus,mexican_third_plus_selfid,25,-95976.58214556822,56.72740525006046,-269555.7387485504,-4922.05925615937,-17468.580110670504
partial,0.0,cash_to_accrual,mortality_65plus,mexican_observed_total,0,-211188.05237439374,80.86920579656656,-517689.589948708,-6558.810618690911,-30720.612083442567
partial,0.0,cash_to_accrual,mortality_65plus,mexican_observed_total,25,-177054.60026297436,56.72740525006046,-350633.7568659566,-6402.535284600008,-39399.89730823442
partial,0.0,cash_to_accrual,fenelon_mexican,mexico_born,0,-299143.2184375881,79.7575924103368,-605644.7560119024,-7673.148801927623,-51070.28228070983
partial,0.0,cash_to_accrual,fenelon_mexican,mexico_born,25,-237698.03928548485,55.602150387918876,-411277.1958884671,-7509.878061837353,-64423.82629018498
partial,0.0,cash_to_accrual,fenelon_mexican,mexican_second_gen,0,-165565.55135141316,79.20284594690442,-472067.0889257274,-5980.801421730993,36707.13128125918
partial,0.0,cash_to_accrual,fenelon_mexican,mexican_second_gen,25,-89282.06914292512,55.04060096049417,-262861.22574590734,-4799.818157368014,29761.977072372625
partial,0.0,cash_to_accrual,fenelon_mexican,mexican_third_plus_selfid,0,-78582.75838787491,79.20284594690442,-385084.2959621892,-4878.782611213339,-1163.815101836226
partial,0.0,cash_to_accrual,fenelon_mexican,mexican_third_plus_selfid,25,-87649.19406424729,55.04060096049417,-261228.3506672295,-4770.002031276721,-9141.192029349593
