arm,account,rate,group,start_age,lifetime
terminal83,partial,0.0,mexico_born,0,-154904.44856820852
common_white,partial,0.0,mexico_born,0,-143677.91737252392
group_specific,partial,0.0,mexico_born,0,-181054.26807962023
paradox_fades,partial,0.0,mexico_born,0,-181054.26807962023
mortality_65plus,partial,0.0,mexico_born,0,-172215.013923144
fenelon_mexican,partial,0.0,mexico_born,0,-163376.85595560592
truncate83,partial,0.0,mexico_born,0,-101727.88606994742
male,partial,0.0,mexico_born,0,-154561.95103005273
female,partial,0.0,mexico_born,0,-204192.53291273388
lt2023,partial,0.0,mexico_born,0,-176757.48332219917
terminal83,partial,0.0,mexico_born,25,-109094.90062602027
common_white,partial,0.0,mexico_born,25,-99254.57120218725
group_specific,partial,0.0,mexico_born,25,-137260.16701475583
paradox_fades,partial,0.0,mexico_born,25,-137260.16701475583
mortality_65plus,partial,0.0,mexico_born,25,-128141.62767152952
fenelon_mexican,partial,0.0,mexico_born,25,-119195.06724285737
truncate83,partial,0.0,mexico_born,25,-56870.93892317731
male,partial,0.0,mexico_born,25,-110725.53617372451
female,partial,0.0,mexico_born,25,-160211.72397126013
lt2023,partial,0.0,mexico_born,25,-133057.46610584742
terminal83,partial,0.0,mexican_second_gen,0,-109104.19504400263
common_white,partial,0.0,mexican_second_gen,0,-99311.6836649469
group_specific,partial,0.0,mexican_second_gen,0,-143293.2154051289
paradox_fades,partial,0.0,mexican_second_gen,0,-99311.6836649469
mortality_65plus,partial,0.0,mexican_second_gen,0,-133321.31829910536
fenelon_mexican,partial,0.0,mexican_second_gen,0,-108374.55029515135
truncate83,partial,0.0,mexican_second_gen,0,-49375.30064375809
male,partial,0.0,mexican_second_gen,0,-113078.93854804759
female,partial,0.0,mexican_second_gen,0,-169420.65708171442
lt2023,partial,0.0,mexican_second_gen,0,-138558.30875690456
terminal83,partial,0.0,mexican_second_gen,25,-54864.73384601812
common_white,partial,0.0,mexican_second_gen,25,-45870.1897382079
group_specific,partial,0.0,mexican_second_gen,25,-90514.38904585298
paradox_fades,partial,0.0,mexican_second_gen,25,-45870.1897382079
mortality_65plus,partial,0.0,mexican_second_gen,25,-80296.8958481288
fenelon_mexican,partial,0.0,mexican_second_gen,25,-55044.18826475295
truncate83,partial,0.0,mexican_second_gen,25,4661.874895147777
male,partial,0.0,mexican_second_gen,25,-60064.614695342825
female,partial,0.0,mexican_second_gen,25,-116627.50891725178
lt2023,partial,0.0,mexican_second_gen,25,-85815.48896554904
terminal83,partial,0.0,mexican_third_plus_selfid,0,15749.544302631017
common_white,partial,0.0,mexican_third_plus_selfid,0,23965.408106935065
group_specific,partial,0.0,mexican_third_plus_selfid,0,-23396.94356867582
paradox_fades,partial,0.0,mexican_third_plus_selfid,0,23965.408106935065
mortality_65plus,partial,0.0,mexican_third_plus_selfid,0,-12513.56561142713
fenelon_mexican,partial,0.0,mexican_third_plus_selfid,0,14236.56752095366
truncate83,partial,0.0,mexican_third_plus_selfid,0,77883.94484397168
male,partial,0.0,mexican_third_plus_selfid,0,8658.745194713214
female,partial,0.0,mexican_third_plus_selfid,0,-51021.3114852807
lt2023,partial,0.0,mexican_third_plus_selfid,0,-18451.69213197686
terminal83,partial,0.0,mexican_third_plus_selfid,25,-14328.689665618102
common_white,partial,0.0,mexican_third_plus_selfid,25,-5876.740552591096
group_specific,partial,0.0,mexican_third_plus_selfid,25,-53856.70653472154
paradox_fades,partial,0.0,mexican_third_plus_selfid,25,-5876.740552591096
mortality_65plus,partial,0.0,mexican_third_plus_selfid,25,-42803.06807427042
fenelon_mexican,partial,0.0,mexican_third_plus_selfid,25,-15724.89104296525
truncate83,partial,0.0,mexican_third_plus_selfid,25,48781.18307594093
male,partial,0.0,mexican_third_plus_selfid,25,-21377.36722791471
female,partial,0.0,mexican_third_plus_selfid,25,-81652.69785687557
lt2023,partial,0.0,mexican_third_plus_selfid,25,-48878.24674191001
terminal83,partial,0.0,third_plus_nh_white,0,399670.025162984
common_white,partial,0.0,third_plus_nh_white,0,385195.68464871723
group_specific,partial,0.0,third_plus_nh_white,0,385195.68464871723
paradox_fades,partial,0.0,third_plus_nh_white,0,385195.68464871723
mortality_65plus,partial,0.0,third_plus_nh_white,0,385195.68464871723
fenelon_mexican,partial,0.0,third_plus_nh_white,0,385195.68464871723
truncate83,partial,0.0,third_plus_nh_white,0,464938.80061582703
male,partial,0.0,third_plus_nh_white,0,409467.9496833936
female,partial,0.0,third_plus_nh_white,0,360807.36346517474
lt2023,partial,0.0,third_plus_nh_white,0,387700.05287730746
terminal83,partial,0.0,third_plus_nh_white,25,237758.46897226182
common_white,partial,0.0,third_plus_nh_white,25,227252.81125296262
group_specific,partial,0.0,third_plus_nh_white,25,227252.81125296262
paradox_fades,partial,0.0,third_plus_nh_white,25,227252.81125296262
mortality_65plus,partial,0.0,third_plus_nh_white,25,227252.81125296262
fenelon_mexican,partial,0.0,third_plus_nh_white,25,227252.81125296262
truncate83,partial,0.0,third_plus_nh_white,25,307973.84360806254
male,partial,0.0,third_plus_nh_white,25,252746.63332570044
female,partial,0.0,third_plus_nh_white,25,201740.703963154
lt2023,partial,0.0,third_plus_nh_white,25,229993.22636979484
terminal83,partial,0.0,all_native,0,270373.0649913269
common_white,partial,0.0,all_native,0,261274.30658877167
group_specific,partial,0.0,all_native,0,261274.30658877167
paradox_fades,partial,0.0,all_native,0,261274.30658877167
mortality_65plus,partial,0.0,all_native,0,261274.30658877167
fenelon_mexican,partial,0.0,all_native,0,261274.30658877167
truncate83,partial,0.0,all_native,0,340570.46082497045
male,partial,0.0,all_native,0,286615.43946192355
female,partial,0.0,all_native,0,235757.0543428344
lt2023,partial,0.0,all_native,0,264133.5191809721
terminal83,partial,0.0,all_native,25,169461.1537492803
common_white,partial,0.0,all_native,25,163136.4754737239
group_specific,partial,0.0,all_native,25,163136.4754737239
paradox_fades,partial,0.0,all_native,25,163136.4754737239
mortality_65plus,partial,0.0,all_native,25,163136.4754737239
fenelon_mexican,partial,0.0,all_native,25,163136.4754737239
truncate83,partial,0.0,all_native,25,243405.0648573547
male,partial,0.0,all_native,25,189470.40757564118
female,partial,0.0,all_native,25,136744.03945289255
lt2023,partial,0.0,all_native,25,166179.45089456002
terminal83,partial,0.03,mexico_born,0,-27370.502953795843
common_white,partial,0.03,mexico_born,0,-24958.853381920522
group_specific,partial,0.03,mexico_born,0,-28068.367181835467
paradox_fades,partial,0.03,mexico_born,0,-28068.367181835467
mortality_65plus,partial,0.03,mexico_born,0,-27209.94583994924
fenelon_mexican,partial,0.03,mexico_born,0,-26429.80691100635
truncate83,partial,0.03,mexico_born,0,-22234.172974802455
male,partial,0.03,mexico_born,0,-25990.631161126614
female,partial,0.03,mexico_born,0,-29932.232597845654
lt2023,partial,0.03,mexico_born,0,-27755.760111656153
terminal83,partial,0.03,mexico_born,25,28423.310650769035
common_white,partial,0.03,mexico_born,25,33488.181199754734
group_specific,partial,0.03,mexico_born,25,26891.579520105777
paradox_fades,partial,0.03,mexico_born,25,26891.579520105777
mortality_65plus,partial,0.03,mexico_born,25,28717.092876713323
fenelon_mexican,partial,0.03,mexico_born,25,30370.560266363424
truncate83,partial,0.03,mexico_born,25,39270.754758731666
male,partial,0.03,mexico_born,25,31398.99815815873
female,partial,0.03,mexico_born,25,22858.04195924717
lt2023,partial,0.03,mexico_born,25,27585.183391375653
terminal83,partial,0.03,mexican_second_gen,0,-12409.58628166356
common_white,partial,0.03,mexican_second_gen,0,-10497.160194227055
group_specific,partial,0.03,mexican_second_gen,0,-14099.402604719202
paradox_fades,partial,0.03,mexican_second_gen,0,-10497.160194227055
mortality_65plus,partial,0.03,mexican_second_gen,0,-13189.610913443945
fenelon_mexican,partial,0.03,mexican_second_gen,0,-11244.340197583935
truncate83,partial,0.03,mexican_second_gen,0,-7192.049207830424
male,partial,0.03,mexican_second_gen,0,-11935.214597678027
female,partial,0.03,mexican_second_gen,0,-15983.585074093975
lt2023,partial,0.03,mexican_second_gen,0,-13817.472278701876
terminal83,partial,0.03,mexican_second_gen,25,72298.86658088514
common_white,partial,0.03,mexican_second_gen,25,76760.74950652297
group_specific,partial,0.03,mexican_second_gen,25,69160.32651760029
paradox_fades,partial,0.03,mexican_second_gen,25,76760.74950652297
mortality_65plus,partial,0.03,mexican_second_gen,25,71054.22237521657
fenelon_mexican,partial,0.03,mexican_second_gen,25,75177.12842973918
truncate83,partial,0.03,mexican_second_gen,25,83816.56439739633
male,partial,0.03,mexican_second_gen,25,73969.13127940244
female,partial,0.03,mexican_second_gen,25,64957.72315204655
lt2023,partial,0.03,mexican_second_gen,25,69834.4291788187
