lineage,generation,persons,birth_year_calendar,fiscal_undiscounted,fiscal_pv3,crime_social_undiscounted,crime_tangible_undiscounted,crime_social_net_corrections_undiscounted
mexican_lineage,G1,1.0,-25,-428734.5147104078,-76190.9034452053,54207.1622488415,19388.07466002814,38038.97469251779
mexican_lineage,G2,0.8467483516483517,4,-562455.2046204368,-210204.43541890522,45230.15400272839,16177.30141754857,31739.508435257332
mexican_lineage,G3,0.5478615366459365,33,-78082.99668247133,-37391.11022972826,29264.729746953228,10467.007341849958,20536.03745419301
mexican_lineage,G4,0.38418519336756196,62,-85362.48859997006,-12776.003592019391,7458.281115655603,2667.5757428880943,5233.724748507198
mexican_lineage,G5,0.26940796703211256,91,-45235.30640869556,-2698.421455911298,0.0,0.0,0.0
white_reference,G1,1.0,-25,126117.04538882928,265712.86789760046,21137.43206631122,8490.876668487505,13807.700925138248
white_reference,G2,0.76625,4,-113418.51769111493,-65277.29564177607,15960.25208021242,6411.2107651449605,10425.788086369335
white_reference,G3,0.5871390625,33,174497.2476509089,-11510.877036720278,12229.543156462769,4912.590248792326,7988.760121180504
white_reference,G4,0.449895306640625,62,-34875.00311049167,-10266.968698567285,3405.6902071698037,1368.0609560062298,2224.7145101045976
white_reference,G5,0.3447322787133789,91,-55040.91987091924,-3283.3556556661756,0.0,0.0,0.0
