sensitivity,gap_lineage_fiscal,mex_lineage_fiscal,white_lineage_fiscal,gap_founder_lifetime,mex_persons,white_persons,gap_crime_social,gap_crime_social_net_corrections,mex_crime_social,white_crime_social,allocation,account,gen_len,attribution,founder_status,senior_rule,convergence,fertility,mortality,crime_route,real_growth,discount,mex_founder_lifetime,mex_crime_tangible,mex_crime_social_net_corrections,white_founder_lifetime,white_crime_tangible,white_crime_social_net_corrections,gap_crime_tangible,lineage_fiscal_per_year,gap_lineage_per_year
"central (personal/expanded, unauthorized, per-capita, low fertility, 0%)",-1297150.3633891935,-1199870.5110219812,97279.85236721236,-554851.5600992371,3.0482030486939626,3.148016647854004,83427.40960402254,61101.28168768265,136160.32711417874,52732.9175101562,personal,expanded,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,-428734.5147104078,48699.95916231476,95548.24533047533,126117.04538882928,21182.73863843102,34446.96364279268,27517.220523883738,-11998.705110219813,-12971.503633891936
central at 3%,-514635.2450066401,-339260.8741417695,175374.3708648706,-341903.77134280576,3.0482030486939626,3.148016647854004,29519.736619096722,21605.561331509405,47882.59636594784,18362.859746851114,personal,expanded,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,-76190.9034452053,17125.990639342675,33600.815755952266,265712.86789760046,7376.334878433328,11995.25442444286,9749.655760909347,-3392.608741417695,-5146.352450066401
2a G4+ attrition-corrected mixed profile,-1291972.7350341221,-1194692.8826669098,97279.85236721236,-554851.5600992371,3.0482030486939626,3.148016647854004,83427.40960402254,61101.28168768265,136160.32711417874,52732.9175101562,personal,expanded,29,per_capita,unauthorized,senior_full,attrition_mixed,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,-428734.5147104078,48699.95916231476,95548.24533047533,126117.04538882928,21182.73863843102,34446.96364279268,27517.220523883738,-11946.928826669098,-12919.727350341222
2b founder legalised at year 10,-1272571.9277766433,-1175292.075409431,97279.85236721236,-530273.1244866869,3.0482030486939626,3.148016647854004,83427.40960402254,61101.28168768265,136160.32711417874,52732.9175101562,personal,expanded,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,-404156.0790978576,48699.95916231476,95548.24533047533,126117.04538882928,21182.73863843102,34446.96364279268,27517.220523883738,-11752.92075409431,-12725.719277766433
2c G2 fertility at white TFR,-1355369.488337405,-1258089.6359701927,97279.85236721236,-554851.5600992371,3.3736764187714137,3.148016647854004,91013.47414646117,66424.67633101321,143746.39165661737,52732.9175101562,personal,expanded,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,-428734.5147104078,51413.23872949478,100871.63997380588,126117.04538882928,21182.73863843102,34446.96364279268,30230.500091063757,-12580.896359701926,-13553.69488337405
senior rule: unauthorized 65+ balance set to zero,-850861.0349225134,-753581.182555301,97279.85236721236,-108562.23163255668,3.0482030486939626,3.148016647854004,83427.40960402254,61101.28168768265,136160.32711417874,52732.9175101562,personal,expanded,29,per_capita,unauthorized,senior_zero,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,17554.813756272608,48699.95916231476,95548.24533047533,126117.04538882928,21182.73863843102,34446.96364279268,27517.220523883738,-7535.81182555301,-8508.610349225135
founder status: Mexico-born average,-1263920.2117851262,-1166640.359417914,97279.85236721236,-521621.40849516995,3.0482030486939626,3.148016647854004,83427.40960402254,61101.28168768265,136160.32711417874,52732.9175101562,personal,expanded,29,per_capita,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,-395504.3631063407,48699.95916231476,95548.24533047533,126117.04538882928,21182.73863843102,34446.96364279268,27517.220523883738,-11666.403594179139,-12639.202117851262
generation length 26,-1348079.9331673374,-1286413.9088307058,61666.0243366317,-554851.5600992371,3.0482030486939626,3.148016647854004,85976.50079275349,62993.957671693905,140851.60711364454,54875.10632089105,personal,expanded,26,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,-428734.5147104078,50377.87187914739,98840.27305839813,126117.04538882928,22043.252864355047,35846.31538670423,28334.61901479234,-12864.139088307058,-13480.799331673374
generation length 32,-1242316.440334737,-1132707.3835708257,109609.05676391143,-554851.5600992371,2.7787950816618503,2.803284369140625,79668.65668279372,58317.346863550265,129385.1613462529,49716.50466345918,personal,expanded,32,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,-428734.5147104078,46276.710752084255,90793.88541765307,126117.04538882928,19971.049849452433,32476.53855410281,26305.660902631822,-11327.073835708257,-12423.164403347371
group-specific mortality (Hispanic / NH white),-1446527.998797404,-1335775.7390537506,110752.25974365359,-633284.7546885966,3.0482030486939626,3.148016647854004,84489.37998746044,61850.30919096965,137300.80345383735,52811.42346637691,personal,expanded,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,hispanic/nh_white,A1_bjs_stock,0.0,0.0,-499544.62288708065,49107.8691045433,96348.55563675074,133740.13180151588,21214.27437039318,34498.246445781086,27893.59473415012,-13357.757390537507,-14465.279987974041
