outcome,year,mean_share_pop_wtd,mean_share_unwtd,pc_dollars_2022,national_total_bn_2022usd
education,2012,44.510,48.638,2509.7,750.2
police,2012,5.952,4.861,354.1,105.9
corrections,2012,1.891,1.738,114.0,34.1
judicial,2012,1.580,1.376,91.7,27.4
law_order,2012,9.424,7.975,559.9,167.4
welfare,2012,2.907,2.248,216.0,64.6
health_hosp,2012,8.220,9.360,575.6,172.1
highways,2012,4.611,6.848,265.4,79.3
education,2017,45.386,49.286,2652.9,823.7
police,2017,6.196,5.085,375.9,116.7
corrections,2017,1.859,1.841,115.7,35.9
judicial,2017,1.552,1.404,92.2,28.6
law_order,2017,9.607,8.330,583.8,181.2
welfare,2017,2.713,2.070,220.9,68.6
health_hosp,2017,8.376,8.826,637.6,198.0
highways,2017,4.615,6.969,275.1,85.4
education,2022,45.927,50.602,2733.3,876.0
police,2022,6.075,5.138,375.3,120.3
corrections,2022,1.670,1.642,105.5,33.8
judicial,2022,1.452,1.296,90.4,29.0
law_order,2022,9.197,8.076,571.2,183.1
welfare,2022,2.515,1.827,214.7,68.8
health_hosp,2022,8.408,9.122,677.2,217.0
highways,2022,4.372,6.435,259.7,83.2
