fips,year,total_direct,interest,n_units,admin,corrections,educ_elemsec,education,fire,health_hosp,highways,housing,judicial,libraries,parks,police,sewer_waste,welfare
01001,2007,115979.0,,13,,1695.0,72192.0,72192.0,,263.0,6471.0,,627.0,,,7505.0,,513.0
01003,2007,737234.0,,32,,9397.0,331253.0,331253.0,,121246.0,48820.0,,4721.0,,,43542.0,,496.0
01005,2007,70579.0,,17,,837.0,35698.0,35698.0,,11079.0,4339.0,,147.0,,,4466.0,,0.0
01007,2007,55283.0,,10,,49.0,30303.0,30303.0,,12887.0,2574.0,,106.0,,,1953.0,,2.0
01009,2007,111494.0,,20,,1362.0,80130.0,80130.0,,1808.0,7794.0,,733.0,,,5506.0,,136.0
01011,2007,32221.0,,10,,0.0,16504.0,16504.0,,5921.0,3320.0,,435.0,,,1843.0,,240.0
01013,2007,62372.0,,10,,393.0,30592.0,30592.0,,5048.0,5511.0,,13.0,,,3280.0,,289.0
01015,2007,491189.0,,22,,3130.0,187006.0,187006.0,,174589.0,19238.0,,3559.0,,,17049.0,,804.0
01017,2007,82622.0,,15,,1175.0,44054.0,44054.0,,109.0,5092.0,,482.0,,,6014.0,,30.0
01019,2007,51152.0,,11,,1107.0,37154.0,37154.0,,73.0,4495.0,,565.0,,,2025.0,,115.0
01021,2007,113891.0,,11,,1546.0,57627.0,57627.0,,25221.0,5849.0,,426.0,,,5784.0,,38.0
01023,2007,31831.0,,12,,0.0,19473.0,19473.0,,0.0,3407.0,,35.0,,,1564.0,,13.0
01025,2007,72358.0,,16,,1061.0,46704.0,46704.0,,150.0,6649.0,,318.0,,,4315.0,,47.0
01027,2007,50540.0,,12,,0.0,16993.0,16993.0,,21421.0,3658.0,,38.0,,,2171.0,,24.0
01029,2007,38005.0,,11,,615.0,21796.0,21796.0,,0.0,3321.0,,9.0,,,1697.0,,5462.0
01031,2007,131891.0,,15,,1313.0,89246.0,89246.0,,647.0,6963.0,,358.0,,,6283.0,,687.0
01033,2007,244714.0,,22,,1664.0,95334.0,95334.0,,81396.0,10802.0,,1174.0,,,7981.0,,375.0
01035,2007,36138.0,,11,,582.0,18409.0,18409.0,,48.0,4946.0,,507.0,,,1898.0,,1726.0
01037,2007,22169.0,,8,,0.0,13027.0,13027.0,,15.0,4174.0,,2.0,,,1473.0,,207.0
01039,2007,105046.0,,26,,2.0,54903.0,54903.0,,147.0,16951.0,,1071.0,,,7513.0,,576.0
01041,2007,33991.0,,13,,1789.0,19917.0,19917.0,,365.0,4199.0,,259.0,,,1520.0,,128.0
01043,2007,247450.0,,22,,2197.0,109904.0,109904.0,,86005.0,9454.0,,2401.0,,,7083.0,,1484.0
01045,2007,121855.0,,21,,1005.0,57286.0,57286.0,,27685.0,5823.0,,471.0,,,5381.0,,212.0
01047,2007,120637.0,,11,,0.0,71017.0,71017.0,,153.0,7120.0,,1363.0,,,12791.0,,214.0
01049,2007,155849.0,,35,,1775.0,96675.0,96675.0,,4524.0,11034.0,,1405.0,,,6160.0,,766.0
01051,2007,149262.0,,15,,1983.0,107723.0,107723.0,,929.0,9277.0,,1575.0,,,6929.0,,13.0
01053,2007,106591.0,,16,,1234.0,52582.0,52582.0,,27626.0,6089.0,,553.0,,,6468.0,,13.0
01055,2007,273759.0,,26,,3404.0,138763.0,138763.0,,4835.0,10704.0,,4715.0,,,20882.0,,418.0
