dropped_state_fips,coef_per_10pts,n
48,-0.182533,2851
08,-0.179888,3039
25,-0.163691,3088
13,-0.163127,2944
36,-0.162927,3044
12,-0.161217,3035
20,-0.158162,2997
51,-0.156938,2971
24,-0.156772,3078
38,-0.156603,3049
16,-0.15644,3058
55,-0.156074,3030
19,-0.155395,3003
39,-0.155141,3014
53,-0.155062,3063
45,-0.15473,3056
28,-0.154674,3023
54,-0.154169,3047
30,-0.154131,3046
41,-0.154021,3066
50,-0.153983,3088
10,-0.153975,3099
49,-0.153935,3073
56,-0.153917,3079
15,-0.153892,3102
11,-0.153892,3101
31,-0.153874,3010
02,-0.153837,3080
23,-0.153807,3086
21,-0.153567,2982
27,-0.153513,3015
46,-0.153427,3038
33,-0.153366,3092
01,-0.153301,3036
05,-0.153264,3028
32,-0.153197,3085
35,-0.152963,3069
44,-0.152027,3097
26,-0.152007,3019
04,-0.151827,3087
18,-0.151138,3010
29,-0.151041,2987
47,-0.149975,3008
17,-0.149842,3000
40,-0.149078,3025
22,-0.14685,3038
42,-0.144216,3035
34,-0.143941,3081
37,-0.141977,3002
06,-0.0962296,3044
