STATE,union_persons,hisp_persons,hisp_records,persons,population,f,hisp_share,union_share
1,0,133,4,22911,inst65,0.0,0.0058050717995722576,0.0
2,215,252,14,1582,inst65,0.8531746031746031,0.1592920353982301,0.1359039190897598
4,1193,866,25,20377,inst65,1.3775981524249423,0.04249889581390784,0.05854640035333955
5,0,159,3,16446,inst65,0.0,0.009668004377964246,0.0
6,16079,21989,643,104852,inst65,0.7312292509891309,0.20971464540495174,0.15334948308091406
8,1250,1914,68,20522,inst65,0.6530825496342738,0.09326576357080206,0.06091024266640678
9,0,1080,29,18565,inst65,0.0,0.0581739833019122,0.0
10,0,76,2,4106,inst65,0.0,0.018509498295177788,0.0
11,0,0,0,2315,inst65,,0.0,0.0
12,604,13501,306,103490,inst65,0.044737426857269835,0.1304570489902406,0.005836312687216156
13,275,428,14,36322,inst65,0.6425233644859814,0.011783492098452728,0.007571168988491823
15,0,70,3,4885,inst65,0.0,0.014329580348004094,0.0
16,302,617,19,8466,inst65,0.48946515397082657,0.07287975431136309,0.03567210016536735
17,1001,1908,40,65213,inst65,0.5246331236897275,0.029257970036649133,0.015349700213147686
18,52,308,8,37820,inst65,0.16883116883116883,0.00814383923849815,0.0013749338974087784
19,399,399,7,26192,inst65,1.0,0.01523365913255956,0.01523365913255956
20,183,652,14,18851,inst65,0.28067484662576686,0.03458702456103124,0.009707707813909077
21,9,434,8,21709,inst65,0.020737327188940093,0.019991708507992076,0.00041457460039614905
22,83,319,11,22615,inst65,0.2601880877742947,0.01410568206942295,0.003670130444395313
23,0,0,0,10001,inst65,,0.0,0.0
24,0,422,9,24594,inst65,0.0,0.0171586565829064,0.0
25,0,1188,33,35975,inst65,0.0,0.03302293259207783,0.0
26,147,260,7,38851,inst65,0.5653846153846154,0.0066922344341201,0.003783686391598672
27,177,361,5,35014,inst65,0.4903047091412742,0.010310161649625863,0.00505512080881933
28,0,0,0,16523,inst65,,0.0,0.0
29,197,197,4,36166,inst65,1.0,0.005447105015760659,0.005447105015760659
30,79,79,2,5850,inst65,1.0,0.013504273504273504,0.013504273504273504
31,0,332,5,10938,inst65,0.0,0.03035289815322728,0.0
32,332,389,7,4734,inst65,0.8534704370179949,0.08217152513730461,0.07013096746937052
33,0,0,0,9322,inst65,,0.0,0.0
34,27,4096,78,35240,inst65,0.006591796875,0.11623155505107832,0.0007661748013620886
35,620,1608,48,5327,inst65,0.3855721393034826,0.3018584569175896,0.11638821100056317
36,545,9159,202,95757,inst65,0.05950431269789278,0.09564835991102479,0.005691489917186211
