state,cms64_fy2020_inst,cms64_fy2020_hcbs,taf2020_hcbs,taf2020_inst,ratio_inst,ratio_hcbs
Alabama,1.101573672,0.758058593,0.659056276,1.075236951,1.0244938764199893,1.1502183054850386
Alaska,0.218988819,0.324206451,0.341901731,0.198240882,1.1046602335031983,0.9482445439856518
Arizona,0.818000741,2.889560108,1.643676098,0.640233389,1.2776602330560425,1.7579863280338337
Arkansas,1.065822306,1.074097727,0.672713713,0.998416903,1.0675122814902904,1.5966639392707014
California,8.942491835,20.997690713,6.561588876,9.019843841,0.9914242411106505,3.2000924028937896
Colorado,0.924214391,2.36978849,2.201402446,0.719226069,1.2850123637551298,1.0764903501883363
Connecticut,1.489507298,1.960003109,1.923324262,1.370886005,1.086528925503182,1.0190705476578656
Delaware,0.354376163,0.392740455,0.431023797,0.291204122,1.2169338832367216,0.9111804446379558
Florida,4.882629468,4.150070147,2.647213426,1.626448892,3.0020183800524856,1.5677127149021948
Georgia,1.647587985,1.757562149,1.799340593,1.427925176,1.1538335570322629,0.976781247440017
Hawaii,0.289220512,0.271163542,0.195257628,0.226492254,1.2769554229435147,1.3887474962053723
Idaho,0.178608573,0.405717756,0.487628893,0.255371808,0.6994059931627222,0.8320215676801579
Illinois,2.137866964,2.638374763,2.28006613,2.915353082,0.733313222744661,1.1571483512190939
Indiana,3.009646849,1.703877537,1.735495343,1.917486731,1.5695789704007084,0.9817816820266744
Iowa,1.143146546,1.207285575,0.949388179,1.042511668,1.096531176665929,1.2716458891152889
Kansas,0.530494885,1.429268842,0.789388521,0.499084851,1.0629352582773546,1.8106025157160854
Kentucky,1.263800896,1.101592719,1.016397457,1.293171525,0.9772879092740617,1.083820813809848
Louisiana,1.631650409,0.883543183,0.893740191,1.555689429,1.0488278563728672,0.9885906350607433
Maine,0.536672482,0.831882706,0.703405832,0.516179786,1.0397006945173166,1.1826497139420933
Maryland,1.404687734,2.335988182,1.954585666,1.193055946,1.177386306744076,1.1951321564638957
Massachusetts,1.868553272,4.74538838,4.107709308,1.940679923,0.9628343395810974,1.1552395810380456
Michigan,2.493502735,1.846773127,2.334377612,1.431871408,1.7414292380367162,0.791120133052407
Minnesota,1.338998414,5.414942868,4.317624585,1.09599653,1.221717749416597,1.2541486091246166
Mississippi,1.098217821,0.517580328,0.537476325,1.066433901,1.0298039287481353,0.9629825611388557
Missouri,1.468212474,2.229549668,2.069417637,1.146056756,1.2810992704448576,1.0773802388347966
Montana,0.228641963,0.312595839,0.246873633,0.190783338,1.198437795443122,1.266218004739291
Nebraska,0.449077021,0.586496629,0.407149875,0.42355316,1.0602612928209532,1.4404932065863953
Nevada,0.397334331,0.522353127,0.422905848,0.238669474,1.6647890672436811,1.235152290918427
New Jersey,2.813883563,2.73251573,2.746804015,2.125231705,1.3240361304510089,0.9947982146079686
New Mexico,0.352730046,0.884523035,0.956156171,0.336341987,1.0487243925332463,0.92508217990678
New York,8.839260283,21.808120167,21.075381365,7.509445545,1.177085609054776,1.0347675227940056
North Carolina,1.874267609,2.085070125,2.145032912,2.607092474,0.7189110580816321,0.9720457496644695
North Dakota,0.403270333,0.296904908,0.264588503,0.397907783,1.0134768663220644,1.1221383568582346
Ohio,3.835997241,5.202112724,4.226561522,3.325163415,1.153626683036268,1.230814385860015
Oklahoma,0.831834713,0.690590187,0.621960158,0.763106162,1.0900642065579336,1.110344735297337
Oregon,0.523924126,2.731911755,1.448493914,0.386088431,1.3570055042649025,1.8860360603489565
Pennsylvania,4.860017691,10.198307379,9.477108268,3.83739928,1.266487361982306,1.0760990684716738
Rhode Island,0.409546861,0.514502457,0.339921651,0.383228507,1.0686753556149204,1.5135913098986449
South Carolina,0.969909172,0.818467538,0.947817446,0.768219684,1.2625414216801039,0.8635286694226982
South Dakota,0.205129738,0.212395582,0.180222317,0.179392761,1.1434671993258412,1.1785198722087231
Tennessee,1.332127099,1.482924201,1.477398628,1.330547789,1.0011869622519813,1.003740069129129
Texas,,,5.708366493,4.057120884,,
Utah,0.433673371,0.497950303,0.420475999,0.301288755,1.439394480554045,1.1842538080276968
Vermont,0.17343878,0.390013526,0.342106636,0.213706328,0.8115753128283594,1.1400349626658512
Virginia,,,2.182508201,1.563512912,,
Washington,1.105276157,3.337748081,3.28468077,0.847443166,1.3042481211064483,1.0161560025816452
West Virginia,0.886590919,0.614218608,0.676544442,0.84974091,1.0433661702835986,0.9078762160609104
Wisconsin,0.989943878,3.166496398,3.310779366,0.26837113,3.6887122620082122,0.9564202406594315
Wyoming,0.156282167,0.173703738,0.154010289,0.111315048,1.4039626250711403,1.1278709956839312
