state,inst_ffs,inst_mc,hcbs_ffs,hcbs_mc,year
Alabama,Low Concern,Low Concern,Medium Concern,Medium Concern,2023
Alaska,Low Concern,Unclassified,Medium Concern,Unclassified,2023
Arizona,Low Concern,Medium Concern,Low Concern,Medium Concern,2023
Arkansas,Medium Concern,Low Concern,Low Concern,Medium Concern,2023
California,Medium Concern,Medium Concern,High Concern,High Concern,2023
Colorado,Medium Concern,High Concern,Low Concern,Low Concern,2023
Connecticut,Low Concern,Unclassified,Low Concern,Unclassified,2023
Delaware,Medium Concern,Low Concern,Medium Concern,Medium Concern,2023
District of Columbia,Medium Concern,Medium Concern,Low Concern,Medium Concern,2023
Florida,High Concern,High Concern,Low Concern,Medium Concern,2023
Georgia,Low Concern,Low Concern,Medium Concern,Medium Concern,2023
Hawaii,High Concern,Low Concern,Medium Concern,Medium Concern,2023
Idaho,Medium Concern,Low Concern,Medium Concern,Low Concern,2023
Illinois,Medium Concern,Medium Concern,Low Concern,Medium Concern,2023
Indiana,Medium Concern,Low Concern,High Concern,High Concern,2023
Iowa,Medium Concern,Low Concern,Low Concern,Low Concern,2023
Kansas,Low Concern,Low Concern,Low Concern,Low Concern,2023
Kentucky,Low Concern,Medium Concern,Medium Concern,Low Concern,2023
Louisiana,Low Concern,Low Concern,Medium Concern,Medium Concern,2023
Maine,Low Concern,Unclassified,Low Concern,Unclassified,2023
Maryland,Medium Concern,Low Concern,Medium Concern,Medium Concern,2023
Massachusetts,Medium Concern,Medium Concern,High Concern,High Concern,2023
Michigan,Medium Concern,Low Concern,Medium Concern,Low Concern,2023
Minnesota,Medium Concern,Low Concern,High Concern,High Concern,2023
Mississippi,Low Concern,Low Concern,Medium Concern,Medium Concern,2023
Missouri,Medium Concern,Low Concern,Medium Concern,Medium Concern,2023
Montana,Low Concern,Unclassified,Low Concern,Unclassified,2023
Nebraska,Medium Concern,High Concern,Low Concern,Low Concern,2023
Nevada,Medium Concern,Low Concern,Medium Concern,Medium Concern,2023
New Hampshire,High Concern,High Concern,Low Concern,Low Concern,2023
New Jersey,High Concern,Low Concern,High Concern,High Concern,2023
New Mexico,Low Concern,Low Concern,Medium Concern,Low Concern,2023
New York,Low Concern,Medium Concern,High Concern,High Concern,2023
North Carolina,Low Concern,Low Concern,High Concern,High Concern,2023
North Dakota,Low Concern,Low Concern,Low Concern,Low Concern,2023
Ohio,Medium Concern,High Concern,Medium Concern,Medium Concern,2023
Oklahoma,Low Concern,Low Concern,Medium Concern,Low Concern,2023
Oregon,Medium Concern,Medium Concern,Low Concern,High Concern,2023
Pennsylvania,Medium Concern,Medium Concern,High Concern,High Concern,2023
Rhode Island,Medium Concern,Low Concern,Medium Concern,Medium Concern,2023
South Carolina,Medium Concern,Low Concern,Low Concern,Medium Concern,2023
South Dakota,Medium Concern,Unclassified,Medium Concern,Unclassified,2023
Tennessee,Medium Concern,Low Concern,Medium Concern,Low Concern,2023
Texas,Medium Concern,Medium Concern,Low Concern,Medium Concern,2023
Utah,Medium Concern,Medium Concern,Medium Concern,Medium Concern,2023
Vermont,Medium Concern,Low Concern,High Concern,High Concern,2023
Virginia,Low Concern,Low Concern,Low Concern,Medium Concern,2023
Washington,Medium Concern,Low Concern,Medium Concern,Medium Concern,2023
West Virginia,Medium Concern,Medium Concern,Low Concern,Medium Concern,2023
Wisconsin,High Concern,Medium Concern,Low Concern,Medium Concern,2023
Wyoming,Medium Concern,Unclassified,Low Concern,Unclassified,2023
