domain,race_code,race_label,measure,measure_label,estimate,se,n_obs,weighted_n,cv,ci95_lo,ci95_hi
65+,1,Non-Hispanic white,PAMTTOT,"Total payments, all sources",17917.671699479353,690.7332254446501,4454,42382258.35138917,0.03855038963933697,16563.83457760784,19271.508821350868
65+,1,Non-Hispanic white,PAMTCARE,Medicare payments,7898.232253267218,419.3875553310139,4454,42382258.35138917,0.05309891402060609,7076.23264481843,8720.231861716005
65+,1,Non-Hispanic white,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,4203.642861078511,366.9149235147266,4454,42382258.35138917,0.08728498962459165,3484.4896109896463,4922.796111167375
65+,1,Non-Hispanic white,PAMTCAID,Medicaid payments,259.8813322363483,47.99300999682329,4454,42382258.35138917,0.18467278732116157,165.8150326425747,353.94763183012196
65+,1,Non-Hispanic white,PAMTOOP,Out-of-pocket payments,3011.728810934819,79.96117290892909,4454,42382258.35138917,0.026549924620905593,2855.0049120333183,3168.45270983632
65+,1,Non-Hispanic white,PAMTALPR,All private insurance payments,1443.0024128235073,82.37107086167264,4454,42382258.35138917,0.05708311374233813,1281.555113934629,1604.4497117123856
65+,1,Non-Hispanic white,PAMTOTH,Other payments (includes VA),598.3833230901895,49.82830810118321,4454,42382258.35138917,0.08327155216134423,500.7198392118704,696.0468069685086
65+,1,Non-Hispanic white,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,12361.75644658205,592.7845445105999,4454,42382258.35138917,0.047953100117459534,11199.898739341275,13523.614153822826
65+,1,Non-Hispanic white,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.050957536599391944,0.004005752019056279,4454,42382258.35138917,0.07860960883073924,0.043106262642041634,0.05880881055674225
65+,1,Non-Hispanic white,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.42707526760804043,0.009350651468820114,4454,42382258.35138917,0.021894621810322017,0.408747990729153,0.44540254448692784
65+,2,Non-Hispanic black,PAMTTOT,"Total payments, all sources",15930.175094367445,1777.6554822442902,500,4863007.1894176,0.11159045470082934,12445.970349168636,19414.379839566252
65+,2,Non-Hispanic black,PAMTCARE,Medicare payments,7819.335577214614,1502.052324305125,500,4863007.1894176,0.19209462357416596,4875.313021576569,10763.35813285266
65+,2,Non-Hispanic black,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,2792.8199571856726,294.5182356843989,500,4863007.1894176,0.10545550382745948,2215.5642152442506,3370.0756991270946
65+,2,Non-Hispanic black,PAMTCAID,Medicaid payments,1370.5461725438515,401.47571800642453,500,4863007.1894176,0.2929311876164311,583.6537652512594,2157.4385798364438
65+,2,Non-Hispanic black,PAMTOOP,Out-of-pocket payments,1554.4373688143764,147.13246829331086,500,4863007.1894176,0.09465319815717885,1266.0577309594871,1842.8170066692658
65+,2,Non-Hispanic black,PAMTALPR,All private insurance payments,1092.8498106033808,335.53949539907615,500,4863007.1894176,0.30703166358588574,435.1923996211915,1750.50722158557
65+,2,Non-Hispanic black,PAMTOTH,Other payments (includes VA),503.4807293293562,182.62086811374337,500,4863007.1894176,0.36271669892310887,145.5438278264192,861.4176308322933
65+,2,Non-Hispanic black,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,11982.701706944137,1596.3979387372415,500,4863007.1894176,0.13322520895367923,8853.761747019144,15111.64166686913
65+,2,Non-Hispanic black,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.24179900367513635,0.024145920782553502,500,4863007.1894176,0.09985947177430977,0.1944729989413315,0.28912500840894123
65+,2,Non-Hispanic black,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.6148039295026959,0.024844202011288403,500,4863007.1894176,0.040409959694604494,0.5661092935605706,0.6634985654448212
65+,3,Hispanic,PAMTTOT,"Total payments, all sources",17805.104694134778,1634.4680872059926,632,4341939.34816608,0.09179772403946643,14601.547243211033,21008.662145058523
65+,3,Hispanic,PAMTCARE,Medicare payments,8716.126681713517,1197.322277323532,632,4341939.34816608,0.13736861808531547,6369.375018159393,11062.87834526764
65+,3,Hispanic,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,4542.178782906162,533.3988056591347,632,4341939.34816608,0.11743236696593815,3496.7171238142582,5587.640441998066
