sample,mexican_share_of_persons,mexican_share_of_medicaid_ever,mexican_share_of_medicaid_dollars
pooled_2016_2024,0.11580512706371329,0.19444910473359195,0.1346161110123134
2016,0.1086480105952023,0.17612427446766205,0.11192945338855946
2017,0.10815048344082573,0.17827283354925175,0.10966087150759699
2018,0.11346891363286338,0.19114621970033235,0.10748789737022688
2019,0.11265539121858135,0.19456478986689457,0.1079885791670217
2020,0.11466588092010527,0.19813837250649818,0.14696538656798327
2021,0.11422113363376746,0.19196649379380437,0.11486174611145532
2022,0.11948004289576758,0.20171812367946704,0.11544526106094882
2023,0.12535993933903267,0.21489444693342494,0.16224656837640938
2024,0.12483341842126702,0.19944986647967874,0.2004882896296741
