band,nativity,union_persons,union_exposed,meps2024_public,meps2024_medicaid,meps2024_medicare,meps2024_va,meps2024_tricare,meps2024_health_other,ledger_medical_cost,ledger_M_cost,key_medicaid,key_medicare,key_health_other,key_tricare,key_va_medical
0-17,us_born,11469664.32910645,11366955.30103543,1543.5018624361212,1460.2526762729576,4.3140569851956965,2.967747917842008,60.13434438873234,78.93512917796778,17544916677.376328,9030124300.854515,16598626899.41207,49037692.916839145,897252085.0474173,683544404.7237912,33734257.92685107
0-17,foreign_born,653859.18605956,653859.18605956,336.8476088152149,303.72676889911315,0.0,0.0,24.791288225663937,33.12083991610177,220250903.32602552,107876552.98558207,198594537.89687422,0.0,21656365.429151293,16210011.540600577,0.0
18-34,us_born,8985607.85827874,8985607.85827874,1078.607858270655,897.1799263506601,77.71360789964031,42.29689614767872,48.89705922011779,103.71432402035461,9691947247.278,4574923683.739326,8061706996.5064335,698304005.8382007,931936244.933366,439369799.5750113,380063322.4053817
18-34,foreign_born,2338823.47828781,2338823.47828781,803.7479075761295,625.3361341001307,9.33844261118356,33.09033931898385,70.77113230139857,169.07333086481526,1879824476.8637524,800581819.7408231,1462550832.25512,21840968.82967943,395432675.77895296,165521185.81152377,77392462.5037497
35-49,us_born,4187612.3305766,4187612.3305766,1981.190156589625,1227.3206291977872,534.2034363092001,157.8835205800746,43.80558415837595,219.66609108263782,8296456328.951699,3419064903.714822,5139543000.399685,2237036896.924798,919876431.6272167,183440804.3697261,661154977.5759647
35-49,foreign_born,4063829.0222164,4063829.0222164,562.3748597336146,434.020062683363,54.94728497960124,16.199941292545898,23.899405403229053,73.4075120706503,2285395276.3503404,1020699405.7412955,1763783326.9568317,223296371.3920988,298315578.0014094,97123097.29135768,65833791.58284988
50-64,us_born,2211586.79129494,2211586.79129494,3362.1497663538084,1446.4782394198185,1522.6210253587562,244.79163227960146,101.55833130461528,393.0505015752339,7435686013.623451,2681924766.57622,3199012168.19643,3367408547.8313828,869265297.5956383,224605064.05924255,541377940.5690947
50-64,foreign_born,3823172.59743391,3823172.59743391,3038.6645751452784,1052.7473075568992,1508.1770624411588,293.7035852132156,90.2728535189066,477.74020514722054,11617339136.488583,3803082535.6781993,4024834658.273865,5766021217.203409,1826483261.011308,345128699.865649,1122879498.7552612
65+,us_born,1417161.70049985,1417161.70049985,11054.62484082269,413.84702986777955,9696.947832670441,698.3620804840119,212.33350335174921,943.8299782844696,15666190937.808167,4171877288.5244317,586488160.5942347,13742143080.205578,1337559697.0083554,300910908.6830555,989691993.5433356
65+,foreign_born,1745256.8585976001,1745256.8585976001,10450.997846978156,1187.5394945332528,9020.598285892227,115.62660991975454,89.68814214473701,242.86006655267587,18239675671.62738,5540225770.385886,2072561447.6896868,15743261027.107164,423853196.8305272,156528845.21297875,201798133.99884093
