cell,generation,pct_identified_mexican_2025,se,pct_identified_mexican_DT_1994_2006,pct_of_generation_2025,pct_of_generation_DT,pct_of_all_us_born_mexican_children_2025,weighted,unweighted_n
"2nd gen, both parents Mexico-born",2nd gen,96.63,0.85,97.9,59.54,68.4,29.35,2140230.9,983
"2nd gen, one parent Mexico-born",2nd gen,87.57,2.18,80.6,40.46,31.6,19.95,1454420.0,666
"2nd gen, all",2nd gen,92.96,1.03,92.4,100.0,100.0,49.3,3594650.9,1649
"3rd gen, four grandparents Mexico-born",3rd gen,97.86,1.4,96.2,28.81,10.0,6.79,494980.6,197
"3rd gen, three grandparents Mexico-born",3rd gen,92.3,4.97,95.2,10.84,7.1,2.56,186323.6,77
"3rd gen, two grandparents Mexico-born",3rd gen,89.86,2.83,78.7,34.45,34.5,8.12,591980.3,249
"3rd gen, one grandparent Mexico-born",3rd gen,78.06,4.39,58.4,25.89,48.5,6.1,444871.5,216
"3rd gen, all",3rd gen,89.38,1.56,71.8,100.0,100.0,23.56,1718156.0,739
"4th+ gen, both parents identified Mexican",4th+ gen,99.85,0.15,98.4,37.93,42.9,10.29,750448.3,286
"4th+ gen, one parent identified Mexican",4th+ gen,82.9,2.5,50.1,62.07,57.1,16.84,1228099.0,556
"4th+ gen, all",4th+ gen,89.33,1.62,70.8,100.0,100.0,27.14,1978547.4,842
all US-born Mexican children,all,91.13,0.78,84.2,100.0,100.0,100.0,7291354.2,3230
