year,query,cell,weight
2024,care_by_nativity,NATIVITY=1;SEX=1,436303
2024,care_by_nativity,NATIVITY=1;SEX=2,2209326
2024,care_by_nativity,NATIVITY=2;SEX=1,177253
2024,care_by_nativity,NATIVITY=2;SEX=2,855694
2024,care_mexico_born,NATIVITY=1;SEX=1,1318
2024,care_mexico_born,NATIVITY=1;SEX=2,2662
2024,care_mexico_born,NATIVITY=2;SEX=1,18465
2024,care_mexico_born,NATIVITY=2;SEX=2,131572
2024,care_mexican_origin,NATIVITY=1;SEX=1,51627
2024,care_mexican_origin,NATIVITY=1;SEX=2,215773
2024,care_mexican_origin,NATIVITY=2;SEX=1,18811
2024,care_mexican_origin,NATIVITY=2;SEX=2,129719
2024,lowed_lf_by_nativity,NATIVITY=1;SEX=1,26113270
2024,lowed_lf_by_nativity,NATIVITY=1;SEX=2,18425924
2024,lowed_lf_by_nativity,NATIVITY=2;SEX=1,8345121
2024,lowed_lf_by_nativity,NATIVITY=2;SEX=2,5460273
2024,lowed_lf_mexico_born,NATIVITY=1;SEX=1,56131
2024,lowed_lf_mexico_born,NATIVITY=1;SEX=2,38778
2024,lowed_lf_mexico_born,NATIVITY=2;SEX=1,3504828
2024,lowed_lf_mexico_born,NATIVITY=2;SEX=2,1860826
2024,all_lf_by_nativity,NATIVITY=1;SEX=1,73897984
2024,all_lf_by_nativity,NATIVITY=1;SEX=2,69374402
2024,all_lf_by_nativity,NATIVITY=2;SEX=1,17825977
2024,all_lf_by_nativity,NATIVITY=2;SEX=2,14380350
2024,wa_pop_by_nativity,NATIVITY=1;SEX=1,88632865
2024,wa_pop_by_nativity,NATIVITY=1;SEX=2,87839619
2024,wa_pop_by_nativity,NATIVITY=2;SEX=1,19266756
2024,wa_pop_by_nativity,NATIVITY=2;SEX=2,19288373
2024,wa_lowed_by_nativity,NATIVITY=1;SEX=1,43148309
2024,wa_lowed_by_nativity,NATIVITY=1;SEX=2,34922067
2024,wa_lowed_by_nativity,NATIVITY=2;SEX=1,10110492
2024,wa_lowed_by_nativity,NATIVITY=2;SEX=2,9131668
2024,wa_lowed_mexico_born,NATIVITY=1;SEX=1,88233
2024,wa_lowed_mexico_born,NATIVITY=1;SEX=2,73997
2024,wa_lowed_mexico_born,NATIVITY=2;SEX=1,3965064
2024,wa_lowed_mexico_born,NATIVITY=2;SEX=2,3281034
2024,age65_mexican_origin,NATIVITY=1;TYPEHUGQ=1,1421714
2024,age65_mexican_origin,NATIVITY=1;TYPEHUGQ=2,26470
2024,age65_mexican_origin,NATIVITY=1;TYPEHUGQ=3,7958
2024,age65_mexican_origin,NATIVITY=2;TYPEHUGQ=1,1514571
2024,age65_mexican_origin,NATIVITY=2;TYPEHUGQ=2,14794
2024,age65_mexican_origin,NATIVITY=2;TYPEHUGQ=3,4309
2024,age65_by_gq_nativity,NATIVITY=1;TYPEHUGQ=1,50454372
2024,age65_by_gq_nativity,NATIVITY=1;TYPEHUGQ=2,1339228
2024,age65_by_gq_nativity,NATIVITY=1;TYPEHUGQ=3,349475
2024,age65_by_gq_nativity,NATIVITY=2;TYPEHUGQ=1,8963410
2024,age65_by_gq_nativity,NATIVITY=2;TYPEHUGQ=2,93978
2024,age65_by_gq_nativity,NATIVITY=2;TYPEHUGQ=3,45174
2024,age80_by_gq_nativity,NATIVITY=1;TYPEHUGQ=1,10783130
2024,age80_by_gq_nativity,NATIVITY=1;TYPEHUGQ=2,697884
2024,age80_by_gq_nativity,NATIVITY=1;TYPEHUGQ=3,139567
2024,age80_by_gq_nativity,NATIVITY=2;TYPEHUGQ=1,2003433
2024,age80_by_gq_nativity,NATIVITY=2;TYPEHUGQ=2,49985
2024,age80_by_gq_nativity,NATIVITY=2;TYPEHUGQ=3,22544
