cbsa,d_native_birth_rate,d_fb_share,d_log_rent,d_log_income,d_ba,d_black,d_hisp,d_own,d_age,d_w2034,fb_share_2010,pop,name,native_women_15_50,bartik_raw,bartik,k,zori_growth
10180,10.188726369593837,0.0275180416989933,0.48601982234657015,0.4106530386030496,6.082770406914843,-0.5812727662437043,3.4545387812688837,-0.3684088616639869,1.2000000000000028,-3.129582991933006,5.531674962562371,180224.0,"Abilene, TX Metro Area",39920.0,0.0,0.0,"('abilene', 'tx')",0.41025759489962044
10420,-3.64334526851259,2.1672879287080384,0.38240933180823866,0.4103755402927387,8.063705616577678,-0.3255595153732518,1.1454054822649093,-0.8961032840239938,1.2999999999999972,0.686007284144452,3.8281473388614566,698398.0,"Akron, OH Metro Area",147850.0,0.0,0.0,"('akron', 'oh')",0.4270212852867367
10580,-9.621128903432883,1.830911231847895,0.42420101916563446,0.390004606545304,8.073889447284714,-0.2422018963835164,2.1682203887571125,-0.8475034533886046,1.2999999999999972,0.844686205067994,6.635378580483951,904682.0,"Albany-Schenectady-Troy, NY Metro Area",188493.0,0.0,0.0,"('albany', 'ny')",0.3456601910301375
10740,-5.648807161660002,-0.7397901512767469,0.4751707380002008,0.3559360094485964,6.40517067503626,0.23392152311675485,1.700463660659608,1.4382019307446967,2.9000000000000057,-3.393164250661137,10.183136139118892,923518.0,"Albuquerque, NM Metro Area",194586.0,0.0,0.0,"('albuquerque', 'nm')",0.5049766791178933
10900,-12.005580866111778,3.8363073395972425,0.46275454061846055,0.37768756945394166,6.680885578105492,0.6169240105190674,7.460105565832551,-2.2368057420440692,0.8000000000000043,1.6634152700222558,7.645282256936463,873555.0,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",163636.0,0.0,0.0,"('allentown', 'pa')",0.4563007782093643
11100,-26.778268839569314,-0.8787779421422464,0.3906937907878518,0.3217054102012131,1.8645998055125403,0.7720686345958683,5.538263906895008,1.2499491877068039,1.1999999999999957,-3.1595248495822545,9.12410932258897,273100.0,"Amarillo, TX Metro Area",59082.0,0.0,0.0,"('amarillo', 'tx')",
11260,-29.322086813044038,0.44674471682152106,0.37545768333416607,0.2753316753244004,5.342031574553776,-0.7437698522570173,1.7270072615564782,1.7296789068094398,3.299999999999997,-5.744266851926788,7.886380965312667,401314.0,"Anchorage, AK Metro Area",86897.0,0.0,0.0,"('anchorage', 'ak')",0.23799337357413222
11460,-25.72805676226015,3.0317414008258723,0.547797546416982,0.40467739636991595,9.838426599226636,-0.35760434701606947,1.778143598104731,0.1795764567003033,1.2999999999999972,1.8263521265059595,10.72258101885372,365536.0,"Ann Arbor, MI Metro Area",80988.0,0.0,0.0,"('ann arbor', 'mi')",0.3818376034541618
11700,-11.74249833358018,1.1924121615140342,0.5662473706551276,0.47544612925482177,15.321370991921139,-0.49439656486760075,2.8707068876172963,-0.4090865288482064,0.29999999999999716,-3.3319600792385984,5.743556505942018,417202.0,"Asheville, NC Metro Area",85365.0,0.0,0.0,"('asheville', 'nc')",0.5527317337471896
12060,-8.828698389117811,2.2357838088842925,0.625526992884966,0.4864822225044243,8.465662774925143,1.095017843833972,2.0452573925170245,0.5735242404986565,1.1000000000000014,0.9991611494623385,13.547524328224824,6305839.0,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1304914.0,-7460599.440551082,-141.0774089783655,"('atlanta', 'ga')",0.5457680403541412
