cbsa,name,native_births,native_women_15_50,native_birth_rate,fb_births,fb_women_15_50,fb_birth_rate,all_birth_rate,pop,fb_share,median_rent,median_hh_income,black_share,hisp_share,ownership_rate,median_age_native_female,ba_plus_share,share_women_20_34,women_15_50_all
10100,"Aberdeen, SD Micro Area",520,8805,59.05735377626348,137,608,225.32894736842104,69.79708913205141,42824.0,3.6778441995142908,692,59270,1.9848682981505699,2.8932374369512424,65.55549330494705,38.8,29.121866958085096,43.89085150444634,8209.0
10140,"Aberdeen, WA Micro Area",685,13022,52.603286745507596,40,830,48.19277108433735,52.3390124169795,72779.0,4.800835405817612,775,51240,1.1170804765110813,9.956168675029884,67.03572174639649,45.3,16.461147366823496,35.98773588101772,11806.8
10180,"Abilene, TX Metro Area",2276,36701,62.01465900111713,150,2977,50.386294927779645,61.14219466706991,170669.0,5.637227616028687,907,52511,7.905360668897105,23.57311521131547,61.96517372109436,34.7,23.020903698631404,46.66294220882922,35441.4
10220,"Ada, OK Micro Area",562,8878,63.30254561838252,31,230,134.7826086956522,65.10759771629337,38355.0,2.2004953721809413,707,50392,2.4247164646069614,5.36566288619476,65.93360414623896,37.7,28.232317146644174,45.10949634179839,8009.4
10300,"Adrian, MI Micro Area",1264,19980,63.263263263263255,18,523,34.41682600382409,62.5274350095108,98381.0,2.3104054644697656,767,55450,2.272796576574745,7.971051320885131,77.52770895814317,43.5,21.010541089782013,39.49387381197756,17466.0
10380,"Aguadilla-Isabela, PR Metro Area",1868,68265,27.363949315168828,39,828,47.10144927536232,27.600480511773984,,,425,16470,0.09033333665441189,96.82338836360496,65.41263913298184,43.8,20.666706915528476,39.2354124748491,58745.4
10420,"Akron, OH Metro Area",7607,152804,49.78272820083244,661,10299,64.18098844548015,50.69189407920149,703845.0,4.914292209222201,830,57285,11.97820542875207,2.073894110208924,66.60885102759447,41.8,31.707683753114896,43.220254249392944,140020.0
10460,"Alamogordo, NM Micro Area",1036,12284,84.33734939759036,76,1687,45.05038529934795,79.59344356166345,66137.0,11.328000967688283,792,41988,3.2251236070580767,38.276607647761466,64.1956503342642,35.8,17.476307395764014,40.24919273296585,12263.6
10500,"Albany, GA Metro Area",2027,35438,57.198487499294544,34,1032,32.94573643410853,56.5122018097066,148436.0,2.3168234121102698,756,44844,53.336791613894206,2.7890808159745615,54.2502782065549,38.4,20.031103878715474,41.80913401039747,31469.2
10540,"Albany-Lebanon, OR Metro Area",1247,25942,48.068768791920434,58,1857,31.233171782444803,46.944134681103634,125048.0,4.3815174972810444,964,55893,0.49261083743842365,9.110901413857079,64.37753862903564,40.5,19.28151986183074,38.03209466507557,23966.6
