year,scope,measure,victim,offender,row_total,row_total_se,value,value_se,flag
2018,violent_excl_simple,percent,White,White,1154920.0,124398.0,67.9,3.81,
2018,violent_excl_simple,percent,White,Black,1154920.0,124398.0,17.6,2.71,
2018,violent_excl_simple,percent,White,Hispanic,1154920.0,124398.0,7.9,1.76,
2018,violent_excl_simple,percent,White,Other,1154920.0,124398.0,6.6,1.59,
2018,violent_excl_simple,percent,Black,White,257720.0,44703.0,5.4,2.59,
2018,violent_excl_simple,percent,Black,Black,257720.0,44703.0,74.7,6.01,
2018,violent_excl_simple,percent,Black,Hispanic,257720.0,44703.0,13.6,4.18,
2018,violent_excl_simple,percent,Black,Other,257720.0,44703.0,6.3,2.81,
2018,violent_excl_simple,percent,Hispanic,White,341050.0,53966.0,26.6,5.09,
2018,violent_excl_simple,percent,Hispanic,Black,341050.0,53966.0,16.1,4.07,
2018,violent_excl_simple,percent,Hispanic,Hispanic,341050.0,53966.0,45.3,5.98,
2018,violent_excl_simple,percent,Hispanic,Other,341050.0,53966.0,12.0,3.52,
2019,violent_excl_simple,count,White,White,937010.0,105812.0,595770.0,77977.0,
2019,violent_excl_simple,count,White,Black,937010.0,105812.0,127350.0,28469.0,
2019,violent_excl_simple,count,White,Hispanic,937010.0,105812.0,181040.0,35634.0,
2019,violent_excl_simple,count,White,Other,937010.0,105812.0,32850.0,12393.0,
2019,violent_excl_simple,count,Black,White,183660.0,35965.0,17690.0,8625.0,
2019,violent_excl_simple,count,Black,Black,183660.0,35965.0,143090.0,30655.0,
2019,violent_excl_simple,count,Black,Hispanic,183660.0,35965.0,15840.0,8094.0,
2019,violent_excl_simple,count,Black,Other,183660.0,35965.0,7040.0,5118.0,
2019,violent_excl_simple,count,Hispanic,White,356470.0,55411.0,78950.0,21100.0,
2019,violent_excl_simple,count,Hispanic,Black,356470.0,55411.0,99070.0,24304.0,
2019,violent_excl_simple,count,Hispanic,Hispanic,356470.0,55411.0,167610.0,33914.0,
2019,violent_excl_simple,count,Hispanic,Other,356470.0,55411.0,10850.0,6522.0,
