year,group,population,source
2014,Black,32814730.0,cv18at26.csv
2014,Hispanic,41409860.0,cv18at26.csv
2014,Other,5452400.0,cv18at26.csv
2014,White,173552050.0,cv18at26.csv
2015,Black,33242330.0,cv19at34.csv
2015,Hispanic,43314490.0,cv19at34.csv
2015,Other,5262540.0,cv19at34.csv
2015,White,173043610.0,cv19at34.csv
2016,Black,33623820.0,cv19at34.csv
2016,Hispanic,44470950.0,cv19at34.csv
2016,Other,5507510.0,cv19at34.csv
2016,White,172882890.0,cv19at34.csv
2017,Asian,17472290.0,cv21at19.csv
2017,Black,32699520.0,cv21at19.csv
2017,Hispanic,45481910.0,cv21at19.csv
2017,Other,5360390.0,cv21at19.csv
2017,White,171454370.0,cv21at19.csv
2018,Asian,18094710.0,cv21at19.csv
2018,Black,33132390.0,cv21at19.csv
2018,Hispanic,46997610.0,cv21at19.csv
2018,Other,5607500.0,cv21at19.csv
2018,White,171493180.0,cv21at19.csv
2019,Asian,18335230.0,cv21at19.csv
2019,Black,33397100.0,cv21at19.csv
2019,Hispanic,47890870.0,cv21at19.csv
2019,Other,5825790.0,cv21at19.csv
2019,White,171423480.0,cv21at19.csv
2020,Asian,18867300.0,cv24at19.csv
2020,Black,33688820.0,cv24at19.csv
2020,Hispanic,48640170.0,cv24at19.csv
2020,Other,5618230.0,cv24at19.csv
2020,White,171267760.0,cv24at19.csv
2021,Asian,19293190.0,cv24at19.csv
2021,Black,33938330.0,cv24at19.csv
2021,Hispanic,49402220.0,cv24at19.csv
2021,Other,5396250.0,cv24at19.csv
2021,White,171158580.0,cv24at19.csv
2022,Asian,19681580.0,cv24at19.csv
2022,Black,34448440.0,cv24at19.csv
2022,Hispanic,50873240.0,cv24at19.csv
2022,Other,5676110.0,cv24at19.csv
2022,White,171625260.0,cv24at19.csv
2023,Asian,20351610.0,cv24at19.csv
2023,Black,34813560.0,cv24at19.csv
2023,Hispanic,52113170.0,cv24at19.csv
2023,Other,6004920.0,cv24at19.csv
2023,White,171573780.0,cv24at19.csv
2024,Asian,20569310.0,cv24at19.csv
2024,Black,35012630.0,cv24at19.csv
2024,Hispanic,53539670.0,cv24at19.csv
2024,Other,6396460.0,cv24at19.csv
2024,White,170855150.0,cv24at19.csv
