arm,pricing,offender,intra_group_cost,inter_group_cost,inter_group_cost_per_capita,total_cost_per_capita
simple_at_zero,social_total_2024,White,386667837636.5562,124193316981.52681,724.7873049037504,2981.3655713111666
simple_at_zero,social_total_2024,Black,94868272568.7372,167650421089.75217,4823.332993550363,7552.710385790562
simple_at_zero,social_total_2024,Hispanic,56092346087.29135,88734783156.27359,1700.702844336361,2775.7763289714712
simple_at_zero,social_total_2024,Other,16458421028.385149,68920247106.41528,2627.869440746572,3255.4148062855793
simple_at_zero,cjs_2024,White,43809731381.007164,15048116165.561838,87.82021307264418,343.49207938506834
simple_at_zero,cjs_2024,Black,11414650498.312344,19556926419.923855,562.6563168794899,891.0578800875016
simple_at_zero,cjs_2024,Hispanic,7020743098.393669,10200094469.884342,195.4963889062642,330.0568998139737
simple_at_zero,cjs_2024,Other,1908612982.3273587,7999762490.382867,305.0240279790147,377.7977910029053
simple_at_aggravated,social_total_2024,White,941910068687.7881,296247090035.8424,1728.886345829663,7225.836397074969
simple_at_aggravated,social_total_2024,Black,208095775476.59006,407350992316.34845,11719.561862257822,17706.515030346454
simple_at_aggravated,social_total_2024,Hispanic,137963159350.33914,211462463356.76505,4052.9181467413937,6697.138701239515
simple_at_aggravated,social_total_2024,Other,38963033908.368706,166356904494.403,6343.044953147669,7828.6717526059065
simple_at_aggravated,cjs_2024,White,88641053736.76959,28940067697.633797,168.89309489511484,686.1987921997293
simple_at_aggravated,cjs_2024,Black,20556856185.349873,38910810142.30302,1119.4710585586258,1710.8955359799281
simple_at_aggravated,cjs_2024,Hispanic,13631149540.236277,20109362687.156315,385.4187625568145,646.6752165656852
simple_at_aggravated,cjs_2024,Other,3725678576.5708447,15866985032.801125,604.9944223226689,747.051325605353
