years,victim,offender,count,se,col_share_3victims
2021-2024,Black,Black,1681520.0,141491.47552414596,0.3818989109821601
2021-2024,Black,Hispanic,274190.0,79317.45816023104,0.11323380619050569
2021-2024,Black,Other,113030.0,33848.57459332667,0.09659362822178164
2021-2024,Black,Unknown,560660.0,77338.9266411165,
2021-2024,Black,White,341670.0,44083.212450999985,0.0388287396541359
2021-2024,Hispanic,Black,776500.0,132314.0343803332,0.17635502662926836
2021-2024,Hispanic,Hispanic,1075590.0,102803.01355991467,0.44419252926965247
2021-2024,Hispanic,Other,217190.0,36121.395404939714,0.18560709646544063
2021-2024,Hispanic,Unknown,787270.0,92425.01088450031,
2021-2024,Hispanic,White,1160410.0,150905.23577066502,0.1318736142536829
2021-2024,White,Black,1945030.0,122853.16490021737,0.44174606238857156
2021-2024,White,Hispanic,1071670.0,99270.42021166225,0.4425736645398418
2021-2024,White,Other,839940.0,101220.03587729062,0.7177992753127778
2021-2024,White,Unknown,2308950.0,142983.95385846624,
2021-2024,White,White,7297330.0,325764.0106641616,0.8292976460921812
