model,reference,group,stat,estimate,se,n_cell,boot_draws,reported
A_christian_ref,Christian,Buddhist,emp_rate,0.42936642184154605,0.03563254336646697,287,500,True
A_christian_ref,Christian,Buddhist,any_wage_12m,0.8148509969817092,0.03656564572110771,155,500,True
A_christian_ref,Christian,Buddhist,mean_earn,21118.53143038644,1781.2048378420768,93,500,True
A_christian_ref,Christian,Buddhist,median_earn,16106.766729021369,1454.0130658644414,93,500,True
A_christian_ref,Christian,Buddhist,median_wage12m,7990.483614017166,1903.446832040471,100,500,True
A_christian_ref,Christian,Buddhist,median_earn_ft,17464.353948223892,2208.1951644229325,82,500,True
A_christian_ref,Christian,Christian,emp_rate,0.6110474702193461,0.008162367303477703,4921,500,True
A_christian_ref,Christian,Christian,any_wage_12m,0.8531989979985598,0.00730412835282213,3231,500,True
A_christian_ref,Christian,Christian,mean_earn,25949.477595995842,1268.3948300747434,2173,500,True
A_christian_ref,Christian,Christian,median_earn,18730.458180916467,335.0262457336411,2173,500,True
A_christian_ref,Christian,Christian,median_wage12m,15000.0,494.44008669139936,2202,500,True
A_christian_ref,Christian,Christian,median_earn_ft,20800.0,331.145047246099,1935,500,True
A_christian_ref,Christian,Hindu,emp_rate,0.5460502857745608,0.0260298804206415,585,500,True
A_christian_ref,Christian,Hindu,any_wage_12m,0.9263441203623412,0.018450398459089648,392,500,True
A_christian_ref,Christian,Hindu,mean_earn,47984.948620103605,2933.677433786806,272,500,True
A_christian_ref,Christian,Hindu,median_earn,40380.231574232304,11259.767478634665,272,500,True
A_christian_ref,Christian,Hindu,median_wage12m,30035.76769079995,9794.021516632582,280,500,True
A_christian_ref,Christian,Hindu,median_earn_ft,50000.0,9068.302546155295,262,500,True
A_christian_ref,Christian,Jewish,emp_rate,0.6078098323507378,0.057532825519652324,98,500,True
A_christian_ref,Christian,Jewish,any_wage_12m,0.8237409900392239,0.060248008580528346,72,500,True
A_christian_ref,Christian,Jewish,mean_earn,48165.07336332177,6505.390624424963,42,500,False
A_christian_ref,Christian,Jewish,median_earn,37853.98705203951,7470.974191149951,42,500,False
A_christian_ref,Christian,Jewish,median_wage12m,30894.93070699753,7041.3823433185435,55,500,True
A_christian_ref,Christian,Jewish,median_earn_ft,42050.10776622937,7672.442681032405,37,500,False
A_christian_ref,Christian,Muslim,emp_rate,0.5072979653790477,0.025209043706993048,606,500,True
A_christian_ref,Christian,Muslim,any_wage_12m,0.8694897485146592,0.02100038841192497,370,500,True
A_christian_ref,Christian,Muslim,mean_earn,27608.562632166366,4765.68126543667,231,500,True
A_christian_ref,Christian,Muslim,median_earn,17428.624989511485,777.3891445176881,231,500,True
A_christian_ref,Christian,Muslim,median_wage12m,10000.0,1486.0537417184894,254,500,True
A_christian_ref,Christian,Muslim,median_earn_ft,18720.0,673.945912586376,206,500,True
A_christian_ref,Christian,No religion,emp_rate,0.606267021002763,0.018465957622580964,918,500,True
A_christian_ref,Christian,No religion,any_wage_12m,0.855267727361612,0.016853996042303004,618,500,True
A_christian_ref,Christian,No religion,mean_earn,37218.0997043547,3037.04428792825,404,500,True
A_christian_ref,Christian,No religion,median_earn,21600.0,1647.9229322971655,404,500,True
A_christian_ref,Christian,No religion,median_wage12m,15000.0,1777.0298522919961,428,500,True
A_christian_ref,Christian,No religion,median_earn_ft,24972.26751292972,1981.2840179831346,370,500,True
A_christian_ref,Christian,Other,emp_rate,0.5334738509182622,0.03978113303192497,192,500,True
A_christian_ref,Christian,Other,any_wage_12m,0.8664631376810505,0.03422375317123994,115,500,True
A_christian_ref,Christian,Other,mean_earn,25873.953602529476,2288.934050196367,82,500,True
A_christian_ref,Christian,Other,median_earn,20800.0,1490.0622172391593,82,500,True
A_christian_ref,Christian,Other,median_wage12m,18058.925413815723,1867.6026776265055,79,500,True
A_christian_ref,Christian,Other,median_earn_ft,20833.25360024432,1631.056701953769,76,500,True
A_christian_ref,Christian,Buddhist,empgap_unadj,-0.18168104837779941,0.036370822083301856,287,500,True
A_christian_ref,Christian,Hindu,empgap_unadj,-0.06499718444478496,0.02719775003977551,585,500,True
A_christian_ref,Christian,Jewish,empgap_unadj,-0.0032376378686081006,0.05853127753001069,98,500,True
A_christian_ref,Christian,Muslim,empgap_unadj,-0.10374950484029698,0.026293878020097066,606,500,True
A_christian_ref,Christian,No religion,empgap_unadj,-0.004780449216583029,0.020206161320290277,918,500,True
