item,group,n,mean,se
strpres_helpful,Hisp G1 Spanish,90,0.220755128146321,0.05277734852757398
strpres_helpful,Hisp G1 English,263,0.17831241518451965,0.030888216642712876
strpres_helpful,Hisp G3+,508,0.20741588126159322,0.026590139681688683
strpres_helpful,NHWhite G3+,8745,0.14509114291819036,0.005566290147040311
violence_justified,Hisp G1 Spanish,90,0.3412171637623991,0.059525489102773055
violence_justified,Hisp G1 English,261,0.29114553060373716,0.04060984658697085
violence_justified,Hisp G3+,507,0.26403922680166436,0.027043362101186037
violence_justified,NHWhite G3+,8767,0.12003452854576156,0.004536103392932086
auth_obedience,Hisp G1 Spanish,78,0.7034591088547518,0.0724955223983691
auth_obedience,Hisp G1 English,223,0.48246910026246864,0.047288606309193654
auth_obedience,Hisp G3+,444,0.43787798333048383,0.03471988923347568
auth_obedience,NHWhite G3+,7931,0.3903374786259344,0.007713890568137932
auth_respect,Hisp G1 Spanish,78,0.905008733751172,0.030176167879140507
auth_respect,Hisp G1 English,224,0.6499715079771778,0.040516160345321045
auth_respect,Hisp G3+,444,0.6521328323846101,0.033432885896132025
auth_respect,NHWhite G3+,7933,0.6797709659955544,0.00750440988080884
strleader_agree,Hisp G1 Spanish,76,0.23834288248728308,0.06113637836189858
strleader_agree,Hisp G1 English,222,0.3510722744398456,0.04632044910403721
strleader_agree,Hisp G3+,442,0.3776607638589105,0.032657343330048806
strleader_agree,NHWhite G3+,7928,0.3373757645063402,0.007639096825941365
minorities_adapt,Hisp G1 Spanish,36,0.375716046440849,0.11327187909691207
minorities_adapt,Hisp G1 English,133,0.42666339191590075,0.05428745243315348
minorities_adapt,Hisp G3+,261,0.36838482700909303,0.044849325263499495
minorities_adapt,NHWhite G3+,4838,0.5421157664441224,0.010403165265041732
prefer_democracy,Hisp G1 Spanish,40,0.5134022194226568,0.11865200021149022
prefer_democracy,Hisp G1 English,88,0.7660195171181918,0.059589430611003025
prefer_democracy,Hisp G3+,179,0.676126835752271,0.0459772408400834
prefer_democracy,NHWhite G3+,3089,0.7484157726208037,0.012776191013967632
