item,arm,group,estimate,se,n
con_index_all13,web,Hisp G1,0.19136201337133607,0.07086961649465584,1229
con_index_all13,web,Hisp G2,0.03491096656924597,0.05870351495590575,1229
con_index_all13,web,Hisp G3+,0.005626176879712119,0.05120652827898857,1229
con_index_all13,interviewer,Hisp G1,0.09652927263684763,0.05958729892301961,966
con_index_all13,interviewer,Hisp G2,0.04284446015918064,0.06498323248119998,966
con_index_all13,interviewer,Hisp G3+,-0.036954954856192934,0.05602501643098558,966
con_index_gov3,web,Hisp G1,0.3296225755433171,0.07087533177783689,1667
con_index_gov3,web,Hisp G2,0.16151668313305834,0.07169370117156643,1667
con_index_gov3,web,Hisp G3+,-0.028702648259223196,0.06382164684128104,1667
con_index_gov3,interviewer,Hisp G1,0.3419553778358848,0.06306352140622945,1408
con_index_gov3,interviewer,Hisp G2,0.22191766592449902,0.08196338413372135,1408
con_index_gov3,interviewer,Hisp G3+,0.07960844216681684,0.07459986222935622,1408
tolscale_core9,web,Hisp G1,-1.4488391353033618,0.3532213052231428,830
tolscale_core9,web,Hisp G2,-0.12866907260228544,0.3085565447123499,830
tolscale_core9,web,Hisp G3+,-0.3292613873889607,0.2681199395621999,830
tolscale_core9,interviewer,Hisp G1,-1.589193702238223,0.40584632639975043,630
tolscale_core9,interviewer,Hisp G2,-0.5362906560977478,0.4689860602808587,630
tolscale_core9,interviewer,Hisp G3+,-0.7088100985712398,0.3786300864354087,630
tolscale_mslm3,web,Hisp G1,-0.3960139900091961,0.21973154577936818,846
tolscale_mslm3,web,Hisp G2,-0.11938247121319101,0.20857865212061846,846
tolscale_mslm3,web,Hisp G3+,0.0855606635931121,0.30382853753484496,846
tolscale_mslm3,interviewer,Hisp G1,-0.684577774504205,0.20445754628324328,726
tolscale_mslm3,interviewer,Hisp G2,0.4314349657004861,0.2447007692190145,726
tolscale_mslm3,interviewer,Hisp G3+,-0.24096612220460623,0.2082103927565648,726
obey_top2,web,Hisp G1,0.08160697895285962,0.04041143630776996,1649
obey_top2,web,Hisp G2,0.036053422458487194,0.04649177709496088,1649
obey_top2,web,Hisp G3+,0.042914833336553326,0.049350316713977875,1649
obey_top2,interviewer,Hisp G1,0.27683219344198656,0.05903060580323893,1429
obey_top2,interviewer,Hisp G2,-0.0538543927042332,0.04637071003058389,1429
obey_top2,interviewer,Hisp G3+,0.03404504294589992,0.05700674057375582,1429
polhitok_yes,web,Hisp G1,-0.39308726807765804,0.07949278047596978,870
polhitok_yes,web,Hisp G2,-0.13747286957140226,0.07580559633306416,870
polhitok_yes,web,Hisp G3+,-0.11604876545551512,0.07440511076097572,870
polhitok_yes,interviewer,Hisp G1,-0.309358958534919,0.09465167143751366,721
polhitok_yes,interviewer,Hisp G2,-0.14956388850580726,0.12460244933548197,721
polhitok_yes,interviewer,Hisp G3+,-0.002683011246059741,0.07410613974768478,721
cappun_favor,web,Hisp G1,-0.13792861616280483,0.07122136600423802,2044
cappun_favor,web,Hisp G2,-0.07839622762528542,0.06109234975463193,2044
cappun_favor,web,Hisp G3+,-0.052877642218025045,0.05516905544008644,2044
cappun_favor,interviewer,Hisp G1,-0.34761708902152,0.048541332935167575,1759
cappun_favor,interviewer,Hisp G2,-0.14692535876805835,0.07447316942847482,1759
cappun_favor,interviewer,Hisp G3+,0.015569025042291518,0.056993943651213165,1759
redist,web,Hisp G1,1.124247235364706,0.30638454552523847,1679
redist,web,Hisp G2,1.3615365046462244,0.2620952460986823,1679
redist,web,Hisp G3+,0.863647293166192,0.2470297191165021,1679
redist,interviewer,Hisp G1,0.7424841582898711,0.27364137339913025,1462
redist,interviewer,Hisp G2,0.7087154241674476,0.31879873311414036,1462
redist,interviewer,Hisp G3+,0.2973054565022686,0.3181737028203416,1462
helppoor_r,web,Hisp G1,0.26636003484663373,0.193920146305162,1674
helppoor_r,web,Hisp G2,0.28578416897851255,0.1543742918739031,1674
helppoor_r,web,Hisp G3+,0.04698844921114187,0.16445927530449103,1674
helppoor_r,interviewer,Hisp G1,0.4907685188970574,0.18405613696426712,1437
helppoor_r,interviewer,Hisp G2,0.13682705969404196,0.17170009589983876,1437
helppoor_r,interviewer,Hisp G3+,0.19091101445704917,0.13923133506130952,1437
police_spread,web,Hisp G1,-0.24338849209046565,0.1253194899631036,867
police_spread,web,Hisp G2,-0.24535579526174622,0.10046124315741907,867
police_spread,web,Hisp G3+,-0.23758732515023873,0.12103795206698834,867
police_spread,interviewer,Hisp G1,-0.31321618276701546,0.08070533088065847,717
police_spread,interviewer,Hisp G2,-0.26531814530999576,0.14008166901151098,717
police_spread,interviewer,Hisp G3+,-0.08851193133226709,0.07877787072612691,717
con_within_sd,web,Hisp G1,-0.1386054220411051,0.05059652923011716,1229
con_within_sd,web,Hisp G2,-0.03456282124200616,0.03663585240298709,1229
con_within_sd,web,Hisp G3+,-0.04017126249910552,0.028931271741030055,1229
con_within_sd,interviewer,Hisp G1,-0.055558552711652,0.027257387433695525,966
con_within_sd,interviewer,Hisp G2,-0.027866291502801843,0.03531020150589663,966
con_within_sd,interviewer,Hisp G3+,-0.0013570799798656719,0.02339571838313171,966
