file,line,quoted_number,claim,class,source_path,source_value,note
research/immigration-INDEX.md,25,21,public school-finance synthetic-control models,VERIFIED,infra/immigration-fiscal/causal_execution_2026_09_20/mariel/README.md:32,7 endpoints x 3 donor specifications (results-june-only/published-pool/source-year),
research/immigration-INDEX.md,43,$165–197bn,CBO-informed conditional net cost to other residents,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/service_response_summary.csv,165.12–197.38 (cbo_category_lag_non_school_full),
research/immigration-INDEX.md,45,$121–160bn,also fixing non-school education budgets,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/service_response_summary.csv,120.79–160.31 (cbo_category_lag_non_school_fixed),
research/immigration-INDEX.md,46,$270–289bn,full proportional-service benchmark,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/service_response_summary.csv,269.81–288.72 (proportional_reference),
research/immigration-INDEX.md,49,+$17.9 / +$27.1bn,nest production term at eps=3 (cash/GDP),VERIFIED,infra/immigration-fiscal/production_nativity_nest_2026_09_22/derived/nest_headline.csv,17.90 cash / 27.13 GDP (A_by_nativity sigma_NI=3),
research/immigration-INDEX.md,50,+$8.8 / +$13.3bn,perfect-substitution production term (cash/GDP),VERIFIED,infra/immigration-fiscal/production_nativity_nest_2026_09_22/derived/nest_headline.csv,8.79 / 13.32 (sigma_NI=inf),
research/immigration-INDEX.md,50,$151–188bn,band after eps=3 substitution,STALE,infra/immigration-fiscal/full_account_2026_09_20/derived/service_response_cases.csv + infra/immigration-fiscal/production_nativity_nest_2026_09_22/derived/nest_headline.csv,165.12−13.81=151.31; 197.38−9.11=188.27,"arithmetic exact at eps=3; ladder 181 (committed later) puts the better-grounded move at $2–5bn (eps 8.7/17.9), so the band would sit near $160–195bn; same as FAQ:256"
research/immigration-INDEX.md,52,$262–357bn,proportional-service grid incl. proxy stress tests,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/headline_summary.json,longrun_core_grid_welfare_bn −356.84 to −262.05,
research/immigration-INDEX.md,56,63–66%,CBO school-spending response,VERIFIED,infra/immigration-fiscal/full_account_2026_09_20/derived/service_response_cases.csv,school_response 0.63/0.66 (1−0.37; 1−0.34),
research/immigration-INDEX.md,60,$12.1bn,general public services at 25% response,VERIFIED,infra/immigration-fiscal/full_account_spending_2026_09_20/derived/allocations.csv,48.291×0.25=12.07,
research/immigration-INDEX.md,62,fourteen,standard objections in FAQ,VERIFIED,research/immigration-objections-faq-2026-09-21.md (HEAD),entries 1–14,
research/immigration-INDEX.md,68,Seven,MR papers read in full,VERIFIED,infra/immigration-fiscal/mr_leads_papers_2026_09_21/notes/,7 note files,
research/immigration-INDEX.md,69,$2.3–14.9bn,Medicaid nursing-facility saving bound for Mexico-born,MISMATCH,infra/immigration-fiscal/mr_leads_papers_2026_09_21/derived/elder_care_bound.csv,2.28–14.61; 5.63 preferred with foreign-born-only numerators,elder_care_bound.py counts NATIVITY=1 Mexico-born in numerators over NATIVITY=2 denominators; same as FAQ:27/237
research/immigration-INDEX.md,70,$5.8bn,preferred (care-workforce weighted),MISMATCH,infra/immigration-fiscal/mr_leads_papers_2026_09_21/derived/elder_care_bound.csv,2.28–14.61; 5.63 preferred with foreign-born-only numerators,elder_care_bound.py counts NATIVITY=1 Mexico-born in numerators over NATIVITY=2 denominators; same as FAQ:27/237
research/immigration-INDEX.md,70,1.2%,Mexican immigrants in health occupations,VERIFIED,infra/immigration-fiscal/mr_leads_papers_2026_09_21/notes/grabowski_gruber_mcgarry_w34791.md,1.2% (paper p.16 quote),paper figure; PDF not re-opened
research/immigration-INDEX.md,72,$8.8–13.3bn,production term,VERIFIED,infra/immigration-fiscal/production_nativity_nest_2026_09_22/derived/nest_headline.csv,8.79–13.32,
research/immigration-INDEX.md,72,$8.8–13.3bn (**Open:** perfect substitution),production-term substitution called open,INCONSISTENT,research/immigration-INDEX.md:48-51; infra/immigration-fiscal/production_nativity_nest_2026_09_22/RESULT.md,"executed 2026-09-22 (ladder 176, 181)",same section reports the sensitivity as executed; number itself verified
research/immigration-INDEX.md,74,$27–80bn,native wage gains from removal model (half of unauthorized),VERIFIED,research/immigration-marginal-revolution-leads-read-2026-09-21.md:120,26.8 (eps 4.6)–80.4 (eps 1.3); 38.6 central,memo [CALCULATION] on BEA wages x paper's %; no script
research/immigration-INDEX.md,80,$1.3–2.2tn (10y),back-cast main net-cost case 2015–2024,VERIFIED,infra/immigration-fiscal/historical_backcast_2026_09_20/derived/backcast_categories_windows.csv + backcast_windows.csv,1.318 (programme_ex_pandemic low)–2.235 (income high),union of whole-budget and programme rules
research/immigration-INDEX.md,80,$2.0–3.3tn (15y),back-cast 2010–2024,VERIFIED,infra/immigration-fiscal/historical_backcast_2026_09_20/derived/backcast_categories_windows.csv,1.983–3.262,
research/immigration-INDEX.md,80,$2.4–3.9tn (20y),back-cast 2005–2024,VERIFIED,infra/immigration-fiscal/historical_backcast_2026_09_20/derived/backcast_categories_windows.csv,2.358–3.943,
research/immigration-INDEX.md,81,"$1.4–2.0tn, $2.0–3.1tn, $2.4–3.8tn",whole-budget rules alone,VERIFIED,infra/immigration-fiscal/historical_backcast_2026_09_20/derived/backcast_windows.csv,1.408–2.024; 2.041–3.090; 2.414–3.813 (cbo_informed ratio/income),
research/immigration-INDEX.md,82,over a third,2020–2021 share of ten-year total,VERIFIED,infra/immigration-fiscal/historical_backcast_2026_09_20/derived/backcast_categories_annual.csv,programme rule 35.2–38.5%; income-adjusted programme 33.0–35.4%; whole-budget ratio/income 30–35%,true for the programme rule the memo cites (35–38%); marginal (33.0%) for one income-adjusted case
research/immigration-INDEX.md,83,0.52→0.61,per-capita income ratio 2008–2024,VERIFIED,infra/immigration-fiscal/historical_backcast_2026_09_20/inputs/acs_mexican_origin.csv,0.519→0.611,
research/immigration-INDEX.md,84,0.78→0.91,median household income ratio,VERIFIED,infra/immigration-fiscal/historical_backcast_2026_09_20/inputs/acs_mexican_origin.csv,0.781→0.907,
research/immigration-INDEX.md,84,0.64→0.75,full-time men's earnings ratio; gain 2016–2019 and 2021–2023; none in 2024,VERIFIED,infra/immigration-fiscal/historical_backcast_2026_09_20/inputs/acs_mexican_origin.csv,0.641→0.754; 2016 0.641→2019 0.735; 2021 0.703→2023 0.756; 2024 0.754,
