acs_year,state,geo,geoid,name,total,hisp,nhw,nhb,total_12,hisp_12,nhw_12,nhb_12,total_18,hisp_18,nhw_18,nhb_18,mexican,hisp_b03001,nho,nho_12,nho_18
2022,TX,place,00100,"Abbott city, Texas",288,14,255,4.0,235.4,13.6,215.8,1.0,212,13,193,1.0,9,14,15.0,5.0,5.0
2022,TX,place,00160,"Abernathy city, Texas",3266,1563,1614,77.0,2676.0,1349.2,1290.6,25.0,2163,1044,1084,25.0,1432,1563,12.0,11.2,10.0
2022,TX,place,01000,"Abilene city, Texas",126356,34917,71935,12555.0,107102.2,28146.8,62794.8,10464.5,97189,24339,58329,9454.4,30141,34917,6949.0,5696.1,5066.6
2022,TX,place,01060,"Abram CDP, Texas",1952,1952,0,0.0,1364.8,1364.8,0.0,0.0,1116,1116,0,0.0,1952,1952,0.0,0.0,0.0
2022,TX,place,01084,"Acala CDP, Texas",31,28,3,0.0,31.0,28.0,3.0,0.0,31,28,3,0.0,0,28,0.0,0.0,0.0
2022,TX,place,01108,"Ackerly city, Texas",387,265,107,0.0,327.2,222.2,90.0,0.0,295,203,77,0.0,263,265,15.0,15.0,15.0
2022,TX,place,01240,"Addison town, Texas",17026,4597,7435,2927.0,15589.8,4038.2,7126.8,2516.7,15073,3659,7090,2461.5,2378,4597,2067.0,1908.1,1862.5
2022,TX,place,01324,"Adrian city, Texas",171,62,108,0.0,139.6,40.6,98.0,0.0,131,34,96,0.0,62,62,1.0,1.0,1.0
2022,TX,place,01390,"Agua Dulce CDP, Texas",2681,2681,0,0.0,2179.8,2179.8,0.0,0.0,1878,1878,0,0.0,2615,2681,0.0,0.0,0.0
2022,TX,place,01396,"Agua Dulce city, Texas",436,306,130,0.0,383.0,255.4,127.6,0.0,347,229,118,0.0,306,306,0.0,0.0,0.0
2022,TX,place,01420,"Aguilares CDP, Texas",21,0,21,0.0,21.0,0.0,21.0,0.0,17,0,17,0.0,0,0,0.0,0.0,0.0
2022,TX,place,01500,"Airport Heights CDP, Texas",142,142,0,0.0,142.0,142.0,0.0,0.0,117,117,0,0.0,142,142,0.0,0.0,0.0
