offence,arm,hispanic_offender_share,p_victim_hispanic_given_offender_h,implied_p_off_h_given_victim_h,implied_p_off_h_given_victim_nh,ncvs_hispanic_victim_share
Rape/sexual assault,NCVS perception (victim lane),0.1380,0.3638,0.3174,0.1043,0.1582
Rape/sexual assault,"offender (NIBRS share, NCVS victim pattern)",0.2393,0.3638,0.5503,0.1808,0.1582
Rape/sexual assault,offender+victims (NIBRS share and victim pattern),0.2393,0.6511,0.9849,0.0992,0.1582
Rape/sexual assault,"2019 arrests (victim lane arm, NCVS victim pattern)",0.2916,0.3638,0.6706,0.2204,0.1582
Rape/sexual assault,victim-conditional (central),0.1771,0.5742,0.6430,0.0896,0.1582
Rape/sexual assault,"victim-conditional, SHR-calibrated (central)",0.2097,0.5700,0.7556,0.1071,0.1582
Rape/sexual assault,"victim-conditional, SHR 2022-2024-calibrated (central)",0.2128,0.5501,0.7399,0.1137,0.1582
Robbery,NCVS perception (victim lane),0.1752,0.4906,0.3644,0.1168,0.2358
Robbery,"offender (NIBRS share, NCVS victim pattern)",0.1876,0.4906,0.3903,0.1251,0.2358
Robbery,offender+victims (NIBRS share and victim pattern),0.1876,0.6183,0.4919,0.0937,0.2358
Robbery,"2019 arrests (victim lane arm, NCVS victim pattern)",0.2303,0.4906,0.4791,0.1535,0.2358
Robbery,victim-conditional (central),0.1484,0.5508,0.3465,0.0872,0.2358
Robbery,"victim-conditional, SHR-calibrated (central)",0.1901,0.5804,0.4679,0.1044,0.2358
Robbery,"victim-conditional, SHR 2022-2024-calibrated (central)",0.1906,0.5554,0.4489,0.1109,0.2358
Aggravated assault,NCVS perception (victim lane),0.1502,0.3838,0.3503,0.1108,0.1646
Aggravated assault,"offender (NIBRS share, NCVS victim pattern)",0.2223,0.3838,0.5183,0.1640,0.1646
Aggravated assault,offender+victims (NIBRS share and victim pattern),0.2223,0.7084,0.9567,0.0776,0.1646
Aggravated assault,"2019 arrests (victim lane arm, NCVS victim pattern)",0.2547,0.3838,0.5939,0.1879,0.1646
Aggravated assault,victim-conditional (central),0.1557,0.6529,0.6176,0.0647,0.1646
Aggravated assault,"victim-conditional, SHR-calibrated (central)",0.1861,0.6490,0.7338,0.0782,0.1646
Aggravated assault,"victim-conditional, SHR 2022-2024-calibrated (central)",0.1877,0.6292,0.7175,0.0833,0.1646
Simple assault,NCVS perception (victim lane),0.1439,0.3996,0.3267,0.1048,0.1760
Simple assault,"offender (NIBRS share, NCVS victim pattern)",0.2198,0.3996,0.4992,0.1602,0.1760
Simple assault,offender+victims (NIBRS share and victim pattern),0.2198,0.7340,0.9170,0.0710,0.1760
Simple assault,"2019 arrests (victim lane arm, NCVS victim pattern)",0.1838,0.3996,0.4173,0.1339,0.1760
Simple assault,victim-conditional (central),0.1648,0.7115,0.6665,0.0577,0.1760
Simple assault,"victim-conditional, SHR-calibrated (central)",0.1940,0.7031,0.7752,0.0699,0.1760
Simple assault,"victim-conditional, SHR 2022-2024-calibrated (central)",0.1953,0.6852,0.7603,0.0746,0.1760
