recording_rate_bin,agencies,victimisations,covered_pop,state,year
"(-0.001, 0.0001]",51,14435.0,802472.9,TX,2022
"(0.0001, 0.25]",14,10969.0,866722.0,TX,2022
"(0.25, 0.5]",33,3764.0,536047.0,TX,2022
"(0.5, 0.8]",173,213062.0,13751765.0,TX,2022
"(0.8, 0.95]",347,103116.0,8070518.6,TX,2022
"(0.95, 1.0]",445,61375.0,5395112.1,TX,2022
"(-0.001, 0.0001]",235,1153.0,84035.8,TX,2023
"(0.0001, 0.25]",16,9704.0,419992.9,TX,2023
"(0.25, 0.5]",27,7960.0,784299.2,TX,2023
"(0.5, 0.8]",176,136172.0,8975617.9,TX,2023
"(0.8, 0.95]",399,162860.0,12617385.6,TX,2023
"(0.95, 1.0]",509,85291.0,7132081.8,TX,2023
"(-0.001, 0.0001]",9,5970.0,637186.0,AZ,2022
"(0.0001, 0.25]",6,1741.0,196818.0,AZ,2022
"(0.25, 0.5]",5,3788.0,422165.0,AZ,2022
"(0.5, 0.8]",21,15724.0,1269434.2,AZ,2022
"(0.8, 0.95]",26,15668.0,1512655.1,AZ,2022
"(0.95, 1.0]",22,5723.0,301306.0,AZ,2022
"(-0.001, 0.0001]",5,773.0,111756.2,AZ,2023
"(0.0001, 0.25]",5,2593.0,146149.0,AZ,2023
"(0.25, 0.5]",8,6049.0,689347.0,AZ,2023
"(0.5, 0.8]",29,17825.0,1361954.1,AZ,2023
"(0.8, 0.95]",27,19607.0,2022440.0,AZ,2023
"(0.95, 1.0]",18,5088.0,299212.8,AZ,2023
"(-0.001, 0.0001]",215,33383.0,3202438.4,CA,2022
"(0.0001, 0.25]",28,5544.0,696817.7,CA,2022
"(0.25, 0.5]",41,9686.0,1296956.1,CA,2022
"(0.5, 0.8]",103,56056.0,5671651.2,CA,2022
"(0.8, 0.95]",121,62681.0,5452609.7,CA,2022
"(0.95, 1.0]",51,2251.0,73358.4,CA,2022
"(-0.001, 0.0001]",255,47496.0,4371031.8,CA,2023
"(0.0001, 0.25]",17,6547.0,802208.0,CA,2023
"(0.25, 0.5]",54,12311.0,1416239.5,CA,2023
"(0.5, 0.8]",147,106392.0,9989015.8,CA,2023
"(0.8, 0.95]",101,80561.0,6795441.7,CA,2023
"(0.95, 1.0]",56,9129.0,576758.0,CA,2023
