agencies,state,offence,victimisations,offender_unknown,ethnicity_unknown,ethnicity_unknown_race_white,nh_race_unknown,recorded
all agencies,AZ,Aggravated assault,16241.0000,0.1355,0.2282,0.1392,0.0037,0.6363
all agencies,AZ,Murder,348.0000,0.0977,0.2232,0.1475,0.0057,0.6791
all agencies,AZ,Rape/sexual assault,5059.0000,0.1858,0.2910,0.1343,0.0044,0.5232
all agencies,AZ,Robbery,2886.0000,0.2644,0.2228,0.1012,0.0017,0.5128
all agencies,AZ,Simple assault,63419.0000,0.0755,0.2316,0.1568,0.0035,0.6929
all agencies,TX,Aggravated assault,166245.0000,0.1115,0.1371,0.0495,0.0037,0.7513
all agencies,TX,Murder,3710.0000,0.0970,0.1554,0.0376,0.0053,0.7475
all agencies,TX,Rape/sexual assault,34869.0000,0.0405,0.1597,0.0655,0.0043,0.7998
all agencies,TX,Robbery,49640.0000,0.1299,0.1887,0.0379,0.0052,0.6814
all agencies,TX,Simple assault,514866.0000,0.0313,0.1005,0.0628,0.0019,0.8682
central agencies,AZ,Aggravated assault,12972.0000,0.1240,0.1207,0.0554,0.0046,0.7554
central agencies,AZ,Murder,262.0000,0.0534,0.0865,0.0452,0.0076,0.8601
central agencies,AZ,Rape/sexual assault,4151.0000,0.1797,0.2126,0.0707,0.0052,0.6077
central agencies,AZ,Robbery,2295.0000,0.2440,0.1390,0.0420,0.0022,0.6170
central agencies,AZ,Simple assault,50627.0000,0.0753,0.1078,0.0611,0.0042,0.8169
central agencies,TX,Aggravated assault,157213.0000,0.1114,0.1028,0.0217,0.0039,0.7858
central agencies,TX,Murder,3548.0000,0.0984,0.1311,0.0163,0.0056,0.7705
central agencies,TX,Rape/sexual assault,32579.0000,0.0403,0.1200,0.0338,0.0046,0.8397
central agencies,TX,Robbery,47671.0000,0.1262,0.1686,0.0208,0.0054,0.7052
central agencies,TX,Simple assault,482740.0000,0.0301,0.0544,0.0251,0.0020,0.9155
"all agencies, CA",CA,Aggravated assault,111247.0000,0.1197,0.2888,0.1744,0.0076,0.5915
"all agencies, CA",CA,Murder,1516.0000,0.1656,0.3157,0.1590,0.0082,0.5187
"all agencies, CA",CA,Rape/sexual assault,23425.0000,0.1192,0.3737,0.2295,0.0114,0.5071
"all agencies, CA",CA,Robbery,40286.0000,0.1783,0.3025,0.1223,0.0049,0.5191
"all agencies, CA",CA,Simple assault,225609.0000,0.0511,0.3045,0.2062,0.0090,0.6444
