country,kir_M_p25,kir_M_p75,kir_F_p25,kir_F_p75,kfr_P_p25,kfr_P_p75,n_kir_M,sons_p75_minus_USA,sons_p25_minus_USA
ARGENTINA,53.3,65.1,46.7,56.6,47.8,62.3,950,2.9,7.5
AUSTRIA,50.4,64.6,42.7,53.3,47.5,62.2,1000,2.4,4.6
BRAZIL,52.6,64.5,47.5,53.8,52.2,61.3,650,2.3,6.8
CAMBODIA,51.5,64.3,55.7,59.7,51.5,61.5,700,2.1,5.7
CANADA,50.6,62.8,39.4,52.1,46.4,60.6,9300,0.6,4.8
CHILE,48.9,60.6,48.4,58.6,47.3,60.2,550,-1.6,3.1
CHINA,63.8,71.7,63.0,70.4,61.9,71.1,4100,9.5,18.0
COLOMBIA,54.2,62.9,50.6,56.5,49.8,59.8,2100,0.7,8.4
CUBA,50.5,64.6,48.2,57.9,47.4,61.9,5000,2.4,4.7
DOMINICAN REPUBLIC,50.0,59.1,48.0,55.2,43.9,54.6,2500,-3.1,4.2
ECUADOR,52.6,62.7,48.4,55.5,48.3,58.3,1400,0.5,6.8
EGYPT,54.7,67.0,54.4,59.7,53.7,65.1,1000,4.8,8.9
EL SALVADOR,51.3,60.2,47.5,56.9,46.0,56.2,2600,-2.0,5.5
FRANCE,48.8,61.5,40.0,52.1,44.1,58.9,2200,-0.7,3.0
GERMANY,49.1,62.2,38.4,52.2,44.5,59.8,14500,0.0,3.3
GREECE,56.5,66.5,52.0,58.5,54.9,64.6,2700,4.3,10.7
GUATEMALA,52.1,60.2,45.5,52.4,45.6,56.2,1500,-2.0,6.3
GUYANA,47.6,59.6,48.8,57.6,44.2,55.1,750,-2.6,1.8
HAITI,44.6,53.9,48.4,60.1,39.8,51.2,1800,-8.3,-1.2
HONDURAS,47.3,59.1,44.1,51.7,41.6,54.9,750,-3.1,1.5
HONG KONG,64.5,72.4,60.1,68.3,62.0,70.3,1200,10.2,18.7
HUNGARY,47.9,61.1,37.0,54.3,45.4,59.7,950,-1.1,2.1
INDIA,63.6,73.0,59.2,69.6,63.5,73.4,6100,10.8,17.8
IRAN,56.2,66.0,53.3,61.6,53.2,64.2,1800,3.8,10.4
IRAQ,49.1,63.1,50.2,57.0,49.8,61.2,650,0.9,3.3
IRELAND,58.3,66.4,48.9,59.0,54.4,64.1,1400,4.2,12.5
ISRAEL,50.9,64.7,42.7,57.6,49.9,64.4,1500,2.5,5.1
ITALY,57.4,68.0,50.0,58.6,55.5,66.3,7300,5.8,11.6
JAMAICA,42.4,55.2,46.9,58.3,38.4,51.4,2000,-7.0,-3.4
JAPAN,50.2,61.8,44.3,53.8,47.4,59.5,4400,-0.4,4.4
LAOS,49.5,56.5,51.3,55.2,47.0,54.0,1800,-5.7,3.7
LEBANON,54.8,65.2,47.4,55.8,53.6,62.8,850,3.0,9.0
MEXICO,49.8,60.4,41.4,52.6,43.2,55.4,63000,-1.8,4.0
NETHERLANDS,55.4,63.5,45.0,53.2,51.4,61.9,1500,1.3,9.6
NICARAGUA,51.1,61.2,48.0,54.8,45.8,55.9,650,-1.0,5.3
NIGERIA,49.9,57.7,51.8,61.7,45.7,55.1,750,-4.5,4.1
PAKISTAN,59.6,69.4,49.3,58.6,56.2,67.2,850,7.2,13.8
PANAMA,47.5,60.0,42.7,53.4,43.4,57.2,1400,-2.2,1.7
PERU,51.8,62.1,47.1,54.9,47.2,58.5,1200,-0.1,6.0
PHILIPPINES,51.9,62.7,47.0,59.3,48.7,60.7,10500,0.5,6.1
POLAND,55.4,66.0,50.8,60.3,53.2,65.0,2000,3.8,9.6
PORTUGAL,54.8,66.5,47.4,60.5,52.2,65.1,2500,4.3,9.0
SOUTH KOREA,55.7,65.6,54.9,61.2,55.6,64.4,5200,3.4,9.9
SPAIN,49.0,61.7,40.8,58.7,43.5,61.2,850,-0.5,3.2
TAIWAN,59.9,71.3,59.6,68.1,59.1,70.2,2000,9.1,14.1
THAILAND,53.6,61.8,44.1,59.0,48.0,60.2,1200,-0.4,7.8
TRINIDAD & TOBAGO,42.9,56.5,50.3,56.3,40.6,52.1,1000,-5.7,-2.9
UNITED KINGDOM,48.1,62.1,38.2,51.9,44.9,59.4,7800,-0.1,2.3
USA,45.8,62.2,39.2,52.0,41.2,59.7,2864000,0.0,0.0
VIETNAM,59.1,65.9,61.3,66.1,58.3,65.0,4300,3.7,13.3
YUGOSLAVIA,57.6,66.1,43.4,54.8,50.0,62.8,550,3.9,11.8
