par_ventile,country,n_kfr_P,kfr_P,n_kir_F,kir_F,n_kir_M,kir_M
1,CANADA,150,.4562,90,.4075,70,.4553
2,CANADA,200,.43130001,100,.35010001,100,.45460001
3,CANADA,250,.43419999,150,.39399999,150,.48199999
4,CANADA,300,.46070001,150,.40490001,150,.51120001
5,CANADA,350,.46470001,150,.39390001,200,.49849999
6,CANADA,400,.50239998,200,.42539999,200,.51020002
7,CANADA,450,.48379999,200,.39340001,200,.54790002
8,CANADA,550,.49849999,250,.4375,300,.54519999
9,CANADA,650,.51929998,300,.4066,350,.565
10,CANADA,850,.51010001,400,.45230001,450,.5388
11,CANADA,900,.52130002,450,.47729999,450,.54769999
12,CANADA,1000,.56770003,500,.44690001,500,.61449999
13,CANADA,1100,.55760002,550,.49020001,550,.59109998
14,CANADA,1200,.57679999,600,.48210001,600,.60589999
15,CANADA,1300,.58859998,650,.50040001,650,.60259998
16,CANADA,1400,.60229999,700,.5323,750,.63139999
17,CANADA,1500,.62489998,700,.5327,750,.6426
18,CANADA,1600,.63309997,800,.55260003,800,.64899999
19,CANADA,1800,.66240001,900,.56519997,950,.68550003
20,CANADA,2300,.69220001,1100,.59869999,1200,.68919998
1,CHINA,100,.55659997,50,.51160002,70,.58939999
2,CHINA,150,.53570002,80,.58170003,70,.56919998
3,CHINA,250,.58450001,100,.60890001,100,.59249997
4,CHINA,250,.5869,100,.58450001,150,.61140001
5,CHINA,300,.68220001,150,.67750001,150,.70190001
6,CHINA,350,.64660001,150,.63859999,150,.65200001
7,CHINA,300,.6681,150,.69989997,150,.68849999
8,CHINA,300,.61669999,150,.64410001,150,.61260003
9,CHINA,300,.65399998,150,.68300003,150,.66159999
10,CHINA,350,.68339998,150,.6846,200,.71020001
11,CHINA,300,.65670002,150,.64240003,150,.64859998
12,CHINA,300,.69090003,150,.69029999,150,.71600002
13,CHINA,300,.67089999,150,.69410002,150,.67799997
14,CHINA,350,.66250002,150,.6602,200,.68739998
15,CHINA,350,.6735,150,.67750001,200,.68519998
16,CHINA,400,.71289998,200,.7076,250,.72759998
17,CHINA,500,.69950002,250,.69709998,250,.70209998
18,CHINA,650,.74250001,350,.6868,350,.76340002
19,CHINA,1000,.7421,500,.7227,500,.7525
20,CHINA,1200,.76990002,600,.76670003,650,.75040001
1,COLOMBIA,60,.4815,30,.5298,30,.55980003
2,COLOMBIA,100,.4474,60,.47490001,50,.45140001
3,COLOMBIA,150,.48930001,80,.52710003,70,.5528
4,COLOMBIA,150,.4824,70,.48710001,70,.53740001
5,COLOMBIA,200,.50919998,90,.48050001,100,.57279998
6,COLOMBIA,200,.50690001,90,.55010003,100,.54259998
7,COLOMBIA,200,.5212,80,.5334,100,.54269999
8,COLOMBIA,250,.4971,100,.50059998,150,.5255
9,COLOMBIA,250,.54930001,100,.52160001,100,.60970002
10,COLOMBIA,250,.52179998,100,.5018,100,.56019998
11,COLOMBIA,200,.55720001,100,.53490001,100,.58600003
12,COLOMBIA,250,.54280001,100,.51230001,100,.5855
13,COLOMBIA,200,.56569999,100,.56699997,100,.56779999
