on_books,federal_liability_shared,federal_liability_personal,state_liability_shared,state_liability_personal,wage_oasdi_shared,wage_oasdi_personal,wage_shared,wage_personal,self_payroll_shared,self_payroll_personal,positive_fica_worker_shared,positive_fica_worker_personal,receipts_shared,receipts_personal,refundable_nonptc_lo,refundable_nonptc_hi,refundable_whole,net_min,net_max,whole_line_net_shared,whole_line_net_personal
0.3,-9.481835961108954,-8.812629504737105,-2.34813079514934,-2.188945456646623,-9.38242535816183,-8.924825508917612,-2.6473741526189944,-2.5090315007202633,-0.661242213606773,-0.6343028363614029,-1.0224836594601299,-0.9941238378380162,-25.54349214010602,-24.06385864522102,-3.55433840207756,-4.207709431871231,-7.4741255942223965,19.85614921334979,21.989153738028463,18.069366545883625,16.589733050998625
0.35,-8.798964398820246,-8.177953467052564,-2.178955531416431,-2.031238984038655,-8.701316076474415,-8.276935303611964,-2.4554103362076694,-2.327099051958528,-0.6137744482156443,-0.588768934254488,-0.9475688859594185,-0.9212869162361439,-23.695989677093827,-22.323282657152344,-3.493434943764016,-4.135610484897108,-7.3460567259649885,18.187672172255237,20.202554733329812,16.34993295112884,14.977225931187355
0.4,-8.116960566108885,-7.544083916561735,-2.010005379244021,-1.8737423621462483,-8.02191457397298,-7.630669585649491,-2.263893550983528,-2.1455902740743458,-0.5663431856610107,-0.5432700478381136,-0.8729502385821856,-0.8487379073413676,-21.85206749455261,-20.5860940936113,-3.432747159658476,-4.063766858125109,-7.218441381242964,16.52232723548619,18.419320334894135,14.633626113309646,13.367652712368336
0.45,-7.435822810080053,-6.911019317027356,-1.841279889616799,-1.716455172393901,-7.3442144357002235,-6.986022252943329,-2.072822237242706,-1.9645036888686003,-0.5189483838528851,-0.4978061367370624,-0.798625964982958,-0.7764751074116363,-20.011713721475623,-18.85228167538188,-3.3722739061522824,-3.9921771977243936,-7.0912771552558285,14.860104477657488,16.63943981532334,12.920436566219795,11.761004520126054
0.5,-6.755549482034561,-6.278758136111687,-1.6727786147128467,-1.5593769973186016,-6.66820927878752,-6.342987233930254,-1.8821948425287165,-1.7838378250108333,-0.47159000076597096,-0.45237716063817196,-0.7245943266152114,-0.7044968261211173,-18.174916545444827,-17.121834179130666,-3.312014047707785,-3.920840159418775,-6.96456166017495,13.20099401971189,14.862902497737043,11.210354885269876,10.157272518955715
0.55,-6.076138937454935,-5.647298845363564,-1.5045011078996111,-1.402507420566074,-5.993892752254324,-5.70155848737988,-1.6920098215903945,-1.603591217999381,-0.4242679944395395,-0.4069830792902169,-0.650853598595792,-0.6328013864283786,-16.341664212234598,-15.394740437027492,-3.2519664567872946,-3.8497544084026067,-6.838292524994152,11.544986028624885,13.089697755447304,9.503371687240445,8.55644791203334
0.6,-5.397589535992781,-5.016639920206657,-1.3364469237300332,-1.2458460268871683,-5.3212585368097045,-5.061730002205866,-1.5022656363401339,-1.423762410121796,-0.3769823229772785,-0.3616238525037642,-0.5774020695709658,-0.5613871244461528,-14.511945025420896,-13.670989336371404,-3.192130013782723,-3.7789186192574893,-6.712467395381765,9.892070717113915,11.319815011638173,7.7994776300391315,6.958521940989639
0.65,-4.71989964145518,-4.38677983992683,-1.168615617938571,-1.0893924021341543,-4.650300344654396,-4.4234957972776305,-1.3129607558124594,-1.2443499504155846,-0.3297329445472089,-0.31629944015109307,-0.5042380415840158,-0.4902523893126072,-12.68574734599183,-11.950569819217899,-3.132503606946029,-3.7083314758699317,-6.58708393353436,8.242238343347967,9.5532437390458,6.09866341245747,5.363485885683539
0.7,-4.043067621791692,-3.757717087660057,-1.0010067474373028,-0.933146133257088,-3.9810119192853035,-3.7868499212343765,-1.1240936561228063,-1.0653523946291386,-0.2825198173815302,-0.2710098021660465,-0.4313598299444215,-0.41939554306415167,-10.863059591963056,-10.23347088201086,-3.0730861323203373,-3.6379916713498117,-6.462139818031919,6.595479210661048,7.789973459642718,4.400919773931137,3.7713310639789404
0.75,-3.3670918490811963,-3.1294501503801953,-0.8336198703120193,-0.7771068083001692,-3.3133870353008694,-3.151786452299965,-0.9356628204266537,-0.8867683051830055,-0.23534289977651254,-0.2257548985439278,-0.35876576309853453,-0.34881496050970084,-9.043870237995785,-8.519681575216964,-3.013876493671831,-3.5678979079497424,-6.3376327436946,4.951783667267222,6.029993744323954,2.7062374943011847,2.182048831522364
0.8,-2.691970699518952,-2.501977518886956,-0.6664545458183293,-0.6212740163981111,-2.6474194982079418,-2.518299498099196,-0.7476667388789191,-0.708596251131405,-0.18820215009237287,-0.1805346893413821,-0.28645418250178134,-0.27850902910642217,-7.228167815018297,-6.8091910029634715,-2.9548736024223117,-3.498048896985237,-6.213560421440931,3.3111421059782344,4.273294212595985,1.014607393577366,0.5956305815225402
0.85,-2.017702553403397,-1.875297687793636,-0.49951033437784614,-0.46564734777258526,-1.9831031442304823,-1.886383195475847,-0.5601039085936224,-0.5308348081240002,-0.14109752675314144,-0.13534913467626775,-0.21442344249236045,-0.2084761488369355,-5.41594090985085,-5.101988322679272,-2.896076377582502,-3.428443358755757,-6.089920578147564,1.6735449639235154,2.5198645322683477,-0.6739796682967141,-0.9879322554682917
0.9,-1.3442857951234668,-1.2494091555153315,-0.3327867975742287,-0.31022639372853084,-1.3204318401190935,-1.256031710311491,-0.37297283360382727,-0.3534825583679326,-0.09402898824655122,-0.0901981947275508,-0.14267191016639158,-0.13871473208792579,-3.6071781648335586,-3.3980627447387626,-2.8374837456860136,-3.3590800224665314,-5.966710956510406,0.03898272227223121,0.769694419147545,-2.3595327916768474,-2.5686482117716434
