class,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Immediate Relatives - Spouses,Mexico,43757,49061,45732,55512,54915,51319,48187,53151,45547,45499,57148,64831,69713,62299,58805,35577,41452,53326
Immediate Relatives - Spouses,Total,259144,339843,274358,265671,317129,271909,258320,273429,248332,238852,265367,304358,292909,268149,304334,195718,251825,238632
Immediate Relatives - Children,Mexico,13389,19034,17778,22521,16893,14917,13149,14343,12846,10584,11633,15376,12054,9814,9112,6042,8043,9084
Immediate Relatives - Children,Total,94858,120064,103828,101342,98270,88297,80311,81121,71382,61217,66740,88494,74989,66794,61303,37379,53056,57131
Immediate Relatives - Parents,Mexico,15289,26564,23956,33670,24379,22336,22944,24559,27083,25493,29035,39334,32664,33426,34186,24960,25798,31691
Immediate Relatives - Parents,Total,82113,120441,116734,121470,120155,116208,114527,124230,119746,116387,132961,173854,148610,144018,140128,88051,80515,132505
Fam 1st Pref,Mexico,1819,1828,1735,1455,1816,1477,1767,1756,1758,1719,2384,1657,1300,2388,2941,1515,1295,2047
Fam 1st Pref,Total,24729,25432,22858,26173,23965,26998,27299,20660,24358,25686,24533,22072,26219,27251,24497,11383,6837,17763
Fam 2nd Pref,Mexico,56318,54706,37112,58722,48561,25939,35286,33194,26757,24433,29928,24791,24727,23599,19081,8725,9797,15580
Fam 2nd Pref,Total,100139,112051,86151,103456,98567,92088,108618,99709,99115,105641,104892,121267,113500,109841,93398,51701,39126,89856
Fam 3rd Pref,Mexico,2295,1846,1876,1909,2037,1774,1888,1824,1811,1779,2755,2247,2159,2187,2472,1362,1341,3507
Fam 3rd Pref,Total,22953,21491,20611,29273,25930,32817,27704,21752,21294,25830,24271,27392,23260,19531,25213,13930,6625,17449
Fam 4th Pref,Mexico,4937,4618,4699,4607,4763,4924,4690,4950,5202,6057,6462,6023,6227,8102,6060,2462,2177,4014
Fam 4th Pref,Total,65149,63255,65280,68859,63397,62686,71310,59898,65536,71947,60214,67356,69259,59940,61031,44546,13102,40973
Emp 1st Pref,Mexico,2870,1627,1114,1451,2016,1854,1220,2057,1894,1538,1425,1677,1522,1215,1498,1444,1324,1269
Emp 1st Pref,Total,64731,36960,26697,36678,40924,41055,25251,39316,38978,40554,41688,42862,41060,39514,39471,47388,61451,53433
Emp 2nd Pref,Mexico,356,277,906,1353,932,810,1143,835,1719,750,1360,1430,1385,1440,1421,1635,948,1720
Emp 2nd Pref,Total,42597,21911,44162,70046,45552,53946,66831,50959,63026,48801,44344,38858,39331,40095,39506,43666,59834,109081
Emp 3rd Pref,Mexico,12296,6117,9378,5199,4744,7797,5921,3874,3287,3809,2486,2079,1800,2061,2829,3869,2447,4037
Emp 3rd Pref,Total,129070,89922,85030,48903,40398,39762,37216,39229,43632,43156,37243,35933,38083,39228,41787,43218,54099,79362
Emp 4th Pref,Mexico,820,821,487,752,918,1009,819,1003,1001,1010,1126,835,702,710,819,925,1731,1171
Emp 4th Pref,Total,10121,9533,5038,7754,10341,11100,6701,7866,6931,8362,10584,10377,9504,9711,9609,10704,15315,20526
Emp 5th Pref,Mexico,5,22,14,12,50,65,61,89,165,133,82,57,84,174,131,60,7,159
Emp 5th Pref,Total,346,749,806,1360,3688,2480,3340,6628,8543,10723,10188,9863,9877,9623,9085,3983,2639,7882
Diversity,Mexico,11,16,10,11,12,10,12,7,7,11,9,11,6,10,13,3,8,15
Diversity,Total,46234,44471,42127,41761,47879,49763,50103,40320,45618,53490,47934,49865,51592,45350,43463,25028,15145,43233
