state,year,mex_share_pop_pp,hisp_share_pop_pp,dem2p_pp,dem2p_counties_under10pct_mex,share_of_state_votes_in_those_counties,dem2p_counties_under5pct_mex,cps_hisp_share_of_voters_pp,cps_mex_share_of_voters_pp,cps_hisp_share_of_cvap_pp,total_votes
CA,2000,24.964606085527237,32.376797676357114,56.202969000617244,56.593382661489514,9.267028492805304,39.90665541609535,,,,10965856
CA,2004,27.375271488868073,34.59354148406796,55.04895476290665,58.49255868960926,9.187908471134342,43.86628823714916,16.252518523223806,12.331330888449802,21.4224734082744,12383678
CA,2008,30.042893501885093,36.08561955000657,62.27844107416005,64.19616900078213,8.179989529490706,53.38104279246385,21.416147575522384,16.125648354363864,23.80484906348236,13561900
CA,2012,31.80910712980682,38.18129818849026,61.87280215278741,69.5794397418706,6.077417982233756,62.24,23.45111009104518,17.406759483638798,27.80047197102661,13038547
CA,2016,32.24066819512545,38.881325723258364,66.12821030770395,70.9588008232248,6.4042584772728315,,23.203421654325222,19.046869971096488,28.49472691138125,14181595
CA,2020,32.290803792235224,39.68364957272319,64.90967952268441,70.23396789006955,5.816692202164323,47.20980294750787,26.867164249062597,21.78163663968302,32.01011428814037,17495906
CA,2024,32.254386257289106,39.83107370840752,60.40015301596087,72.23600929236163,4.697376258121652,45.11790714812086,27.741252478653553,22.949200388837095,32.66248092306188,15862536
TX,2000,24.323834899231592,31.986004293245728,39.04372985143706,31.249904058566838,22.783843716490182,36.98632189246281,,,,6407637
TX,2004,27.5757365925881,34.498919745671685,38.48980810289008,28.66257622525032,12.252405256202849,33.85351290836924,19.28051048669719,17.13109013248309,26.481163689492522,7410749
TX,2008,30.688009083151357,35.917034628506954,44.06406324905928,26.94897269103015,6.6859706145055675,27.540954583427848,20.123347836650346,16.966811713124176,29.87264232790359,8077795
TX,2012,33.36257597385562,38.18269445062449,41.99210278489362,22.04502555130979,4.119979219027225,20.879848628193,21.87015139794518,18.96211870688843,30.2981180594912,7993851
TX,2016,33.689934786893346,39.1661208572636,45.28677442202801,17.88708039795271,3.2906964324457872,16.64237173301579,20.13729379267716,16.890337396435147,27.513543423253253,8969226
TX,2020,32.95884340402797,39.890379112749535,47.16927876322047,18.243027807363287,2.6299199560767,19.499268411640383,25.027734188165972,20.83411458515696,30.13439531794484,11317911
TX,2024,32.19651194900462,39.46360930131188,43.06096609919077,16.630022954174617,2.554660084419256,14.249610872148487,23.220295535680055,17.609572147937882,30.25251080988402,11380105
