fips,county,mex_share_pp_2024,dem2p_2012,dem2p_2016,dem2p_2020,dem2p_2024,swing_2020_2024,swing_2012_2024,votes_2024
48427,Starr,92.4,86.9,80.7,52.5,42.0,-10.5,-44.9,16419
48323,Maverick,90.7,79.3,78.7,54.8,40.7,-14.1,-38.6,15743
48479,Webb,90.2,77.2,76.6,61.8,48.9,-12.9,-28.3,65845
48505,Zapata,89.3,71.7,66.7,47.3,38.7,-8.6,-33.0,4871
48215,Hidalgo,87.6,71.1,71.0,58.6,48.6,-10.0,-22.5,217194
48061,Cameron,84.2,65.7,66.8,56.6,47.1,-9.5,-18.6,116122
48489,Willacy,83.8,71.8,68.9,56.0,48.3,-7.7,-23.5,5563
48131,Duval,77.1,77.3,67.9,51.3,45.1,-6.2,-32.2,4461
48247,Jim Hogg,76.4,78.5,79.2,59.0,54.1,-4.9,-24.4,1585
48465,Val Verde,73.9,52.7,54.2,45.0,36.6,-8.4,-16.1,14578
48273,Kleberg,65.5,53.9,51.9,49.1,43.6,-5.5,-10.3,10010
48355,Nueces,56.1,48.3,49.2,48.5,44.2,-4.3,-4.1,121614
