cell,grain,left,right,overlap,epsilon_within,epsilon_between,epsilon_sketch,output_type
low,detailed,all_native,all_foreign,0.643714057608889,10.0,1.6,3.4837121853575557,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,10.0,2.0,4.123466874624097,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,10.0,2.5,4.833584922393113,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,10.0,3.0,5.460500779215895,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,20.0,1.6,3.9236548289551663,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,20.0,2.0,4.754463481468347,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,20.0,2.5,5.72409583861475,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,20.0,3.0,6.62481182643799,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,inf,1.6,4.490774991744155,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,inf,2.0,5.613468739680194,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,inf,2.5,7.016835924600243,model_sketch
low,detailed,all_native,all_foreign,0.643714057608889,inf,3.0,8.42020310952029,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,10.0,1.6,4.510164045288514,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,10.0,2.0,5.188333026034768,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,10.0,2.5,5.897787794830839,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,10.0,3.0,6.489359573647459,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,20.0,1.6,5.455122451258706,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,20.0,2.0,6.479510323305223,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,20.0,2.5,7.624995592051637,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,20.0,3.0,8.64372011083934,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,inf,1.6,6.901003653471564,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,inf,2.0,8.626254566839455,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,inf,2.5,10.782818208549317,model_sketch
low,major,all_native,all_foreign,0.7681496662887409,inf,3.0,12.939381850259181,model_sketch
high,detailed,all_native,all_foreign,0.7304507692903806,10.0,1.6,4.140557927977089,model_sketch
high,detailed,all_native,all_foreign,0.7304507692903806,10.0,2.0,4.811863539063292,model_sketch
high,detailed,all_native,all_foreign,0.7304507692903806,10.0,2.5,5.5289927626698585,model_sketch
high,detailed,all_native,all_foreign,0.7304507692903806,10.0,3.0,6.138930611404456,model_sketch
high,detailed,all_native,all_foreign,0.7304507692903806,20.0,1.6,4.878267525381994,model_sketch
high,detailed,all_native,all_foreign,0.7304507692903806,20.0,2.0,5.8378086132985265,model_sketch
high,detailed,all_native,all_foreign,0.7304507692903806,20.0,2.5,6.9279793918614825,model_sketch
high,detailed,all_native,all_foreign,0.7304507692903806,20.0,3.0,7.913127656647448,model_sketch
high,detailed,all_native,all_foreign,0.7304507692903806,inf,1.6,5.935835898280308,model_sketch
high,detailed,all_native,all_foreign,0.7304507692903806,inf,2.0,7.419794872850385,model_sketch
