group,band,population,balance_per_person
mexico_born,0,545982.9368370799,-3638.8435038967887
mexico_born,1,579902.8327787993,2812.8050182791408
mexico_born,2,1696845.9998777104,5972.374542984825
mexico_born,3,2586924.0152829555,1239.7399185182373
mexico_born,4,2868929.320830486,3044.5881056661106
mexico_born,5,2293863.5991357607,2667.1243536048696
mexico_born,6,1112347.3588952005,-11848.115491650333
mexico_born,7,535985.8189179099,-14981.501864657173
mexican_second_gen,0,5418334.719954994,-3964.078126858219
mexican_second_gen,1,2782050.239119301,2444.8492979233515
mexican_second_gen,2,2676038.7623408707,6212.468594644874
mexican_second_gen,3,1524980.558396191,6092.279981076297
mexican_second_gen,4,885274.8704923603,4746.20834687443
mexican_second_gen,5,528342.1216734701,7054.657757933764
mexican_second_gen,6,307273.94973874994,-15402.292645487594
mexican_second_gen,7,210922.44180440996,-17737.244274554483
mexican_third_plus_selfid,0,6159205.858373929,-213.9549240746215
mexican_third_plus_selfid,1,1661297.5227786726,4847.060371656042
mexican_third_plus_selfid,2,1928295.9796711982,9490.700172723657
mexican_third_plus_selfid,3,1581600.1569245094,7387.964031185517
mexican_third_plus_selfid,4,1167082.4349402504,7462.1590247108
mexican_third_plus_selfid,5,849203.6638458697,4926.014967029945
mexican_third_plus_selfid,6,630535.0091697699,-15397.460619081152
mexican_third_plus_selfid,7,365353.98057141004,-19127.80817891322
third_plus_nh_white,0,31162353.92810172,4965.122047495476
third_plus_nh_white,1,13832325.969352992,10362.765619400487
third_plus_nh_white,2,21209374.61718355,14942.413255504447
third_plus_nh_white,3,22045949.11597441,11656.753249724476
third_plus_nh_white,4,20431740.352847643,13456.649974409129
third_plus_nh_white,5,23960789.259829167,14782.274974927144
third_plus_nh_white,6,23016940.03551268,-14023.936874426841
third_plus_nh_white,7,17394420.118487608,-21297.884603640203
all_native,0,69409303.97629313,2535.008272303468
all_native,1,27155410.71496949,7897.394620083445
all_native,2,37445659.6471668,12944.703095143328
all_native,3,34542658.63439148,10555.405913916064
all_native,4,30120098.66906006,12041.117817911505
all_native,5,32578041.220157105,12861.513791368287
all_native,6,29962626.42430222,-14513.817609642922
all_native,7,22458380.59228241,-21178.50954221029
