origin,chart_ratio,my_ratio,persons,diff
Kuwait,10.1,10.11,226,0.01
Somalia,9.8,9.78,1910,-0.02
Lebanon,8.7,8.71,2594,0.01
Tunisia,8.4,8.38,144,-0.02
Jordan,6.5,6.54,179,0.04
Uganda,5.65,5.67,125,0.02
Iraq,4.9,4.93,1774,0.03
Morocco,4.85,4.87,632,0.02
Algeria,4.7,4.71,83,0.01
Ethiopia,4.2,4.19,87,-0.01
Syria,4.15,4.15,1012,0.0
Afghanistan,4.05,4.07,765,0.02
Egypt,3.75,3.76,115,0.01
Iran,3.5,3.5,876,0.0
Turkey,3.35,3.38,2647,0.03
Kenya,3.3,3.33,60,0.03
Ghana,3.2,3.18,99,-0.02
Myanmar,2.85,2.85,67,0.0
Pakistan,2.55,2.56,758,0.01
Tanzania,2.4,2.4,28,0.0
Denmark,1.0,1.0,59818,0.0
Poland,1.2,1.24,660,0.04
Sweden,0.6,0.57,124,-0.03
Germany,0.45,0.47,204,0.02
USA,0.35,0.22,27,-0.13
Japan,0.2,0.0,0,-0.2
