origin,persons,crude_per100k,std_per100k,crude_ratio,std_ratio,pct_of_gap_removed
Kuwait,2618.0,15275.99486521181,11868.890693554518,4.689381147065559,3.643478067781131,28.34901132717917
Lebanon,31074.0,13516.899386663186,10211.577440572963,4.149379055825015,3.1347207925995098,32.21772435899128
Jordan,2504.0,11806.865333836287,9796.680899400342,3.624437700520666,3.007357040822639,23.51287133147049
Tunisia,1389.0,10470.37539574853,8739.801578388762,3.2141658475767922,2.6829192541903746,23.9930804626862
Somalia,15449.0,10282.949167659528,7510.732025795279,3.156630280942914,2.305623003489896,39.46004491233165
Turkey,54035.0,8873.66016517308,7342.241230331144,2.724010779736035,2.2539001817244255,27.268425669797068
Morocco,8663.0,8628.743886769524,7270.022768203714,2.648827082131462,2.231730765083571,25.296546955591285
Iraq,24032.0,8625.120231993913,6814.355488260631,2.6477147029680648,2.0918513287029072,33.73541385919957
Yugoslavia,13654.0,8542.345735396242,7881.455538046921,2.622304825102308,2.419426645378111,12.505552383560396
Pakistan,19294.0,8396.36189564385,7156.47369799352,2.5774911241321607,2.1968737967611265,24.128017048617416
Syria,14376.0,8065.755884085616,5968.377095134974,2.476002637693983,1.8321553048071004,43.62101506083964
Serbia and Montenegro,678.0,7785.049948329314,6637.259001476835,2.389832333591387,2.037486756466324,25.351660672232796
"Yugoslavia, Federal Republic",1236.0,7295.048102461194,6213.093759082992,2.2394129705112054,1.9072777253378892,26.797786780972967
Algeria,995.0,7286.174575278266,6513.297629680444,2.2366890005539783,1.9994334496280124,19.184738509009673
Afghanistan,10436.0,7200.071752344025,5448.865329622803,2.2102574026031,1.6726770711229901,44.418677408941875
Iran,13453.0,6962.60182798704,6297.847599061106,2.13735956543436,1.9332952163649306,17.941938088109946
Egypt,1637.0,6902.51307134424,5841.39149305078,2.1189136910387707,1.7931736284176634,29.1121706017109
Republic of North Macedonia,2991.0,6790.936336390882,5798.44919502504,2.0846621845439004,1.7799913247739143,28.089009104535158
Uganda,1109.0,6493.354411850812,6165.746379807566,1.993311337744153,1.8927431624700544,10.12453713681479
Ethiopia,921.0,5714.108450179923,4589.19773236311,1.7541006445075285,1.4087787745535605,45.79254406810423
Israel,912.0,5663.8926841386165,5194.840913239218,1.7386855524865288,1.5946973834107163,19.49248480508739
Romania,11603.0,5254.458342013024,4391.554692031378,1.6129985709271564,1.3481068801625113,43.21244833637998
Nigeria,742.0,5123.9555279331535,4710.98800379636,1.572937190874011,1.446165603221309,22.126611724980357
Lithuania,5365.0,4790.093034052963,4416.757390904861,1.470449038820528,1.3558435324719214,24.360875863608175
Ghana,1118.0,4680.566021937537,4083.5109998852063,1.4368267503712067,1.2535445099097968,41.9576503283419
Bulgaria,3705.0,4656.101944126777,4121.115232552567,1.4293168378399204,1.2650881495402193,38.25349341665866
Sri Lanka,5040.0,4610.191816909525,4246.10639725778,1.4152234784920297,1.3034575792559357,26.91704709039937
Tanzania,415.0,4565.958851358785,4698.757481063781,1.4016449694284523,1.442411112386049,-10.149795481220057
Bosnia and Herzegovina,9875.0,4404.92280790968,4065.3756410280616,1.3522105860831164,1.2479773693948681,29.594004498107502
Croatia,760.0,4389.511378075546,4017.817013464834,1.347479629497232,1.2333779581327446,32.83693824860495
Poland,17106.0,4174.9954237598395,3686.8885739598213,1.2816281363022646,1.1317904936870296,53.204074203160566
Latvia,2004.0,4144.777662874871,4276.23107843935,1.2723519746217438,1.312705167595725,-14.816559722038322
Kenya,573.0,4117.858426158821,4526.623628623291,1.2640883844422843,1.3895699554251728,-47.51499057707026
Chile,758.0,3950.179790504977,3655.6236451627074,1.2126148771690213,1.1221928754003532,42.528539381929434
Soviet Union,510.0,3949.5082475025165,4546.433477647533,1.212408728821698,1.395651126135177,-86.26876980526437
Russia,2322.0,3638.6429522839458,4333.302009621948,1.1169801909400363,1.3302246385758196,-182.29107502918316
Iceland,3062.0,3558.1068361667267,3540.558990136907,1.0922574447025373,1.0868706571924651,5.838864849813044
Vietnam,5003.0,3549.6619200669775,3404.080706089252,1.0896650485479078,1.0449749444847836,49.84116418477868
Ukraine,3396.0,3531.613976705491,4217.5381079349445,1.0841247425914429,1.294687767630802,-250.29856681044689
Czechoslovakia,305.0,3418.5160277964583,4670.956727580664,1.0494062581938344,1.4338769167144576,-778.18210197631
Netherlands,2498.0,3335.2916043580435,3066.7220113901208,1.0238582630752793,0.9414135387184419,345.56046304251885
Myanmar,597.0,3288.712609486035,3190.641293968238,1.0095595766506402,0.9794539251290887,314.926618842847
Denmark,1529364.0,3257.571604042244,3257.571604042245,1.0,1.0,
Italy,2359.0,2941.249812976909,2675.1701203802795,0.9028964426529202,0.8212160607799758,
Brazil,1020.0,2747.030782903773,3074.7848206823705,0.8432756411232978,0.9438886368198144,
Argentina,510.0,2604.2996476535773,2504.059885428877,0.7994604460641673,0.7686891309838431,
Hungary,1293.0,2585.689717233932,2687.81065775871,0.793747622930348,0.8250964167367705,
South Africa,304.0,2554.836540885789,2375.044731312641,0.7842764032310302,0.7290844285250716,
United Kingdom,4158.0,2551.342860473821,2271.125479627707,0.7832039232254848,0.6971835943097983,
Portugal,557.0,2488.495733369075,2065.651729117927,0.7639112921665817,0.634107850938628,
India,2415.0,2391.846921797005,2279.3741738198896,0.7342423168316603,0.6997157548253021,
