year_range,origin,offence,persons,population,rate_per_100k,ratio_to_danish_origin
2008-2024,Afghanistan,criminal_code_total,3040.0,208190.0,1460.204620779096,3.068673194503262
2008-2024,Algeria,criminal_code_total,445.0,19673.0,2261.9834290652166,4.7536405627037785
2008-2024,Argentina,criminal_code_total,159.0,35620.0,446.37843907916897,0.938080547831439
2008-2024,Australia,criminal_code_total,51.0,34640.0,147.22863741339492,0.3094063439223112
2008-2024,Austria,criminal_code_total,83.0,24094.0,344.4841039262887,0.7239458912868352
2008-2024,Belgium,criminal_code_total,53.0,20315.0,260.8909672655673,0.5482718699443081
2008-2024,Bosnia and Herzegovina,criminal_code_total,3690.0,317869.0,1160.855572578641,2.439580266744495
2008-2024,Brazil,criminal_code_total,310.0,55919.0,554.3732899372307,1.1650356603249823
2008-2024,Bulgaria,criminal_code_total,771.0,116073.0,664.2371610968959,1.3959185870562678
2008-2024,Canada,criminal_code_total,59.0,37106.0,159.0039346736377,0.33415255999751786
2008-2024,Chile,criminal_code_total,266.0,27745.0,958.7313029374662,2.0148087522731295
2008-2024,China,criminal_code_total,507.0,181683.0,279.05747923581185,0.5864494565149958
2008-2024,Croatia,criminal_code_total,326.0,27624.0,1180.1332174920358,2.480092939665173
2008-2024,Czechoslovakia,criminal_code_total,121.0,12384.0,977.0671834625324,2.0533422730305584
2008-2024,Denmark,criminal_code_total,316098.0,66429146.0,475.8423358325275,1.0
2008-2024,Egypt,criminal_code_total,519.0,34085.0,1522.6639284142584,3.1999337044069978
2008-2024,Estonia,criminal_code_total,118.0,21267.0,554.8502374570932,1.1660379829094745
2008-2024,Ethiopia,criminal_code_total,386.0,22840.0,1690.0175131348512,3.551633358091223
2008-2024,Finland,criminal_code_total,190.0,57773.0,328.8733491423329,0.6911393215295575
2008-2024,France,criminal_code_total,296.0,98216.0,301.3765577909913,0.6333538130097374
2008-2024,Germany,criminal_code_total,1313.0,489326.0,268.32827194957963,0.5639016366211216
2008-2024,Ghana,criminal_code_total,448.0,34870.0,1284.7720103240608,2.69999517398182
2008-2024,Greece,criminal_code_total,158.0,41353.0,382.07627016177787,0.8029471978219471
2008-2024,Hungary,criminal_code_total,259.0,72295.0,358.2543744380663,0.7528846163115545
2008-2024,Iceland,criminal_code_total,675.0,123458.0,546.7446419025093,1.1490037786274987
2008-2024,India,criminal_code_total,567.0,154355.0,367.3350393573257,0.771967964377615
2008-2024,Indonesia,criminal_code_total,57.0,16726.0,340.78679899557574,0.7161758703107819
2008-2024,Iran,criminal_code_total,4586.0,280527.0,1634.7802528811842,3.435550243802906
2008-2024,Iraq,criminal_code_total,7666.0,400257.0,1915.2694393851948,4.02500848528802
2008-2024,Ireland,criminal_code_total,100.0,27527.0,363.2796890325862,0.7634454979651965
