origin_da,pop_danish,pop_immigrant,pop_descendant,pop_total,conv_danish,conv_immigrant,conv_descendant,conv_total
I alt,78120,4090,2638,84848,14043,1735,952,16730
Danmark,78120,0,0,78120,14043,0,0,14043
Bosnien-Hercegovina,0,518,1,519,0,147,0,147
Estland,0,4,0,4,0,3,0,3
Frankrig,0,5,14,19,0,1,3,4
Island,0,52,8,60,0,13,4,17
Italien,0,3,6,9,0,2,1,3
Jugoslavien,0,191,145,336,0,94,57,151
"Jugoslavien, Forbundsrepublikken",0,23,0,23,0,7,0,7
Litauen,0,7,0,7,0,3,0,3
Makedonien,0,29,11,40,0,13,6,19
Nederlandene,0,54,7,61,0,13,1,14
Norge,0,25,19,44,0,10,4,14
Polen,0,96,95,191,0,33,23,56
Rumaenien,0,23,3,26,0,5,1,6
Rusland,0,48,0,48,0,12,0,12
Serbien og Montenegro,0,8,0,8,0,5,0,5
Sovjetunionen,0,13,1,14,0,3,1,4
Storbritannien,0,18,22,40,0,6,6,12
Sverige,0,21,33,54,0,4,8,12
Tjekkoslovakiet,0,6,2,8,0,4,2,6
Tyrkiet,0,296,1078,1374,0,115,392,507
Tyskland,0,53,37,90,0,13,5,18
Ukraine,0,18,0,18,0,6,0,6
"Oevrige, Europa",0,51,36,87,0,9,7,16
Algeriet,0,9,15,24,0,6,6,12
Burundi,0,8,1,9,0,4,0,4
"Congo, Demokratiske Republik",0,7,0,7,0,3,0,3
Egypten,0,10,17,27,0,4,7,11
Elfenbenskysten,0,9,0,9,0,5,0,5
Etiopien,0,17,5,22,0,11,4,15
Gambia,0,9,1,10,0,5,0,5
Ghana,0,14,0,14,0,7,0,7
Kenya,0,9,5,14,0,5,0,5
Marokko,0,36,145,181,0,20,78,98
Nigeria,0,4,4,8,0,4,2,6
Sierra Leone,0,7,0,7,0,4,0,4
Somalia,0,351,6,357,0,219,3,222
Tanzania,0,7,5,12,0,4,0,4
Uganda,0,46,2,48,0,28,1,29
Zambia,0,4,0,4,0,3,0,3
"Oevrige, Afrika",0,25,6,31,0,10,4,14
Brasilien,0,18,5,23,0,8,3,11
Chile,0,4,7,11,0,2,3,5
Uruguay,0,2,6,8,0,0,3,3
"Oevrige, Syd- og Mellemamerika",0,21,3,24,0,7,0,7
Afghanistan,0,180,4,184,0,68,0,68
Filippinerne,0,30,17,47,0,10,4,14
Indien,0,14,24,38,0,3,3,6
Irak,0,431,14,445,0,204,8,212
Iran,0,213,83,296,0,109,28,137
Jordan,0,16,39,55,0,7,28,35
Kina,0,50,10,60,0,5,0,5
Kuwait,0,32,1,33,0,23,0,23
Libanon,0,391,144,535,0,241,81,322
Pakistan,0,82,318,400,0,32,110,142
Sri Lanka,0,169,67,236,0,50,20,70
Syrien,0,40,18,58,0,25,11,36
Thailand,0,75,4,79,0,16,0,16
Vietnam,0,110,109,219,0,31,17,48
Yemen,0,6,2,8,0,4,0,4
"Oevrige, Asien",0,37,12,49,0,13,4,17
Nordamerika/Oceanien/Statsloes/Uoplyst,0,35,21,56,0,14,3,17
