OMRÅDE,KØN,ALDER,HERKOMST,TID,INDHOLD
All Denmark,Total,15 years,Total,2024Q1,70148
All Denmark,Total,16 years,Total,2024Q1,69688
All Denmark,Total,17 years,Total,2024Q1,70411
All Denmark,Total,18 years,Total,2024Q1,69917
All Denmark,Total,19 years,Total,2024Q1,70749
All Denmark,Total,20 years,Total,2024Q1,71646
All Denmark,Total,21 years,Total,2024Q1,72894
All Denmark,Total,22 years,Total,2024Q1,74848
All Denmark,Total,23 years,Total,2024Q1,78278
All Denmark,Total,24 years,Total,2024Q1,78012
All Denmark,Total,25 years,Total,2024Q1,78857
All Denmark,Total,26 years,Total,2024Q1,80933
All Denmark,Total,27 years,Total,2024Q1,81469
All Denmark,Total,28 years,Total,2024Q1,83924
All Denmark,Total,29 years,Total,2024Q1,84532
All Denmark,Total,30 years,Total,2024Q1,81944
All Denmark,Total,31 years,Total,2024Q1,83082
All Denmark,Total,32 years,Total,2024Q1,80344
All Denmark,Total,33 years,Total,2024Q1,80361
All Denmark,Total,34 years,Total,2024Q1,78151
All Denmark,Total,35 years,Total,2024Q1,75891
All Denmark,Total,36 years,Total,2024Q1,72765
All Denmark,Total,37 years,Total,2024Q1,71842
All Denmark,Total,38 years,Total,2024Q1,69935
All Denmark,Total,39 years,Total,2024Q1,67479
All Denmark,Total,40 years,Total,2024Q1,65871
All Denmark,Total,41 years,Total,2024Q1,67082
All Denmark,Total,42 years,Total,2024Q1,66455
All Denmark,Total,43 years,Total,2024Q1,70031
All Denmark,Total,44 years,Total,2024Q1,70875
All Denmark,Total,45 years,Total,2024Q1,72435
All Denmark,Total,46 years,Total,2024Q1,71840
All Denmark,Total,47 years,Total,2024Q1,74361
All Denmark,Total,48 years,Total,2024Q1,79928
All Denmark,Total,49 years,Total,2024Q1,78669
All Denmark,Total,50 years,Total,2024Q1,77940
All Denmark,Total,51 years,Total,2024Q1,81246
All Denmark,Total,52 years,Total,2024Q1,79820
All Denmark,Total,53 years,Total,2024Q1,76326
All Denmark,Total,54 years,Total,2024Q1,75599
All Denmark,Total,55 years,Total,2024Q1,78103
All Denmark,Total,56 years,Total,2024Q1,82998
All Denmark,Total,57 years,Total,2024Q1,88264
All Denmark,Total,58 years,Total,2024Q1,85031
All Denmark,Total,59 years,Total,2024Q1,82462
All Denmark,Total,60 years,Total,2024Q1,80135
All Denmark,Total,61 years,Total,2024Q1,75345
All Denmark,Total,62 years,Total,2024Q1,72605
All Denmark,Total,63 years,Total,2024Q1,71784
All Denmark,Total,64 years,Total,2024Q1,68222
All Denmark,Total,65 years,Total,2024Q1,67926
All Denmark,Total,66 years,Total,2024Q1,66552
All Denmark,Total,67 years,Total,2024Q1,66134
All Denmark,Total,68 years,Total,2024Q1,64275
All Denmark,Total,69 years,Total,2024Q1,62127
All Denmark,Total,70 years,Total,2024Q1,62196
All Denmark,Total,71 years,Total,2024Q1,59980
All Denmark,Total,72 years,Total,2024Q1,57866
All Denmark,Total,73 years,Total,2024Q1,58703
All Denmark,Total,74 years,Total,2024Q1,57193
All Denmark,Total,75 years,Total,2024Q1,58937
All Denmark,Total,76 years,Total,2024Q1,60940
All Denmark,Total,77 years,Total,2024Q1,60903
All Denmark,Total,78 years,Total,2024Q1,56528
All Denmark,Total,79 years,Total,2024Q1,51320
