KOEN,ALDER,IELAND,TID,INDHOLD
Men,"Age, total",Total,2008,102727
Men,"Age, total",Total,2009,107650
Men,"Age, total",Total,2010,111611
Men,"Age, total",Total,2011,120253
Men,"Age, total",Total,2012,126624
Men,"Age, total",Total,2013,124122
Men,"Age, total",Total,2014,126005
Men,"Age, total",Total,2015,121223
Men,"Age, total",Total,2016,118869
Men,"Age, total",Total,2017,112555
Men,"Age, total",Total,2018,112883
Men,"Age, total",Total,2019,123128
Men,"Age, total",Total,2020,135465
Men,"Age, total",Total,2021,128597
Men,"Age, total",Total,2022,124120
Men,"Age, total",Total,2023,122128
Men,"Age, total",Total,2024,121031
Men,"Age, total",Denmark,2008,87474
Men,"Age, total",Denmark,2009,90594
Men,"Age, total",Denmark,2010,93185
Men,"Age, total",Denmark,2011,100784
Men,"Age, total",Denmark,2012,104882
Men,"Age, total",Denmark,2013,102700
Men,"Age, total",Denmark,2014,103381
Men,"Age, total",Denmark,2015,98497
Men,"Age, total",Denmark,2016,96158
Men,"Age, total",Denmark,2017,89097
Men,"Age, total",Denmark,2018,87452
Men,"Age, total",Denmark,2019,94962
Men,"Age, total",Denmark,2020,103423
Men,"Age, total",Denmark,2021,96676
Men,"Age, total",Denmark,2022,93685
Men,"Age, total",Denmark,2023,90445
Men,"Age, total",Denmark,2024,89716
Men,"Age, total",Belgium,2008,20
Men,"Age, total",Belgium,2009,10
Men,"Age, total",Belgium,2010,15
Men,"Age, total",Belgium,2011,14
Men,"Age, total",Belgium,2012,17
Men,"Age, total",Belgium,2013,24
Men,"Age, total",Belgium,2014,18
Men,"Age, total",Belgium,2015,18
Men,"Age, total",Belgium,2016,19
Men,"Age, total",Belgium,2017,14
Men,"Age, total",Belgium,2018,20
Men,"Age, total",Belgium,2019,18
Men,"Age, total",Belgium,2020,30
Men,"Age, total",Belgium,2021,20
Men,"Age, total",Belgium,2022,34
Men,"Age, total",Belgium,2023,36
Men,"Age, total",Belgium,2024,27
Men,"Age, total",Bosnia and Herzegovina,2008,548
Men,"Age, total",Bosnia and Herzegovina,2009,557
Men,"Age, total",Bosnia and Herzegovina,2010,594
Men,"Age, total",Bosnia and Herzegovina,2011,642
Men,"Age, total",Bosnia and Herzegovina,2012,708
Men,"Age, total",Bosnia and Herzegovina,2013,672
Men,"Age, total",Bosnia and Herzegovina,2014,617
Men,"Age, total",Bosnia and Herzegovina,2015,624
Men,"Age, total",Bosnia and Herzegovina,2016,589
Men,"Age, total",Bosnia and Herzegovina,2017,554
Men,"Age, total",Bosnia and Herzegovina,2018,615
Men,"Age, total",Bosnia and Herzegovina,2019,644
Men,"Age, total",Bosnia and Herzegovina,2020,767
Men,"Age, total",Bosnia and Herzegovina,2021,733
Men,"Age, total",Bosnia and Herzegovina,2022,634
Men,"Age, total",Bosnia and Herzegovina,2023,638
Men,"Age, total",Bosnia and Herzegovina,2024,608
Men,"Age, total",Bulgaria,2008,28
Men,"Age, total",Bulgaria,2009,51
Men,"Age, total",Bulgaria,2010,81
Men,"Age, total",Bulgaria,2011,109
Men,"Age, total",Bulgaria,2012,164
Men,"Age, total",Bulgaria,2013,180
Men,"Age, total",Bulgaria,2014,235
Men,"Age, total",Bulgaria,2015,232
Men,"Age, total",Bulgaria,2016,259
Men,"Age, total",Bulgaria,2017,280
Men,"Age, total",Bulgaria,2018,281
Men,"Age, total",Bulgaria,2019,325
Men,"Age, total",Bulgaria,2020,464
Men,"Age, total",Bulgaria,2021,470
Men,"Age, total",Bulgaria,2022,496
Men,"Age, total",Bulgaria,2023,510
Men,"Age, total",Bulgaria,2024,472
Men,"Age, total",Estonia,2008,9
Men,"Age, total",Estonia,2009,11
Men,"Age, total",Estonia,2010,13
Men,"Age, total",Estonia,2011,14
Men,"Age, total",Estonia,2012,20
Men,"Age, total",Estonia,2013,21
Men,"Age, total",Estonia,2014,14
Men,"Age, total",Estonia,2015,17
Men,"Age, total",Estonia,2016,20
Men,"Age, total",Estonia,2017,13
Men,"Age, total",Estonia,2018,16
Men,"Age, total",Estonia,2019,24
Men,"Age, total",Estonia,2020,19
Men,"Age, total",Estonia,2021,19
Men,"Age, total",Estonia,2022,13
Men,"Age, total",Estonia,2023,27
Men,"Age, total",Estonia,2024,27
Men,"Age, total",Finland,2008,31
Men,"Age, total",Finland,2009,38
Men,"Age, total",Finland,2010,44
Men,"Age, total",Finland,2011,35
Men,"Age, total",Finland,2012,40
Men,"Age, total",Finland,2013,44
Men,"Age, total",Finland,2014,32
Men,"Age, total",Finland,2015,41
Men,"Age, total",Finland,2016,36
Men,"Age, total",Finland,2017,27
Men,"Age, total",Finland,2018,37
Men,"Age, total",Finland,2019,32
Men,"Age, total",Finland,2020,36
Men,"Age, total",Finland,2021,38
Men,"Age, total",Finland,2022,40
Men,"Age, total",Finland,2023,25
Men,"Age, total",Finland,2024,30
Men,"Age, total",France,2008,92
Men,"Age, total",France,2009,77
Men,"Age, total",France,2010,73
Men,"Age, total",France,2011,78
Men,"Age, total",France,2012,84
Men,"Age, total",France,2013,64
Men,"Age, total",France,2014,87
Men,"Age, total",France,2015,91
Men,"Age, total",France,2016,80
Men,"Age, total",France,2017,76
Men,"Age, total",France,2018,87
Men,"Age, total",France,2019,105
Men,"Age, total",France,2020,109
Men,"Age, total",France,2021,107
Men,"Age, total",France,2022,106
Men,"Age, total",France,2023,100
Men,"Age, total",France,2024,103
Men,"Age, total",Greece,2008,22
Men,"Age, total",Greece,2009,31
Men,"Age, total",Greece,2010,29
Men,"Age, total",Greece,2011,27
Men,"Age, total",Greece,2012,40
Men,"Age, total",Greece,2013,34
Men,"Age, total",Greece,2014,41
Men,"Age, total",Greece,2015,40
Men,"Age, total",Greece,2016,46
Men,"Age, total",Greece,2017,34
Men,"Age, total",Greece,2018,46
Men,"Age, total",Greece,2019,66
Men,"Age, total",Greece,2020,55
Men,"Age, total",Greece,2021,80
Men,"Age, total",Greece,2022,79
Men,"Age, total",Greece,2023,78
Men,"Age, total",Greece,2024,68
Men,"Age, total",Ireland,2008,23
Men,"Age, total",Ireland,2009,25
Men,"Age, total",Ireland,2010,26
Men,"Age, total",Ireland,2011,27
Men,"Age, total",Ireland,2012,28
Men,"Age, total",Ireland,2013,23
Men,"Age, total",Ireland,2014,26
Men,"Age, total",Ireland,2015,33
Men,"Age, total",Ireland,2016,27
Men,"Age, total",Ireland,2017,25
Men,"Age, total",Ireland,2018,30
Men,"Age, total",Ireland,2019,31
Men,"Age, total",Ireland,2020,42
Men,"Age, total",Ireland,2021,37
Men,"Age, total",Ireland,2022,40
Men,"Age, total",Ireland,2023,54
Men,"Age, total",Ireland,2024,47
Men,"Age, total",Iceland,2008,156
Men,"Age, total",Iceland,2009,163
Men,"Age, total",Iceland,2010,169
Men,"Age, total",Iceland,2011,186
Men,"Age, total",Iceland,2012,190
Men,"Age, total",Iceland,2013,166
Men,"Age, total",Iceland,2014,188
Men,"Age, total",Iceland,2015,188
Men,"Age, total",Iceland,2016,169
Men,"Age, total",Iceland,2017,172
Men,"Age, total",Iceland,2018,176
Men,"Age, total",Iceland,2019,184
Men,"Age, total",Iceland,2020,198
Men,"Age, total",Iceland,2021,203
Men,"Age, total",Iceland,2022,196
Men,"Age, total",Iceland,2023,189
Men,"Age, total",Iceland,2024,154
Men,"Age, total",Italy,2008,101
Men,"Age, total",Italy,2009,118
Men,"Age, total",Italy,2010,112
Men,"Age, total",Italy,2011,136
Men,"Age, total",Italy,2012,126
Men,"Age, total",Italy,2013,125
Men,"Age, total",Italy,2014,169
Men,"Age, total",Italy,2015,169
Men,"Age, total",Italy,2016,164
Men,"Age, total",Italy,2017,153
Men,"Age, total",Italy,2018,179
Men,"Age, total",Italy,2019,195
Men,"Age, total",Italy,2020,239
Men,"Age, total",Italy,2021,256
Men,"Age, total",Italy,2022,283
Men,"Age, total",Italy,2023,251
Men,"Age, total",Italy,2024,229
Men,"Age, total",Yugoslavia,2008,849
Men,"Age, total",Yugoslavia,2009,876
Men,"Age, total",Yugoslavia,2010,919
Men,"Age, total",Yugoslavia,2011,976
Men,"Age, total",Yugoslavia,2012,1045
Men,"Age, total",Yugoslavia,2013,906
Men,"Age, total",Yugoslavia,2014,959
Men,"Age, total",Yugoslavia,2015,848
Men,"Age, total",Yugoslavia,2016,800
Men,"Age, total",Yugoslavia,2017,739
Men,"Age, total",Yugoslavia,2018,743
Men,"Age, total",Yugoslavia,2019,806
Men,"Age, total",Yugoslavia,2020,893
Men,"Age, total",Yugoslavia,2021,867
Men,"Age, total",Yugoslavia,2022,751
Men,"Age, total",Yugoslavia,2023,761
Men,"Age, total",Yugoslavia,2024,656
Men,"Age, total","Yugoslavia, Federal Republic",2008,65
Men,"Age, total","Yugoslavia, Federal Republic",2009,75
Men,"Age, total","Yugoslavia, Federal Republic",2010,72
Men,"Age, total","Yugoslavia, Federal Republic",2011,81
Men,"Age, total","Yugoslavia, Federal Republic",2012,92
Men,"Age, total","Yugoslavia, Federal Republic",2013,76
Men,"Age, total","Yugoslavia, Federal Republic",2014,73
Men,"Age, total","Yugoslavia, Federal Republic",2015,73
Men,"Age, total","Yugoslavia, Federal Republic",2016,74
Men,"Age, total","Yugoslavia, Federal Republic",2017,80
Men,"Age, total","Yugoslavia, Federal Republic",2018,68
Men,"Age, total","Yugoslavia, Federal Republic",2019,65
Men,"Age, total","Yugoslavia, Federal Republic",2020,69
Men,"Age, total","Yugoslavia, Federal Republic",2021,82
Men,"Age, total","Yugoslavia, Federal Republic",2022,69
Men,"Age, total","Yugoslavia, Federal Republic",2023,76
Men,"Age, total","Yugoslavia, Federal Republic",2024,71
Men,"Age, total",Croatia,2008,21
Men,"Age, total",Croatia,2009,24
Men,"Age, total",Croatia,2010,27
Men,"Age, total",Croatia,2011,34
Men,"Age, total",Croatia,2012,21
Men,"Age, total",Croatia,2013,32
Men,"Age, total",Croatia,2014,36
Men,"Age, total",Croatia,2015,34
Men,"Age, total",Croatia,2016,44
Men,"Age, total",Croatia,2017,42
Men,"Age, total",Croatia,2018,63
Men,"Age, total",Croatia,2019,66
Men,"Age, total",Croatia,2020,79
Men,"Age, total",Croatia,2021,89
Men,"Age, total",Croatia,2022,100
Men,"Age, total",Croatia,2023,123
Men,"Age, total",Croatia,2024,100
Men,"Age, total",Latvia,2008,29
Men,"Age, total",Latvia,2009,42
Men,"Age, total",Latvia,2010,73
Men,"Age, total",Latvia,2011,86
Men,"Age, total",Latvia,2012,106
Men,"Age, total",Latvia,2013,122
Men,"Age, total",Latvia,2014,131
Men,"Age, total",Latvia,2015,109
Men,"Age, total",Latvia,2016,131
Men,"Age, total",Latvia,2017,103
Men,"Age, total",Latvia,2018,106
Men,"Age, total",Latvia,2019,159
Men,"Age, total",Latvia,2020,157
Men,"Age, total",Latvia,2021,170
Men,"Age, total",Latvia,2022,183
Men,"Age, total",Latvia,2023,210
Men,"Age, total",Latvia,2024,199
Men,"Age, total",Lithuania,2008,79
Men,"Age, total",Lithuania,2009,107
Men,"Age, total",Lithuania,2010,146
Men,"Age, total",Lithuania,2011,207
Men,"Age, total",Lithuania,2012,266
Men,"Age, total",Lithuania,2013,251
Men,"Age, total",Lithuania,2014,263
Men,"Age, total",Lithuania,2015,273
Men,"Age, total",Lithuania,2016,292
Men,"Age, total",Lithuania,2017,350
Men,"Age, total",Lithuania,2018,443
Men,"Age, total",Lithuania,2019,503
Men,"Age, total",Lithuania,2020,576
Men,"Age, total",Lithuania,2021,605
Men,"Age, total",Lithuania,2022,579
Men,"Age, total",Lithuania,2023,602
Men,"Age, total",Lithuania,2024,597
Men,"Age, total",Netherlands,2008,111
Men,"Age, total",Netherlands,2009,135
Men,"Age, total",Netherlands,2010,139
Men,"Age, total",Netherlands,2011,134
Men,"Age, total",Netherlands,2012,165
Men,"Age, total",Netherlands,2013,147
Men,"Age, total",Netherlands,2014,153
Men,"Age, total",Netherlands,2015,168
Men,"Age, total",Netherlands,2016,170
Men,"Age, total",Netherlands,2017,159
Men,"Age, total",Netherlands,2018,143
Men,"Age, total",Netherlands,2019,153
Men,"Age, total",Netherlands,2020,191
Men,"Age, total",Netherlands,2021,231
Men,"Age, total",Netherlands,2022,193
Men,"Age, total",Netherlands,2023,178
Men,"Age, total",Netherlands,2024,223
Men,"Age, total",Republic of North Macedonia,2008,135
Men,"Age, total",Republic of North Macedonia,2009,139
Men,"Age, total",Republic of North Macedonia,2010,147
Men,"Age, total",Republic of North Macedonia,2011,153
Men,"Age, total",Republic of North Macedonia,2012,181
Men,"Age, total",Republic of North Macedonia,2013,178
Men,"Age, total",Republic of North Macedonia,2014,195
Men,"Age, total",Republic of North Macedonia,2015,224
Men,"Age, total",Republic of North Macedonia,2016,198
Men,"Age, total",Republic of North Macedonia,2017,217
Men,"Age, total",Republic of North Macedonia,2018,200
Men,"Age, total",Republic of North Macedonia,2019,251
Men,"Age, total",Republic of North Macedonia,2020,302
Men,"Age, total",Republic of North Macedonia,2021,329
Men,"Age, total",Republic of North Macedonia,2022,319
Men,"Age, total",Republic of North Macedonia,2023,311
Men,"Age, total",Republic of North Macedonia,2024,311
Men,"Age, total",Norway,2008,183
Men,"Age, total",Norway,2009,166
Men,"Age, total",Norway,2010,176
Men,"Age, total",Norway,2011,199
Men,"Age, total",Norway,2012,177
Men,"Age, total",Norway,2013,194
Men,"Age, total",Norway,2014,175
Men,"Age, total",Norway,2015,200
Men,"Age, total",Norway,2016,182
Men,"Age, total",Norway,2017,177
Men,"Age, total",Norway,2018,147
Men,"Age, total",Norway,2019,166
Men,"Age, total",Norway,2020,182
Men,"Age, total",Norway,2021,174
Men,"Age, total",Norway,2022,189
Men,"Age, total",Norway,2023,182
Men,"Age, total",Norway,2024,164
Men,"Age, total",Poland,2008,463
Men,"Age, total",Poland,2009,579
Men,"Age, total",Poland,2010,663
Men,"Age, total",Poland,2011,787
Men,"Age, total",Poland,2012,874
