name_de,iso3,muslim_majority,muslim_share_pct_approx
Afghanistan,AFG,1,99.7
Ägypten,EGY,1,94.9
Albanien,ALB,1,58.8
Algerien,DZA,1,97.9
Aserbaidschan,AZE,1,96.9
Bahrain,BHR,1,70.3
Bangladesch,BGD,1,90.4
Bosnien und Herzegowina,BIH,1,51.0
Brunei,BRN,1,75.1
Burkina Faso,BFA,1,61.6
Dschibuti,DJI,1,97.0
Gambia,GMB,1,95.1
Guinea,GIN,1,89.1
Indonesien,IDN,1,87.2
"Iran, Islamische Republik",IRN,1,99.5
Irak,IRQ,1,98.9
Jordanien,JOR,1,97.2
Kasachstan,KAZ,1,70.4
Katar,QAT,1,67.7
Komoren,COM,1,98.3
Kosovo,XKX,1,95.6
Kuwait,KWT,1,74.1
Kirgisistan,KGZ,1,88.0
Libanon,LBN,1,61.3
Libyen,LBY,1,96.6
Malaysia,MYS,1,63.7
Malediven,MDV,1,98.4
Mali,MLI,1,92.4
Marokko,MAR,1,99.0
Mauretanien,MRT,1,99.1
Niger,NER,1,98.3
Nigeria,NGA,1,51.6
Oman,OMN,1,85.9
Pakistan,PAK,1,96.4
Palästinensische Gebiete,PSE,1,97.5
Saudi-Arabien,SAU,1,93.0
Senegal,SEN,1,96.4
Sierra Leone,SLE,1,78.0
Somalia,SOM,1,99.8
Sudan (ohne Südsudan),SDN,1,90.7
Syrien,SYR,1,92.8
Tadschikistan,TJK,1,96.7
Tschad,TCD,1,55.3
Tunesien,TUN,1,99.8
Türkei,TUR,1,98.0
Turkmenistan,TKM,1,93.0
Usbekistan,UZB,1,96.7
Vereinigte Arabische Emirate,ARE,1,76.0
Jemen,YEM,1,99.0
Guinea-Bissau,GNB,0,45.1
Eritrea,ERI,0,36.6
Elfenbeinküste,CIV,0,42.9
Äthiopien,ETH,0,34.6
Tansania,TZA,0,35.2
