bka_code,bka_name,total_all,murder,manslaughter,sexual,imm_offences,total_excl_imm,violent,homicide_all
,Tatverdächtige insgesamt,2054855,838,2068,97912,177397,1908383,192239,2893
...,Nichtdeutsche insgesamt,823609,358,1006,27208,176282,677951,82565,1358
000,Deutschland,1231246,480,1062,70704,1115,1230432,109674,1535
121,Albanien,12527,12,14,257,6059,7299,809,26
122,Bosnien und Herzegowina,9481,5,38,335,1437,8330,807,43
123,Andorra,6,0,0,0,4,2,0,0
124,Belgien,1946,0,1,36,109,1847,99,1
125,Bulgarien,27438,10,23,1140,213,27310,3151,33
126,Dänemark,689,1,1,14,3,687,36,1
127,Estland,413,0,1,5,2,413,28,1
128,Finnland,178,0,0,5,5,173,9,0
129,Frankreich,5527,3,5,100,251,5304,275,8
130,Kroatien,10256,2,13,449,44,10226,858,14
131,Slowenien,1008,1,0,36,10,1001,59,1
134,Griechenland,8653,6,11,345,45,8624,730,17
135,Irland,639,0,1,15,2,639,41,1
136,Island,38,0,0,2,0,38,5,0
137,Italien,18868,8,27,657,125,18774,1642,35
139,Lettland,3248,1,3,76,45,3235,287,4
140,Montenegro,2213,0,2,64,325,1956,223,2
141,Liechtenstein,10,0,0,0,0,11,0,0
142,Litauen,3659,4,4,78,51,3644,368,8
143,Luxemburg,688,0,0,26,5,684,42,0
144,Nordmazedonien,8953,6,9,332,2250,6929,811,15
145,Malta,33,0,0,2,0,33,1,0
146,Moldau,8964,2,6,111,4563,5550,416,8
147,Monaco,3,0,0,0,0,3,0,0
148,Niederlande,7078,12,4,182,151,6937,479,15
149,Norwegen,254,0,0,10,4,252,19,0
150,Kosovo,16345,5,29,588,3387,13318,1641,33
151,Österreich,3958,0,5,142,55,3916,237,5
152,Polen,45513,17,52,1152,325,45381,4142,69
153,Portugal,3848,1,5,165,31,3828,331,6
154,Rumänien,65556,21,65,1831,433,65299,5184,86
155,Slowakei,4594,2,2,118,42,4571,419,4
156,San Marino,1,0,0,0,0,1,1,0
157,Schweden,1180,3,3,37,45,1137,113,6
158,Schweiz,1765,0,0,58,17,1748,95,0
160,Russische Föderation,13341,4,15,267,4174,9755,1463,19
161,Spanien,6163,0,2,198,43,6129,654,2
163,Türkei,79205,63,119,2190,19360,62143,7470,181
164,Tschechische Republik,5630,1,7,113,56,5596,320,8
165,Ungarn,8116,1,3,273,61,8070,515,4
166,Ukraine,56909,12,46,1641,9448,48440,5105,58
168,Großbritannien/Nordirland,2320,0,0,69,175,2167,172,0
169,Weißrussland (Belarus),2381,2,1,21,582,1906,95,3
170,Serbien,21264,6,21,625,3448,18544,2005,27
181,Zypern,63,0,0,0,0,63,3,0
221,Algerien,10764,3,17,217,5693,8424,1568,20
223,Angola,937,0,2,25,482,486,66,2
224,Eritrea,5167,1,13,245,1553,3854,745,14
225,Äthiopien,1830,1,0,47,1080,843,132,1
226,Lesotho,2,0,0,0,1,1,0,0
227,Botsuana,38,0,0,0,26,12,3,0
229,Benin,701,0,0,13,400,337,27,0
230,Dschibuti,41,0,0,1,28,15,1,0
231,Cote d'Ivoire,1113,0,0,37,409,787,96,0
232,Nigeria,7901,1,6,231,2007,6242,673,7
233,Simbabwe,399,0,1,8,206,204,18,1
236,Gabun,66,0,0,2,30,39,3,0
237,Gambia,2871,0,7,92,857,2329,362,7
238,Ghana,3917,2,1,85,1489,2713,240,3
239,Mauretanien,152,0,1,5,80,97,20,1
242,Kap Verde,66,0,0,1,37,30,6,0
243,Kenia,1428,0,0,44,668,799,112,0
244,Komoren,15,0,0,0,14,8,1,0
245,"Kongo, Republik",394,0,2,13,94,312,41,2
246,"Kongo, Demokratische Republik",949,0,1,34,378,628,75,1
247,Liberia,337,0,0,13,97,258,28,0
248,Libyen,2924,0,2,101,1347,2117,498,2
249,Madagaskar,119,0,0,15,31,89,8,0
251,Mali,658,0,1,31,283,452,74,1
252,Marokko,11627,2,23,283,4457,9261,1586,25
253,Mauritius,79,0,0,5,48,32,3,0
254,Mosambik,190,0,0,5,83,111,6,0
255,Niger,261,0,0,2,126,150,20,0
256,Malawi,48,0,0,2,24,27,2,0
257,Sambia,86,0,0,2,59,29,3,0
258,Burkina Faso,364,0,0,7,200,185,17,0
259,Guinea-Bissau,491,0,1,14,215,361,54,1
261,Guinea,4665,1,7,193,1681,3495,653,8
262,Kamerun,3271,1,2,89,998,2422,223,3
263,Südafrika,545,0,1,12,341,210,16,1
265,Ruanda,333,0,0,6,167,180,13,0
267,Namibia,139,0,0,5,63,80,11,0
268,Sao Tome und Principe,16,0,0,0,13,3,0,0
269,Senegal,892,0,0,25,379,624,94,0
271,Seychellen,20,0,0,2,6,14,3,0
272,Sierra Leone,918,0,1,39,337,669,94,1
273,Somalia,8037,4,15,279,3485,5074,1038,19
274,Äquatorialguinea,60,0,0,3,38,30,4,0
277,Sudan (ohne Südsudan),1888,0,3,73,758,1283,218,3
278,Südsudan,251,0,1,4,84,178,24,1
281,Swasiland,10,0,0,0,6,4,0,0
282,Tansania,353,0,0,9,243,121,13,0
283,Togo,692,0,1,25,151,568,71,1
284,Tschad,170,0,0,6,66,126,28,0
285,Tunesien,8438,11,21,227,3287,6726,1329,32
286,Uganda,635,0,0,9,441,207,22,0
287,Ägypten,4511,0,3,160,2045,2790,387,3
289,Zentralafrikanische Republik,47,0,0,1,17,33,3,0
291,Burundi,200,0,0,8,55,152,17,0
320,Antigua und Barbuda,6,0,0,1,3,3,1,0
322,Barbados,7,0,0,0,1,6,1,0
323,Argentinien,619,0,0,13,383,250,16,0
324,Bahamas,11,0,0,1,7,5,0,0
326,Bolivien,102,0,0,1,46,60,0,0
327,Brasilien,1912,0,2,86,499,1488,181,2
328,Guyana,4,0,0,0,1,3,0,0
330,Belize,11,0,0,0,6,5,2,0
332,Chile,454,0,0,11,106,382,28,0
333,Dominica,127,0,0,1,53,77,14,0
334,Costa Rica,80,0,0,2,35,48,4,0
335,Dominikanische Republik,472,0,0,16,123,361,60,0
336,Ecuador,300,0,0,6,129,176,22,0
337,El Salvador,66,0,0,6,27,42,6,0
340,Grenada,13,0,0,0,3,10,2,0
345,Guatemala,45,0,0,2,21,25,1,0
346,Haiti,49,0,0,1,12,40,6,0
347,Honduras,94,0,0,4,36,62,9,0
348,Kanada,495,0,1,16,68,431,22,1
349,Kolumbien,3201,0,6,69,1918,1457,169,6
351,Kuba,633,0,4,14,205,471,68,4
353,Mexiko,781,0,0,11,443,346,20,0
354,Nicaragua,89,0,0,1,33,57,9,0
355,Jamaika,268,1,2,10,96,201,47,3
357,Panama,29,0,0,2,15,17,5,0
359,Paraguay,133,0,0,0,94,41,4,0
361,Peru,745,0,0,30,377,422,45,0
364,Suriname,13,0,1,0,5,9,1,1
365,Uruguay,45,0,0,0,16,29,1,0
366,St. Lucia,7,0,0,0,4,3,0,0
367,Venezuela,1110,0,1,50,546,626,75,1
368,USA,3753,2,3,152,368,3433,200,5
369,St. Vincent,6,0,0,1,4,2,0,0
370,St. Kitts und Nevis,20,0,0,0,19,1,0,0
371,Trinidad und Tobago,22,0,0,1,7,18,3,0
421,Jemen,1031,4,0,43,418,671,104,4
422,Armenien,3109,0,0,36,1375,1862,168,0
423,Afghanistan,40461,15,83,2311,11750,30304,5571,98
424,Bahrain,43,0,0,0,23,21,0,0
425,Aserbaidschan,3993,1,1,74,2007,2206,251,2
426,Bhutan,8,0,0,0,5,3,0,0
427,Myanmar,201,0,0,6,130,76,8,0
430,Georgien,12566,4,5,95,6316,8039,587,9
431,Sri Lanka,1217,0,1,40,452,798,108,1
432,Vietnam,8237,2,12,124,5476,3417,245,14
434,"Korea, Volksrepublik",71,0,0,1,5,68,4,0
436,Indien,10222,0,5,290,5906,4682,446,5
437,Indonesien,630,0,0,7,432,199,9,0
438,Irak,20394,14,26,1373,3150,17734,3179,40
439,Iran,12356,5,12,409,3362,9456,1252,17
441,Israel,735,0,0,27,90,667,49,0
442,Japan,167,0,0,8,41,129,8,0
444,Kasachstan,2413,0,1,51,975,1495,138,1
445,Jordanien,1485,1,2,37,579,973,138,3
446,Kambodscha,125,0,0,0,94,32,3,0
447,Katar,114,0,0,2,89,25,3,0
448,Kuwait,160,0,0,2,117,59,4,0
449,Laos,34,0,0,3,24,10,0,0
450,Kirgisistan,827,0,0,7,398,445,31,0
451,Libanon,5226,6,5,169,1127,4277,687,11
454,Malediven,16,0,0,0,15,2,0,0
456,Oman,30,0,0,0,15,15,2,0
457,Mongolei,790,0,0,5,520,290,33,0
458,Nepal,411,0,0,13,263,164,23,0
460,Bangladesch,893,0,0,45,369,549,50,0
461,Pakistan,5858,0,3,296,2423,3737,428,3
462,Philippinen,1127,0,0,28,727,407,27,0
465,Taiwan,153,0,0,4,68,88,6,0
467,"Korea, Republik",317,0,1,9,66,252,21,1
469,Vereinigte Arabische Emirate,98,0,0,1,50,49,5,0
470,Tadschikistan,1396,0,1,33,770,702,80,1
471,Turkmenistan,795,0,0,6,590,250,20,0
472,Saudi-Arabien,267,1,0,8,149,122,17,1
474,Singapur,67,0,0,0,43,24,0,0
475,Syrien,76755,54,126,3812,16198,62915,13518,180
476,Thailand,1765,0,0,63,947,862,81,0
477,Usbekistan,1580,0,0,22,1057,583,47,0
479,China,6442,2,5,156,4220,2505,146,6
482,Malaysia,130,0,0,5,58,74,2,0
483,Timor-Leste,3,0,0,0,3,0,0,0
523,Australien,316,0,0,7,41,282,15,0
524,Salomonen,9,0,0,0,2,8,1,0
526,Fidschi,6,0,0,0,2,4,0,0
530,Kiribati,1,0,0,0,1,0,0,0
536,Neuseeland,62,0,0,1,10,52,5,0
538,Papua-Neuguinea,3,0,0,1,1,2,0,0
541,Tonga,2,0,0,0,1,1,0,0
543,Samoa,3,0,0,0,0,3,0,0
545,Mikronesien,1,0,0,0,0,1,0,0
997,Staatenlos,2176,2,8,65,500,1791,315,10
998,Ungeklärt,16782,6,15,455,2526,14993,1716,21
999,Ohne Angabe,860,0,3,30,49,835,83,3
