country_es,chart_pct,padron_1jan2022,padron_pct
Marruecos,1.83,883243,1.86
Rumanía,1.31,627478,1.32
Colombia,0.66,314679,0.66
Reino Unido,0.61,293171,0.62
Italia,0.56,275654,0.58
China,0.47,223999,0.47
Venezuela,0.44,212064,0.45
Honduras,0.28,134125,0.28
Perú,0.25,120255,0.25
Ecuador,0.25,119885,0.25
Alemania,0.24,116122,0.24
Francia,0.24,115320,0.24
Bulgaria,0.24,114522,0.24
Ucrania,0.23,111443,0.23
Pakistán,0.21,100496,0.21
Portugal,0.21,98874,0.21
Argentina,0.2,97257,0.2
Brasil,0.19,91045,0.19
Paraguay,0.18,83965,0.18
Senegal,0.18,83260,0.18
