arm,sales_arm,group,ext_base,ext_remit,delta,gap_base,gap_remit,d_gap
r2_zero,0.35,third_plus_nh_white,15984.424821159118,15984.090306196927,-0.33451496219095134,0.0,0.0,0.0
r2_zero,0.35,all_native,14265.65477926144,14264.405579269785,-1.2491999916546774,-1718.7700418976783,-1719.684726927142,-0.9146850294637261
r2_zero,0.35,all_second_gen,15657.872183584454,15650.961189906906,-6.910993677547594,-326.5526375746649,-333.12911629002156,-6.576478715356643
r2_zero,0.35,mexican_second_gen,7698.194188185556,7678.754526028845,-19.439662156711165,-8286.230632973562,-8305.335780168083,-19.105147194521123
r2_zero,0.35,mexican_third_plus_selfid,9705.404507912976,9703.558562024018,-1.8459458889574307,-6279.020313246143,-6280.531744172909,-1.5114309267664794
r2_zero,0.35,mexico_born,4461.995996762274,4366.5845626256305,-95.41143413664395,-11522.428824396844,-11617.505743571297,-95.076919174453
r2_zero,ITEP,third_plus_nh_white,16747.175889027796,16746.687001908245,-0.4888871195507818,0.0,0.0,0.0
r2_zero,ITEP,all_native,15001.54867100708,14999.641518200497,-1.9071528065833263,-1745.627218020716,-1747.0454837077486,-1.4182656870325445
r2_zero,ITEP,all_second_gen,16318.335271111415,16307.556291391224,-10.778979720191273,-428.84061791638123,-439.1307105170217,-10.290092600640492
r2_zero,ITEP,mexican_second_gen,8200.83217734343,8170.557662365114,-30.2745149783168,-8546.343711684365,-8576.129339543131,-29.78562785876602
r2_zero,ITEP,mexican_third_plus_selfid,10290.74882165836,10287.846245765342,-2.9025758930183656,-6456.4270673694355,-6458.840756142903,-2.413688773467584
r2_zero,ITEP,mexico_born,4953.422679985621,4774.334702597788,-179.08797738783232,-11793.753209042176,-11972.352299310456,-178.59909026828063
r2_low,0.35,third_plus_nh_white,15984.424821159118,15983.999210270893,-0.4256108882254921,0.0,0.0,0.0
r2_low,0.35,all_native,14265.65477926144,14263.63548786567,-2.0192913957707788,-1718.7700418976783,-1720.3637224052236,-1.5936805075452867
r2_low,0.35,all_second_gen,15657.872183584454,15646.878705346791,-10.993478237662202,-326.5526375746649,-337.1205049241016,-10.56786734943671
r2_low,0.35,mexican_second_gen,7698.194188185556,7667.006168517617,-31.188019667939443,-8286.230632973562,-8316.993041753276,-30.76240877971395
r2_low,0.35,mexican_third_plus_selfid,9705.404507912976,9699.009977399272,-6.394530513704012,-6279.020313246143,-6284.989232871621,-5.96891962547852
r2_low,0.35,mexico_born,4461.995996762274,4364.833467577481,-97.16252918479313,-11522.428824396844,-11619.16574269341,-96.73691829656673
r2_low,ITEP,third_plus_nh_white,16747.175889027796,16746.54804214841,-0.6278468793861975,0.0,0.0,0.0
r2_low,ITEP,all_native,15001.54867100708,14998.390737617543,-3.1579333895369928,-1745.627218020716,-1748.157304530867,-2.530086510150795
r2_low,ITEP,all_second_gen,16318.335271111415,16300.860216581064,-17.475054530350462,-428.84061791638123,-445.6878255673455,-16.847207650964265
r2_low,ITEP,mexican_second_gen,8200.83217734343,8151.12295906575,-49.70921827768052,-8546.343711684365,-8595.42508308266,-49.08137139829523
r2_low,ITEP,mexican_third_plus_selfid,10290.74882165836,10280.48718852754,-10.261633130819973,-6456.4270673694355,-6466.060853620869,-9.633786251433776
r2_low,ITEP,mexico_born,4953.422679985621,4771.5454153058145,-181.8772646798061,-11793.753209042176,-11975.002626842595,-181.2494178004199
r2_central,0.35,third_plus_nh_white,15984.424821159118,15983.947968812494,-0.4768523466245824,0.0,0.0,0.0
r2_central,0.35,all_native,14265.65477926144,14263.20231145095,-2.4524678104899067,-1718.7700418976783,-1720.7456573615436,-1.9756154638653243
r2_central,0.35,all_second_gen,15657.872183584454,15644.58230778171,-13.289875802744064,-326.5526375746649,-339.3656610307844,-12.813023456119481
