MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,Orig_TYPE,RECTYPE,RECTYPENAME,Orig_TOPIC,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec,src_year,Passfail_sum,OTH,CO#,RECTOPICNAME,topcrec,MeasureID,TYPEREC,TOPICREC,MeasID_First,Ballotquestion,toprec,outcome,is_bond,is_tax,pct,passed,req,year,total,key,mkey,hisp_share,white_share,elf,pupils,share65,pp_current,wave,leaid
199800027.0,1998,1.0,3,ALAMEDA,1998-04-14,CASTRO VALLEY UNIFIED,0,M,C,"To provide financing for improvements to older classrooms, to replace leaking and aging roofs, to upgrade heating, electrical lighting and plumbing systems, and science and computer laboratories, and for renovation, improvement, construction and acquisition of and additions to school facilities and grounds for the Castro Valley Unified District, shall the District be authorized to incur bonded indebtedness of up to $36,555,000.00 to bear interest rates not exceeding the legal maximum?",11.0,11,GO Bond,11.0,11,Education: Bonds,5261.0,2432,7693.0,0.6838684518393344,T,1.0,PassT,0,199800027,5261.0,2432,7693.0,0.6838684518393344,1.0,PassT,10.0,10.0,1998,,,,,,,,,,,,,True,False,0.6838684518393344,1.0,T,1998,7693.0,CASTRO VALLEY UNIFIED,CASTRO VALLEY UNIFIED,0.1237642347641096,0.6133149793517707,0.5624757648374945,7991.0,0.1022281697340451,9273.571095627907,2000,CASTRO VALLEY UNIFIED
199800028.0,1998,1.0,3,ALAMEDA,1998-04-14,FREMONT UNIFIED,0,M,A,"Shall the Fremont Unified School District maintain, repair and renovate schools; repair roofs; improve fire safety, heating, ventilation, plumbing, and electrical systems; upgrade schools to a uniform district standard which includes computer facilities, science labs and libraries; acquire and construct classrooms, sites and school facilities; reduce K-3 class size and reduce over-crowding by issuing  $168,583,588 of bonds, at interest rates within the legal limit?",11.0,11,GO Bond,11.0,11,Education: Bonds,8157.0,7113,15270.0,0.5341846758349705,T,2.0,FailT,0,199800028,8157.0,7113,15270.0,0.5341846758349705,2.0,FailT,10.0,10.0,1998,,,,,,,,,,,,,True,False,0.5341846758349705,0.0,T,1998,15270.0,FREMONT UNIFIED,FREMONT UNIFIED,0.1405174078126005,0.3937190295385803,0.6503902619343722,31078.0,0.1022281697340451,9295.12411708954,2000,FREMONT UNIFIED
199800029.0,1998,7.0,3,CONTRA COSTA,1998-04-14,OAKLEY UNION ELEMENTARY,0,M,A,"To provide adequate classroom space for students throughout the school district, shall the Oakley Union Elementary School District be authorized to incur bonded indebtedness in an amount not to exceed $10,000,000, with an interest rate not to exceed the statutory maximum?",11.0,11,GO Bond,11.0,11,Education: Bonds,2261.0,595,2856.0,0.7916666666666666,T,1.0,PassT,0,199800029,2261.0,595,2856.0,0.7916666666666666,1.0,PassT,10.0,10.0,1998,,,,,,,,,,,,,True,False,0.7916666666666666,1.0,T,1998,2856.0,OAKLEY UNION ELEMENTARY,OAKLEY UNION ELEMENTARY,0.2809229305423406,0.6227402473834444,0.5298015980430943,4204.0,0.1130588017065479,9012.640106474642,2000,OAKLEY UNION ELEMENTARY
199800030.0,1998,7.0,3,CONTRA COSTA,1998-04-14,SAN RAMON VALLEY UNIFIED,0,M,D,"Shall the San Ramon Valley Unified School District be authorized to incur bonded indebtedness in the principal amount of $70,000,000 to bear interest at rates not exceeding the statutory limit, to raise funds for the acquisition, construction and improvement of real property, including the authorized school purposes recommended by the Citizens’ Advisory Committee on District Facilities summarized as: add new classrooms at nine schools, construct gymnasium and multipurpose or specialized rooms at nine schools, complete Iron Horse Middle School, construct new middle school, modernize five schools, add kindergarten class size reduction classrooms at sixteen schools, and make technology improvements at three high schools; and for additional projects to the extent of available funds?",11.0,11,GO Bond,11.0,11,Education: Bonds,20810.0,6274,27084.0,0.7683503175306454,T,1.0,PassT,0,199800030,20810.0,6274,27084.0,0.7683503175306454,1.0,PassT,10.0,10.0,1998,,,,,,,,,,,,,True,False,0.7683503175306454,1.0,T,1998,27084.0,SAN RAMON VALLEY UNIFIED,SAN RAMON VALLEY UNIFIED,0.0392440458972133,0.7961141644971556,0.34485185947877,20742.0,0.1130588017065479,9620.980860673008,2000,SAN RAMON VALLEY UNIFIED
199800031.0,1998,9.0,3,EL DORADO,1998-04-14,RESCUE UNION ELEMENTARY,0,M,K,"To construct and acquire permanent classrooms, restrooms and school facilities; to install necessary sewer lines at Rescue Elementary; to upgrade aging heating and air conditioning systems and electrical wiring to accommodate computer technology at all schools; and to make necessary repairs complying with health and safety standards with no money going for salaries; shall the Rescue Union School District issue and sell $27 million of bonds at an interest rate within the legal limit?",11.0,11,GO Bond,11.0,11,Education: Bonds,3621.0,1156,4777.0,0.7580071174377224,T,1.0,PassT,0,199800031,3621.0,1156,4777.0,0.7580071174377224,1.0,PassT,10.0,10.0,1998,,,,,,,,,,,,,True,False,0.7580071174377224,1.0,T,1998,4777.0,RESCUE UNION ELEMENTARY,RESCUE UNION ELEMENTARY,0.0543816034804226,0.8906152889993785,0.2022769683117918,3218.0,0.1236988080537943,8458.273846160597,2000,RESCUE UNION ELEMENTARY
199800032.0,1998,11.0,3,GLENN,1998-04-14,HAMILTON UNION HIGH,0,M,R,"For the purpose of constructing and acquiring a new library and classrooms for Hamilton High School, shall the Hamilton Union High School District issue and sell bonds in the amount of $1,340,000 to bear interest at rates not exceeding the statutory limit, to acquire, construct, and renovate school facilities and grounds?",11.0,11,GO Bond,11.0,11,Education: Bonds,370.0,131,501.0,0.7385229540918163,T,1.0,PassT,0,199800032,370.0,131,501.0,0.7385229540918163,1.0,PassT,10.0,10.0,1998,,,,,,,,,,,,,True,False,0.7385229540918163,1.0,T,1998,501.0,HAMILTON UNION HIGH,HAMILTON UNION HIGH,0.6630434782608695,0.3333333333333333,0.4492491073303928,276.0,0.1297017351529127,13605.942069385304,2000,HAMILTON UNION HIGH
199800033.0,1998,13.0,3,IMPERIAL,1998-04-14,HEBER ELEMENTARY,0,M,O,"To modernize and improve health and safety conditions at District facilities, including replacing inadequate electrical and air-conditioning/heating systems, repairing deteriorating roofs, plumbing, water treatment and sewer systems, upgrading the kitchens and technological capabilities of its schools, and acquiring land, constructing and, modernizing school facilities to achieve the foregoing, shall the Heber Elementary School District issue up to $2.5 million of general obligation bonds, at an interest rate within the legal limit?",11.0,11,GO Bond,11.0,11,Education: Bonds,140.0,56,196.0,0.7142857142857143,T,1.0,PassT,0,199800033,140.0,56,196.0,0.7142857142857143,1.0,PassT,10.0,10.0,1998,,,,,,,,,,,,,True,False,0.7142857142857143,1.0,T,1998,196.0,HEBER ELEMENTARY,HEBER ELEMENTARY,1.0,0.0,0.0,699.0,0.100483980865546,10630.622595424637,2000,HEBER ELEMENTARY
199800034.0,1998,15.0,3,KERN,1998-04-14,SOUTH FORK UNION,0,M,B,"Shall the South Fork Union School District issue $1.1 million of bonds at an interest rate within the legal limit in order to construct a new gymnasium, build a community center and relocate the South Fork Middle School?",11.0,11,GO Bond,11.0,11,Education: Bonds,636.0,293,929.0,0.6846071044133477,T,1.0,PassT,0,199800034,636.0,293,929.0,0.6846071044133477,1.0,PassT,10.0,10.0,1998,,,,,,,,,,,,,True,False,0.6846071044133477,1.0,T,1998,929.0,SOUTH FORK UNION,SOUTH FORK UNION,0.151624548736462,0.7328519855595668,0.4288600138148549,277.0,0.088761335453412,11694.297281714724,2010,SOUTH FORK UNION
199800035.0,1998,16.0,3,KINGS,1998-04-14,HANFORD ELEMENTARY,0,M,K,"Shall the Hanford Elementary School District issue bonds, in an amount not to exceed $7,350,000, with an interest rate not to exceed the statutory limit, for the acquisition and construction of a new elementary school, the upgrade of classrooms for computer technology to insure internet access, and safety improvements to existing school facilities?",11.0,11,GO Bond,11.0,11,Education: Bonds,3011.0,1441,4452.0,0.6763252470799641,T,1.0,PassT,0,199800035,3011.0,1441,4452.0,0.6763252470799641,1.0,PassT,10.0,10.0,1998,,,,,,,,,,,,,True,False,0.6763252470799641,1.0,T,1998,4452.0,HANFORD ELEMENTARY,HANFORD ELEMENTARY,0.5320118929633301,0.35599603567889,0.5826845604622815,5045.0,0.0738214597446335,9725.701570091438,2000,HANFORD ELEMENTARY
199800036.0,1998,16.0,3,KINGS,1998-04-14,HANFORD JOINT UNION HIGH,0,M,Y,"To repair and upgrade local area schools; replace worn-out and deteriorating roofs, plumbing, sewer, lighting, heating and electrical systems; renovate, construct and acquire classrooms, bathrooms, sites and school facilities to reduce overcrowding due to increased student enrollment; upgrade classrooms for computer technology; with no money for administrators; shall Hanford Joint Union High School District issue $18 million of bonds at an interest rate within the legal limit?",11.0,11,GO Bond,11.0,11,Education: Bonds,4166.0,1882,6048.0,0.6888227513227513,T,1.0,PassT,0,199800036,4166.0,1882,6048.0,0.6888227513227513,1.0,PassT,10.0,10.0,1998,,,,,,,,,,,,,True,False,0.6888227513227513,1.0,T,1998,6048.0,HANFORD UNION HIGH,HANFORD UNION HIGH,0.4274216728945099,0.4685254383443518,0.5927800201612086,3479.0,0.0738214597446335,9048.310891712876,2000,HANFORD UNION HIGH
