spec,level,outcome,treatment,estimator,n,coef,se,t,first_stage_F
long 2008-2023,elem,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,333,0.15363567966824038,0.09543646249648105,1.6098216095751166,
long 2008-2023,elem,"d priv share (wnh, US-born)",d fb_share,WLS HC1,333,-0.28360863936544023,0.19463171349621425,-1.4571553333776546,
horse-race 2008-2023,elem,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,333,0.11857148270964638,0.09941280133622328,1.1927184539205034,
horse-race 2008-2023,elem,"d priv share (wnh, US-born)",d asian_share,WLS HC1,333,-0.32304048530198726,0.23725030053620855,-1.3616020067071974,
horse-race 2008-2023,elem,"d priv share (wnh, US-born)",d black_share,WLS HC1,333,-0.0570873006794487,0.14805305574056737,-0.3855867776176298,
by group 2008-2023,elem,d priv share (all US-born non-Hispanic),d hisp_share,WLS HC1,333,0.10682928057200616,0.08607525386912228,1.2411149055039727,
by group 2008-2023,elem,d priv share (US-born Hispanic),d hisp_share,WLS HC1,333,0.006686223931887237,0.10510200015615677,0.06361652415703875,
generation split 2008-2023,elem,"d priv share (wnh, US-born)",d hisp foreign-born share,WLS HC1,333,-0.1293471677697952,0.24530649235178073,-0.5272879919717145,
generation split 2008-2023,elem,"d priv share (wnh, US-born)",d hisp US-born share,WLS HC1,333,0.2084233495527824,0.09441453613477671,2.207534539546518,
counts 2008-2023,elem,d wnh private enrol (per 100 base),d hispanic public enrol (per 100 base),WLS HC1,333,0.10071334493355072,0.027464828591964554,3.6669933910680457,
"counts, growth controlled 2008-2023",elem,d wnh private enrol (per 100 base),d hispanic public enrol (per 100 base),"WLS HC1, + d total enrol",333,-0.126887766101342,0.041095503699450135,-3.087631363015506,
counts 2008-2023,elem,d wnh private enrol (per 100 base),d foreign-born public enrol (per 100 base),WLS HC1,333,-0.07542832763516366,0.09890601513133514,-0.7626262925971088,
"counts, growth controlled 2008-2023",elem,d wnh private enrol (per 100 base),d foreign-born public enrol (per 100 base),"WLS HC1, + d total enrol",333,-0.35496962172478697,0.09503680735579284,-3.7350751945598715,
IV 2008-2023,elem,"d priv share (wnh, US-born)",d fb_share,2SLS (z_fb),333,-0.2022670475997576,0.7883910992816422,-0.2565567366045319,32.910385393014835
IV 2008-2023,elem,"d priv share (wnh, US-born)",d fb_share,2SLS (z_mex),333,0.30294404954112303,0.6778693505427433,0.446906250147713,12.467345436778782
long [SCH def change] 2005-2023,elem,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,327,0.13491312000478944,0.09126770462860416,1.4782131374267782,
long [SCH def change] 2005-2023,elem,"d priv share (wnh, US-born)",d fb_share,WLS HC1,327,-0.3356132501767653,0.21693878380114884,-1.547041263421096,
horse-race [SCH def change] 2005-2023,elem,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,327,0.12138388625553874,0.09776802186617856,1.2415499867807978,
horse-race [SCH def change] 2005-2023,elem,"d priv share (wnh, US-born)",d asian_share,WLS HC1,327,-0.23302856670660957,0.31576445682361093,-0.7379822575685951,
horse-race [SCH def change] 2005-2023,elem,"d priv share (wnh, US-born)",d black_share,WLS HC1,327,0.05202183158633487,0.15277640151905686,0.34050960141148384,
by group [SCH def change] 2005-2023,elem,d priv share (all US-born non-Hispanic),d hisp_share,WLS HC1,327,0.0806162191967787,0.09577157630320186,0.8417551669146277,
by group [SCH def change] 2005-2023,elem,d priv share (US-born Hispanic),d hisp_share,WLS HC1,327,0.035724921927188874,0.07852569843477504,0.45494561193699773,
generation split [SCH def change] 2005-2023,elem,"d priv share (wnh, US-born)",d hisp foreign-born share,WLS HC1,327,-0.2846185815434287,0.25801909951982277,-1.103091135784552,
generation split [SCH def change] 2005-2023,elem,"d priv share (wnh, US-born)",d hisp US-born share,WLS HC1,327,0.21214175955539694,0.08698107503666036,2.438941568220265,
counts [SCH def change] 2005-2023,elem,d wnh private enrol (per 100 base),d hispanic public enrol (per 100 base),WLS HC1,327,0.14324557213356134,0.03773827764132663,3.7957633757163105,
"counts, growth controlled [SCH def change] 2005-2023",elem,d wnh private enrol (per 100 base),d hispanic public enrol (per 100 base),"WLS HC1, + d total enrol",327,-0.13858506640365983,0.03560797164462265,-3.891967444446904,
counts [SCH def change] 2005-2023,elem,d wnh private enrol (per 100 base),d foreign-born public enrol (per 100 base),WLS HC1,327,-0.04145764550942224,0.10945605371518431,-0.3787606450466341,
"counts, growth controlled [SCH def change] 2005-2023",elem,d wnh private enrol (per 100 base),d foreign-born public enrol (per 100 base),"WLS HC1, + d total enrol",327,-0.3695812048303445,0.09620981732114671,-3.8414084458417466,
IV [SCH def change] 2005-2023,elem,"d priv share (wnh, US-born)",d fb_share,2SLS (z_fb),327,0.699686662632303,1.545318809484405,0.4527781958893991,5.342353328581564
IV [SCH def change] 2005-2023,elem,"d priv share (wnh, US-born)",d fb_share,2SLS (z_mex),327,-0.08051174543308393,0.4327208911677659,-0.18605929844480174,22.685799782827612
two-way FE,elem,"priv share (wnh, US-born)",hisp_share,"WLS, cluster(CBSA)",1336,0.10709837550684505,0.08005088852564732,1.33787866042901,
two-way FE,elem,"priv share (wnh, US-born)",fb_share,"WLS, cluster(CBSA)",1336,-0.22409026064888427,0.13681629614577853,-1.6378915886607166,
two-way FE horse-race,elem,"priv share (wnh, US-born)",hisp_share,"WLS, cluster(CBSA)",1336,0.09463232409908233,0.08133218393371239,1.1635286244890444,
two-way FE horse-race,elem,"priv share (wnh, US-born)",asian_share,"WLS, cluster(CBSA)",1336,-0.1112919441658104,0.23453087980410053,-0.4745300246124117,
two-way FE horse-race,elem,"priv share (wnh, US-born)",black_share,"WLS, cluster(CBSA)",1336,-0.04405272931814186,0.09836537465947943,-0.44784792891445074,
long 2008-2023,sec,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,329,0.07769178920415862,0.07321014792136377,1.0612161211258397,
long 2008-2023,sec,"d priv share (wnh, US-born)",d fb_share,WLS HC1,329,-0.14528511260346097,0.11356360120144413,-1.2793281567898487,
horse-race 2008-2023,sec,"d priv share (wnh, US-born)",d hisp_share,WLS HC1,329,0.07933430486378053,0.0737179725725403,1.0761867438190005,
