acs_year,n,edited_or_allocated_share,no_schooling_all,no_schooling_as_reported,grade6_as_reported,grades_1_to_5_as_reported,hs_diploma_as_reported
2012,39097,0.09861,0.07369,0.07516,0.19203,0.12065,0.20933
2013,37732,0.11129,0.07546,0.07594,0.18551,0.11912,0.21914
2014,37801,0.11025,0.07914,0.07886,0.18817,0.12096,0.21836
2015,37557,0.10757,0.08169,0.08289,0.18047,0.11478,0.21955
2016,36449,0.11340,0.08399,0.08359,0.18188,0.10949,0.22572
2017,34856,0.11526,0.08289,0.08260,0.17269,0.11009,0.23062
2018,33266,0.11964,0.08585,0.08527,0.17218,0.11435,0.23142
2019,30776,0.12928,0.09189,0.09221,0.17259,0.10531,0.22920
2020,23814,0.16224,0.12733,0.13047,0.14134,0.09650,0.22026
2021,31746,0.14892,0.13236,0.13534,0.14316,0.10154,0.22739
2022,31226,0.14044,0.13372,0.13578,0.14212,0.10223,0.22819
2023,31710,0.13401,0.13677,0.13848,0.14295,0.09298,0.22654
2024,30677,0.13514,0.14361,0.14607,0.14070,0.09279,0.22984
