check,subset,n,statistic,estimate_pums,se_linearised,se_replicate,ratio_rep_to_lin,estimate_ipums_main
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",all records,3682,ridit,0.56320,0.00639,0.00535,0.83644,0.56320
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",all records,3682,q1,0.16670,0.00780,0.00564,0.72378,0.16670
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",all records,3682,q5,0.23529,0.00892,0.00743,0.83387,0.23529
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",all records,3682,mig_c1,0.12599,0.00713,0.00518,0.72664,0.12599
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",all records,3682,mig_c5,0.23377,0.00931,0.00845,0.90768,0.23377
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",all records,3682,diff_c1,-0.02333,0.00694,0.00500,0.72015,-0.02333
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",all records,3682,diff_c5,0.02257,0.00926,0.00857,0.92597,0.02257
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",SCHL not allocated,3132,ridit,0.55458,0.00706,0.00595,0.84314,0.56320
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",SCHL not allocated,3132,q1,0.17382,0.00855,0.00638,0.74646,0.16670
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",SCHL not allocated,3132,q5,0.23200,0.00974,0.00782,0.80291,0.23529
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",SCHL not allocated,3132,mig_c1,0.13276,0.00800,0.00595,0.74362,0.12599
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",SCHL not allocated,3132,mig_c5,0.23108,0.01015,0.00897,0.88313,0.23377
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",SCHL not allocated,3132,diff_c1,-0.01755,0.00773,0.00605,0.78289,-0.02333
"ACS 2015 PUMS, Mexico-born arrived 2010-2014 at age 20+, n=3682, weighted share with SCHL allocated 0.1487",SCHL not allocated,3132,diff_c5,0.02043,0.01009,0.00913,0.90457,0.02257
