cohort,survey,spec,sex,rule,ref_censuses,n,wN,clamped_share,position,ridit,ridit_se,bins,q1,q1_se,q2,q2_se,q3,q3_se,q4,q4_se,q5,q5_se,mig_c1_none_primary_incomplete,mig_c1_none_primary_incomplete_se,mex_c1_none_primary_incomplete,diff_c1_none_primary_incomplete,diff_c1_none_primary_incomplete_se,mig_c2_primary,mig_c2_primary_se,mex_c2_primary,diff_c2_primary,diff_c2_primary_se,mig_c3_lower_secondary,mig_c3_lower_secondary_se,mex_c3_lower_secondary,diff_c3_lower_secondary,diff_c3_lower_secondary_se,mig_c4_upper_secondary,mig_c4_upper_secondary_se,mex_c4_upper_secondary,diff_c4_upper_secondary,diff_c4_upper_secondary_se,mig_c5_tertiary,mig_c5_tertiary_se,mex_c5_tertiary,diff_c5_tertiary,diff_c5_tertiary_se
1975-1979,1980,main,P,nearest,2000,17038,340760.00000,0.00000,middle (fewer in both tails),0.55120,0.00232,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11281,0.00261,0.19139,0.00285,0.22623,0.00288,0.25529,0.00318,0.21427,0.00335,0.39582,0.00434,0.46360,-0.06778,0.00427,0.32046,0.00395,0.24075,0.07971,0.00393,0.10353,0.00249,0.11903,-0.01550,0.00248,0.10060,0.00253,0.06882,0.03178,0.00252,0.07959,0.00225,0.10780,-0.02822,0.00229
1975-1979,1980,main,H,nearest,2000,9491,189820.00000,0.00000,middle (fewer in both tails),0.52109,0.00288,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.13050,0.00358,0.21776,0.00380,0.22727,0.00370,0.24900,0.00416,0.17546,0.00384,0.39174,0.00555,0.42550,-0.03376,0.00543,0.31662,0.00509,0.24226,0.07436,0.00507,0.10768,0.00333,0.12648,-0.01880,0.00330,0.10009,0.00322,0.06431,0.03579,0.00321,0.08387,0.00294,0.14146,-0.05759,0.00297
1975-1979,1980,main,M,nearest,2000,7547,150940.00000,0.00000,"top (fewer at bottom, more at top)",0.58907,0.00304,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.09057,0.00310,0.15822,0.00372,0.22493,0.00410,0.26320,0.00447,0.26308,0.00499,0.40095,0.00579,0.51151,-0.11056,0.00568,0.32529,0.00546,0.23886,0.08644,0.00544,0.09832,0.00345,0.10966,-0.01135,0.00344,0.10123,0.00355,0.07449,0.02674,0.00354,0.07420,0.00306,0.06548,0.00872,0.00307
1980-1984,1990,main,P,nearest,2000,16409,341490.00000,0.00000,middle (fewer in both tails),0.51746,0.00260,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.18174,0.00326,0.17811,0.00229,0.19402,0.00239,0.25123,0.00312,0.19490,0.00321,0.33978,0.00406,0.38989,-0.05011,0.00394,0.27863,0.00373,0.24717,0.03146,0.00372,0.16942,0.00341,0.14916,0.02026,0.00339,0.11326,0.00274,0.08740,0.02586,0.00272,0.09890,0.00257,0.12637,-0.02747,0.00259
1980-1984,1990,main,H,nearest,2000,8879,186258.00000,0.00000,middle (fewer in both tails),0.49391,0.00333,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20115,0.00445,0.19029,0.00319,0.18177,0.00301,0.27024,0.00433,0.15655,0.00362,0.32799,0.00518,0.34805,-0.02006,0.00507,0.27182,0.00491,0.24552,0.02630,0.00490,0.17571,0.00455,0.16109,0.01463,0.00453,0.11698,0.00371,0.08447,0.03250,0.00369,0.10750,0.00344,0.16087,-0.05337,0.00345
1980-1984,1990,main,M,nearest,2000,7530,155232.00000,0.00000,"top (fewer at bottom, more at top)",0.54572,0.00351,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.15845,0.00404,0.16350,0.00295,0.20871,0.00348,0.22842,0.00411,0.24092,0.00502,0.35392,0.00555,0.44009,-0.08617,0.00536,0.28680,0.00520,0.24914,0.03766,0.00519,0.16187,0.00469,0.13486,0.02702,0.00467,0.10881,0.00373,0.09092,0.01788,0.00371,0.08859,0.00345,0.08499,0.00361,0.00344
1985-1989,1990,main,P,nearest,2000,27800,567744.00000,0.00000,middle (fewer in both tails),0.51686,0.00233,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.19476,0.00303,0.17677,0.00208,0.15338,0.00184,0.27984,0.00273,0.19525,0.00251,0.28727,0.00344,0.31511,-0.02783,0.00337,0.24334,0.00297,0.24357,-0.00023,0.00297,0.20302,0.00307,0.19415,0.00888,0.00303,0.14224,0.00251,0.10993,0.03231,0.00249,0.12412,0.00231,0.13725,-0.01312,0.00233
1985-1989,1990,main,H,nearest,2000,15376,315513.00000,0.00000,middle (fewer in both tails),0.49751,0.00296,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.20888,0.00405,0.18496,0.00288,0.14519,0.00243,0.30092,0.00376,0.16004,0.00283,0.27665,0.00438,0.28169,-0.00503,0.00429,0.24285,0.00387,0.24042,0.00244,0.00386,0.21437,0.00412,0.20727,0.00709,0.00406,0.14258,0.00331,0.10653,0.03605,0.00329,0.12354,0.00298,0.16410,-0.04055,0.00297
1985-1989,1990,main,M,nearest,2000,12424,252231.00000,0.00000,"top (fewer at bottom, more at top)",0.54106,0.00298,0-0 1-4 5-8 9-9 10-10 11-11 12-12 13-15 16-16,0.17710,0.00359,0.16652,0.00259,0.16363,0.00246,0.25347,0.00340,0.23928,0.00377,0.30056,0.00441,0.35691,-0.05635,0.00428,0.24395,0.00402,0.24752,-0.00356,0.00401,0.18883,0.00397,0.17773,0.01110,0.00394,0.14181,0.00338,0.11418,0.02762,0.00336,0.12485,0.00317,0.10366,0.02119,0.00316
1990-1994,2000,main,P,nearest,2000,36636,769832.00000,0.00000,middle (fewer in both tails),0.53033,0.00174,0-4 5-6 7-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.16700,0.00199,0.19410,0.00193,0.15186,0.00177,0.28926,0.00237,0.19777,0.00222,0.21712,0.00242,0.25796,-0.04084,0.00235,0.26835,0.00259,0.24292,0.02542,0.00259,0.22657,0.00263,0.23541,-0.00883,0.00261,0.18253,0.00240,0.12534,0.05719,0.00239,0.10543,0.00193,0.13837,-0.03294,0.00193
